"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Office of Science and Technology Policy","Agency Overall","2013","14","14","1","40","7","7","2","234","2","2","2","2"
"Department of Justice","Agency Overall","2013","13","23.91","<1","815","84","137.4","<1","1132","22","135.36","<1","997"
"Court Services and Offender Supervision Agency","Agency Overall","2013","10","11.74","1","122","N/A","N/A","N/A","N/A","1","1","1","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","6","5.6","1","12","685","664","38","1192","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2013","9","20","1","100","25","25","17","466","11.5","10","1","18"
"Federal Communications Commission","Agency Overall","2013","20","36","<1","902","118.5","118.5","19","218","12","12","12","12"
"United States Trade and Development Agency","Agency Overall","2013","N/A","N/A","N/A","N/A","20","25.6","7","44","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2013","4","6","<1","146","N/A","N/A","N/A","N/A","4","6","1","10"
"Federal Open Market Committee","Agency Overall","2013","9.5","11.3","4","18","208","198.5","36","342","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2013","1","4.4","1","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2013","17","16","10","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2013","11","72","10","193","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2013","9","11.16","<1","51","38","37.33","18","56","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2013","2","2","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2013","27","38","4","105","150","182","85","518","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2013","2","3","<1","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2013","16","15.53","1","629","23","46.67","1","1162","14.5","21.25","1","45"
"National Credit Union Administration","Agency Overall","2013","8","11.17","<1","61","44","71.3","6","346","163","163","163","163"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","1","3","1","24","6","9.3","1","34","7","5.7","1","9"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","N/A","N/A","N/A","N/A","9","10","1","198","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2013","9","8.05","<1","922","30","30.56","<1","1223","28","161.86","14","524"
"Consumer Product Safety Commission","Agency Overall","2013","5","21","1","191","62","97","1","1159","N/A","N/A","N/A","N/A"
