"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Office of Science and Technology Policy","Agency Overall","2013","100","10","0","0","0","0","0","0","0","0","0","0","0","110"
"Department of Justice","Agency Overall","2013","39018","7108","1995","1171","694","543","436","321","243","183","369","134","39","52254"
"Court Services and Offender Supervision Agency","Agency Overall","2013","598","96","8","4","1","2","2","2","2","3","1","0","0","719"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","36","0","0","0","0","0","0","0","0","0","0","0","0","36"
"National Endowment for the Arts","Agency Overall","2013","48","10","2","4","4","3","0","0","0","0","1","1","0","73"
"Federal Communications Commission","Agency Overall","2013","372","123","35","7","5","3","3","1","2","0","4","4","7","566"
"United States Trade and Development Agency","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2013","5254","260","19","4","3","1","1","2","0","1","2","3","0","5550"
"Federal Open Market Committee","Agency Overall","2013","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"National Capital Planning Commission","Agency Overall","2013","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Postal Regulatory Commission","Agency Overall","2013","22","0","0","0","0","0","0","0","0","0","0","0","0","22"
"American Battle Monuments Commission","Agency Overall","2013","2","0","0","0","0","0","0","0","0","1","0","0","0","3"
"Federal Labor Relations Authority","Agency Overall","2013","75","9","3","0","0","0","0","0","0","0","0","0","0","87"
"Selective Service System","Agency Overall","2013","18","0","0","0","0","0","0","0","0","0","0","0","0","18"
"Peace Corps","Agency Overall","2013","44","60","21","5","5","3","0","0","0","0","1","0","0","139"
"U.S. Commission on Civil Rights","Agency Overall","2013","21","1","0","0","0","0","0","0","0","0","0","0","0","22"
"Department of Agriculture","Agency Overall","2013","18535","798","252","120","61","46","31","23","20","20","48","16","9","19979"
"National Credit Union Administration","Agency Overall","2013","85","7","2","1","0","0","0","0","0","0","0","0","0","95"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","142","2","0","0","0","0","0","0","0","0","0","0","0","144"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2013","3416","112","56","58","12","18","17","9","4","6","21","11","41","3781"
"Consumer Product Safety Commission","Agency Overall","2013","1275","44","9","5","1","2","1","0","2","4","0","0","0","1343"
"Federal Reserve System","Agency Overall","2013","368","16","1","0","1","0","0","0","1","0","0","0","0","387"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","11","13","1","0","0","0","0","0","0","0","0","0","0","25"
"Overseas Private Investment Corporation","Agency Overall","2013","24","2","1","1","0","0","0","0","0","0","0","1","0","29"
"Department of Commerce","Agency Overall","2013","941","0","0","0","0","0","0","0","0","0","0","0","0","941"
