"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Office of Science and Technology Policy","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","2"
"Department of Justice","Agency Overall","2013","841","39","12","151","15","102","34","111","78","19","839"
"Court Services and Offender Supervision Agency","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2013","0","0","0","0","0","1","0","0","0","0","1"
"Federal Communications Commission","Agency Overall","2013","0","0","4","0","0","1","0","0","0","0","3"
"United States Trade and Development Agency","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2013","1","1","0","1","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2013","0","0","1","0","0","0","1","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2013","14","2","7","4","1","1","1","4","1","0","9"
"National Credit Union Administration","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2013","6","1","4","2","2","1","0","3","0","0","1"
"Consumer Product Safety Commission","Agency Overall","2013","0","0","0","0","1","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","6"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","1"
"Overseas Private Investment Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2013","0","0","6","1","0","0","1","0","2","1","1"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2013","9","0","3","0","0","0","0","1","0","0","14"
"Department of Transportation","Agency Overall","2013","11","0","13","0","0","15","0","0","5","0","1"
"Millennium Challenge Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2013","25","0","0","4","2","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2013","26","8","60","1","0","0","4","5","5","1","29"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","1","0","1","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2013","16","0","3","1","0","0","0","0","11","0","55"
"United States Postal Service","Agency Overall","2013","9","1","5","4","0","2","1","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","10","0","3","0","1","10","3","28","0","0","8"
"General Services Administration","Agency Overall","2013","0","0","2","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2013","174","9","55","11","6","207","2","12","2","3","114"
"Office of Government Ethics","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2013","7","1","1","6","2","4","4","0","2","0","8"
"Legal Services Corporation","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2013","1","0","0","0","0","0","0","0","8","0","2"
"Merit Systems Protection Board","Agency Overall","2013","4","1","6","0","2","0","0","0","0","3","0"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2013","3","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2013","0","0","0","1","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","2"
"Department of the Treasury","Agency Overall","2013","36","0","3","2","4","30","9","2","0","0","52"
"Federal Maritime Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0","0","1","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2013","6","0","17","4","0","67","0","11","0","0","127"
"Federal Deposit Insurance Corporation","Agency Overall","2013","0","0","1","0","0","1","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","5"
"National Transportation Safety Board","Agency Overall","2013","1","0","0","0","0","1","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","1"
"Federal Trade Commission","Agency Overall","2013","1","0","4","4","0","1","0","0","0","0","2"
"Office of Special Counsel","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","1","0","1","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","1"
"Small Business Administration","Agency Overall","2013","4","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2013","7","0","1","0","2","3","2","0","0","0","4"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2013","87","10","54","8","1","25","9","17","2","17","228"
"United States African Development Foundation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2013","0","0","0","0","0","0","0","0","72","0","32"
"U.S. Agency for Global Media","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2013","15","0","7","0","0","0","0","0","1","0","41"
"Department of Veterans Affairs","Agency Overall","2013","0","4","0","0","0","2","1","0","1","1","40"
"Office of Management and Budget","Agency Overall","2013","2","0","0","0","0","0","0","0","0","0","1"
"National Indian Gaming Commission","Agency Overall","2013","2","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2013","0","0","1","0","0","1","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2013","1","0","0","0","0","0","0","1","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2013","7","0","13","2","0","14","6","0","0","0","9"
"Administrative Conference of the United States","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2013","0","0","4","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2013","0","0","1","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2013","1339","77","294","207","39","489","78","195","190","45","1640"
