"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Office of Science and Technology Policy","Agency Overall","2013","0","0","0","1","9","16","0","0","1","0","1","0","0","0"
"Department of Justice","Agency Overall","2013","357","86","1310","302","1322","5727","696","37","7612","1923","2299","1782","3","2"
"Court Services and Offender Supervision Agency","Agency Overall","2013","0","54","0","1","40","599","0","0","599","44","36","60","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0","0","21","18","21","18","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2013","0","0","0","24","5","30","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2013","2","100","0","29","33","141","20","1","19","2","17","0","0","0"
"United States Trade and Development Agency","Agency Overall","2013","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2013","0","10","0","8","122","267","207","0","267","154","9","0","0","0"
"Federal Open Market Committee","Agency Overall","2013","0","0","0","2","1","2","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","0","1","0","0","3","1","2","0","1","3","0","0","0","0"
"Selective Service System","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2013","0","0","0","0","4","24","0","8","8","0","0","2","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2013","6","50","455","419","362","1556","144","6","529","30","81","37","0","2"
"National Credit Union Administration","Agency Overall","2013","0","0","0","22","15","44","0","0","5","0","0","0","30","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","0","1","11","10","268","1","0","1","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2013","2","10","18","96","225","153","97","3","54","60","19","1","0","1"
"Consumer Product Safety Commission","Agency Overall","2013","0","0","277","160","275","222","27","0","6","45","0","0","0","0"
