"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Office of Science and Technology Policy","Agency Overall","2013","8","10.8","<1","40","9.5","38.6","<1","234","2","2","2","2"
"Department of Justice","Agency Overall","2013","12","21.75","<1","815","64","115.81","<1","1232","30.5","142.91","<1","997"
"Court Services and Offender Supervision Agency","Agency Overall","2013","10","14.56","1","207","N/A","N/A","N/A","N/A","1","1","1","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","5","4","<1","14","685","664","38","1192","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2013","6","27","1","301","253","25","17","466","11.5","10","1","18"
"Federal Communications Commission","Agency Overall","2013","19","33.3","<1","902","346","288.16","19","423","12","12","12","12"
"United States Trade and Development Agency","Agency Overall","2013","N/A","N/A","N/A","N/A","10","15.75","5","44","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2013","4","6","<1","146","N/A","N/A","N/A","N/A","7","6","1","10"
"Federal Open Market Committee","Agency Overall","2013","10","11.7","4","18","196","168.6","36","342","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2013","2","3.67","<1","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2013","6","7","1","20","29","29","29","29","5","5","5","5"
"American Battle Monuments Commission","Agency Overall","2013","11","72","10","193","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2013","9","10.71","<1","51","38","37.33","18","56","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2013","2","2","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2013","26","32","1","105","152","183","85","518","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2013","1","3","<1","21","14","14","14","14","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2013","14","15.52","1","647","19","43.29","1","1162","11","16.08","1","61"
"National Credit Union Administration","Agency Overall","2013","8","11.08","<1","61","35.5","59.55","<1","346","163","163","163","163"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","1","3.1","1","24","6","8.9","1","34","7","5.7","1","9"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","N/A","N/A","N/A","N/A","9","10","1","198","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2013","15","27.18","<1","2044","34","55.86","<1","1344","30","118.73","4","524"
"Consumer Product Safety Commission","Agency Overall","2013","11","27","1","402","53","96","1","1159","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2013","2","5","<1","164","30","60","1","1027","358","355","350","358"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","22","23","6","44","66","73","52","101","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2013","5","21.68","<1","322","N/A","N/A","N/A","N/A","10","10","10","10"
"Department of Commerce","Agency Overall","2013","8","9","1","20","43","90","1","1114","14","40","8","208"
"U.S. Railroad Retirement Board","Agency Overall","2013","18","13.63","1","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2013","8","10","1","20","30","30","30","30","N/A","N/A","N/A","N/A"
