"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Office of Science and Technology Policy","Agency Overall","2013","1","0"
"Department of Justice","Agency Overall","2013","6990","331"
"Court Services and Offender Supervision Agency","Agency Overall","2013","56","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0"
"National Endowment for the Arts","Agency Overall","2013","4","0"
"Federal Communications Commission","Agency Overall","2013","28","15"
"United States Trade and Development Agency","Agency Overall","2013","2","0"
"National Labor Relations Board","Agency Overall","2013","5","0"
"Federal Open Market Committee","Agency Overall","2013","8","0"
"National Capital Planning Commission","Agency Overall","2013","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","0"
"American Battle Monuments Commission","Agency Overall","2013","1","0"
"Federal Labor Relations Authority","Agency Overall","2013","0","0"
"Selective Service System","Agency Overall","2013","0","0"
"Peace Corps","Agency Overall","2013","41","3"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0"
"Department of Agriculture","Agency Overall","2013","1137","171"
"National Credit Union Administration","Agency Overall","2013","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","8","1"
"Environmental Protection Agency","Agency Overall","2013","1265","157"
"Consumer Product Safety Commission","Agency Overall","2013","230","0"
"Federal Reserve System","Agency Overall","2013","19","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","7","2"
"Overseas Private Investment Corporation","Agency Overall","2013","2","0"
"Department of Commerce","Agency Overall","2013","238","34"
"U.S. Railroad Retirement Board","Agency Overall","2013","3","0"
"United States International Trade Commission","Agency Overall","2013","0","0"
"Securities and Exchange Commission","Agency Overall","2013","151","7"
"Department of Transportation","Agency Overall","2013","938","45"
"Millennium Challenge Corporation","Agency Overall","2013","0","0"
"Social Security Administration","Agency Overall","2013","67","17"
"Department of Health and Human Services","Agency Overall","2013","5099","322"
"Armed Forces Retirement Home","Agency Overall","2013","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","13","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0"
"Department of the Interior","Agency Overall","2013","423","164"
"United States Postal Service","Agency Overall","2013","97","6"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","3","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","190","0"
"General Services Administration","Agency Overall","2013","60","2"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0"
"Department of Homeland Security","Agency Overall","2013","51761","145"
"Office of Government Ethics","Agency Overall","2013","1","0"
"National Archives and Records Administration","Agency Overall","2013","6600","9"
"Legal Services Corporation","Agency Overall","2013","0","0"
"National Mediation Board","Agency Overall","2013","0","0"
"Office of the Director of National Intelligence","Agency Overall","2013","155","22"
"Merit Systems Protection Board","Agency Overall","2013","0","1"
"Office of National Drug Control Policy","Agency Overall","2013","6","0"
"Department of Housing and Urban Development","Agency Overall","2013","266","4"
"National Aeronautics and Space Administration","Agency Overall","2013","11","0"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","2","0"
"U.S. Agency for International Development","Agency Overall","2013","233","20"
"Department of the Treasury","Agency Overall","2013","417","36"
"Federal Maritime Commission","Agency Overall","2013","18","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","4","0"
"Department of Labor","Agency Overall","2013","620","183"
"Federal Deposit Insurance Corporation","Agency Overall","2013","0","0"
"National Endowment for the Humanities","Agency Overall","2013","1","0"
"Nuclear Regulatory Commission","Agency Overall","2013","77","8"
"National Transportation Safety Board","Agency Overall","2013","147","0"
"Federal Energy Regulatory Commission","Agency Overall","2013","3","0"
"Federal Trade Commission","Agency Overall","2013","3","0"
"Office of Special Counsel","Agency Overall","2013","122","12"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","2","0"
"Farm Credit Administration","Agency Overall","2013","0","0"
"Small Business Administration","Agency Overall","2013","1","0"
"Office of Personnel Management","Agency Overall","2013","78","6"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0"
"National Science Foundation","Agency Overall","2013","125","0"
"Department of Defense","Agency Overall","2013","6593","673"
"United States African Development Foundation","Agency Overall","2013","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0"
"Central Intelligence Agency","Agency Overall","2013","692","163"
"U.S. Agency for Global Media","Agency Overall","2013","11","0"
"Inter-American Foundation","Agency Overall","2013","0","0"
"United States Copyright Office","Agency Overall","2013","3","1"
"U.S. Department of State","Agency Overall","2013","8669","272"
"Department of Veterans Affairs","Agency Overall","2013","957","218"
"Office of Management and Budget","Agency Overall","2013","41","4"
"National Indian Gaming Commission","Agency Overall","2013","28","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0"
"Council on Environmental Quality","Agency Overall","2013","39","0"
"Office of the United States Trade Representative","Agency Overall","2013","35","1"
"Tennessee Valley Authority","Agency Overall","2013","10","0"
"Commodity Futures Trading Commission","Agency Overall","2013","15","4"
