"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Office of Science and Technology Policy","Agency Overall","2013","N/A","N/A","N/A","0"
"Department of Justice","Agency Overall","2013","10 U.S.C. § 2306a(d)(2)(C)","N/A","Certain contractor information","1"
"Department of Justice","Agency Overall","2013","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund of Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","674"
"Department of Justice","Agency Overall","2013","Pub. L. No. 111-8, 123 Stat. 524","City of Chicago v. U.S. Dep't of the Treasury, 423 F.3d 777 (7th Cir. 2005)","Information required to be maintained by Federal Firearms Licensees and information maintained in the ATF Firearms Tracing Systems","136"
"Department of Justice","Agency Overall","2013","26 U.S.C. §§ 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information and certain tax convention information","51"
"Department of Justice","Agency Overall","2013","42 U.S.C. § 2000g-2(b)","N/A","CRS confidentiality information","1"
"Department of Justice","Agency Overall","2013","15 U.S.C. § 18a(h)","Lieberman v. FTC, 771 F.2d 32 (2d Cir. 1985)","Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976","4"
"Department of Justice","Agency Overall","2013","15 U.S.C. § 1314(g)","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612, slip op. at 1 (S.D.N.Y. Oct. 6, 1981).","""Any documentary material, answers to written interrogatories, or transcripts of oral testimony"" provided pursuant to certain civil investigative demands pertaining to antitrust investigations","3"
"Department of Justice","Agency Overall","2013","41 U.S.C. § 254b(d)(2)(C)","N/A","Information received relating to commercial items","1"
"Department of Justice","Agency Overall","2013","18 U.S.C. § 3521(b)(1)(g)","Bonadonna v. DOJ, 791 F. Supp. 2d 269, 270 (D. Mass. 2010), aff'd, No. 10–1595, 2011 WL 4770189 (1st Cir. Jan. 7, 2011).","""[T]he identity or location of the person relocated or protected, or any other matter concerning the person or the program after weighing [various factors],"" subject to certain exceptions","54"
"Department of Justice","Agency Overall","2013","10 U.S.C. § 2305(g)","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","2"
"Department of Justice","Agency Overall","2013","18 U.S.C. § 701","Jones v. IRS, No. 06-CV-322, 2008 WL 1901208, at *3-4 (W.D. Mich. Apr. 25, 2008).","Establishes penalties for: manufacturing, selling, or possessing ""any badge, identification card, or other insignia, of the design prescribed by the head of any department or agency of the United States for use by any officer or employee thereof, or any colorable imitation thereof""; and photographing, printing, making, or executing ""any engraving, photograph, print, or impression in the likeness of any such badge, identification card, or other insignia, or any colorable imitation thereof""","18"
"Department of Justice","Agency Overall","2013","18 U.S.C. §§ 2510-20","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","162"
"Department of Justice","Agency Overall","2013","6 U.S.C. § 133(a)(1)(A)","N/A","Voluntarily shared critical infrastructure information","2"
"Department of Justice","Agency Overall","2013","31 U.S.C. § 3729(c)","","False claims information","1"
"Department of Justice","Agency Overall","2013","31 U.S.C. § 5318(g)(2)","","Information pertaining to suspicious transactions","1"
