"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Office of Science and Technology Policy","Agency Overall","2013","3","0","1","1","5"
"Department of Justice","Agency Overall","2013","2050","125","359","864","3398"
"Court Services and Offender Supervision Agency","Agency Overall","2013","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2013","0","0","0","1","1"
"Federal Communications Commission","Agency Overall","2013","8","0","0","8","16"
"United States Trade and Development Agency","Agency Overall","2013","1","0","0","0","1"
"National Labor Relations Board","Agency Overall","2013","14","11","1","0","26"
"Federal Open Market Committee","Agency Overall","2013","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","3","0","0","0","3"
"Selective Service System","Agency Overall","2013","0","0","0","0","0"
"Peace Corps","Agency Overall","2013","2","2","0","2","6"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2013","64","58","29","45","196"
"National Credit Union Administration","Agency Overall","2013","3","2","0","0","5"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","1","0","0","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","2","1","0","0","3"
"Environmental Protection Agency","Agency Overall","2013","160","0","0","24","184"
"Consumer Product Safety Commission","Agency Overall","2013","8","4","0","0","12"
"Federal Reserve System","Agency Overall","2013","20","10","0","7","37"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","1","1","0","1","3"
"Overseas Private Investment Corporation","Agency Overall","2013","0","0","1","0","1"
"Department of Commerce","Agency Overall","2013","36","22","6","12","76"
"U.S. Railroad Retirement Board","Agency Overall","2013","2","0","0","0","2"
"United States International Trade Commission","Agency Overall","2013","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2013","88","12","22","27","149"
"Department of Transportation","Agency Overall","2013","37","26","50","17","130"
"Millennium Challenge Corporation","Agency Overall","2013","0","1","0","0","1"
"Social Security Administration","Agency Overall","2013","178","54","227","0","459"
"Department of Health and Human Services","Agency Overall","2013","67","19","27","168","281"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","5","6","0","2","13"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","0","0","0"
"Department of the Interior","Agency Overall","2013","43","7","41","86","177"
"United States Postal Service","Agency Overall","2013","49","21","39","22","131"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","1","0","0","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2013","159","76","56","0","291"
"General Services Administration","Agency Overall","2013","13","8","0","2","23"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","1","0","0","1"
"Department of Homeland Security","Agency Overall","2013","882","950","693","521","3046"
"Office of Government Ethics","Agency Overall","2013","1","0","1","0","2"
"National Archives and Records Administration","Agency Overall","2013","39","13","5","6","63"
"Legal Services Corporation","Agency Overall","2013","1","0","0","0","1"
"National Mediation Board","Agency Overall","2013","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2013","11","0","1","11","23"
"Merit Systems Protection Board","Agency Overall","2013","6","4","2","6","18"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2013","30","7","10","0","47"
"National Aeronautics and Space Administration","Agency Overall","2013","8","5","2","1","16"
"Federal Mediation and Conciliation Service","Agency Overall","2013","1","0","0","0","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","1","0","0","1"
"U.S. Agency for International Development","Agency Overall","2013","8","8","6","3","25"
