"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Office of Science and Technology Policy","Agency Overall","2013","6","16","1","96","0","7","0","4","0","0","0","0","130"
"Department of Justice","Agency Overall","2013","30880","7331","2846","14428","511","756","1439","1966","4511","539","2139","895","68241"
"Court Services and Offender Supervision Agency","Agency Overall","2013","87","598","1","12","0","10","2","0","0","0","5","5","720"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","23","3","18","3","0","7","0","0","0","0","3","0","57"
"National Endowment for the Arts","Agency Overall","2013","28","32","4","12","0","3","0","0","0","0","0","3","82"
"Federal Communications Commission","Agency Overall","2013","131","175","11","138","0","55","18","4","3","2","0","37","574"
"United States Trade and Development Agency","Agency Overall","2013","5","0","1","5","0","1","0","0","0","0","0","0","12"
"National Labor Relations Board","Agency Overall","2013","4548","449","221","10","149","170","1","0","0","2","0","0","5550"
"Federal Open Market Committee","Agency Overall","2013","9","3","1","1","3","1","0","0","3","0","0","0","21"
"National Capital Planning Commission","Agency Overall","2013","5","0","0","4","0","0","0","0","0","0","0","0","9"
"Postal Regulatory Commission","Agency Overall","2013","4","1","0","0","18","1","0","0","0","0","0","0","24"
"American Battle Monuments Commission","Agency Overall","2013","1","1","0","1","0","0","0","0","0","0","0","0","3"
"Federal Labor Relations Authority","Agency Overall","2013","32","20","2","38","2","2","0","1","1","0","4","0","102"
"Selective Service System","Agency Overall","2013","18","0","0","0","0","0","0","0","0","0","0","0","18"
"Peace Corps","Agency Overall","2013","88","31","3","8","1","3","0","7","7","0","1","0","149"
"U.S. Commission on Civil Rights","Agency Overall","2013","7","2","0","4","0","0","0","0","1","9","0","0","23"
"Department of Agriculture","Agency Overall","2013","16996","1913","455","915","616","224","84","41","45","60","82","125","21556"
"National Credit Union Administration","Agency Overall","2013","46","47","7","25","1","2","1","1","1","1","2","0","134"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","166","1","0","5","0","2","0","0","0","0","0","0","174"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","4766","214","180","43","0","43","3","6","37","60","434","0","5786"
"Environmental Protection Agency","Agency Overall","2013","4548","552","69","2772","13","566","111","114","42","34","310","0","9131"
"Consumer Product Safety Commission","Agency Overall","2013","1366","339","33","131","6","16","9","3","0","4","23","16","1946"
"Federal Reserve System","Agency Overall","2013","472","80","31","80","35","53","4","21","29","0","7","42","854"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","1","12","1","11","5","1","0","0","0","0","0","0","31"
"Overseas Private Investment Corporation","Agency Overall","2013","2","16","0","8","0","1","1","1","1","0","0","0","30"
"Department of Commerce","Agency Overall","2013","410","332","72","237","24","153","144","75","120","114","66","46","1793"
"U.S. Railroad Retirement Board","Agency Overall","2013","77","27","2","7","6","0","0","0","0","0","0","0","119"
"United States International Trade Commission","Agency Overall","2013","22","3","2","7","0","0","1","0","0","0","0","0","35"
"Securities and Exchange Commission","Agency Overall","2013","2364","424","769","7660","81","99","88","47","55","95","110","375","12167"
"Department of Transportation","Agency Overall","2013","4974","2505","102","1589","39","466","214","17","82","43","99","105","10235"
"Millennium Challenge Corporation","Agency Overall","2013","4","11","5","1","0","0","0","0","0","0","0","0","21"
"Social Security Administration","Agency Overall","2013","38269","791","296","20","2","24","25","25","0","0","3","0","39455"
"Department of Health and Human Services","Agency Overall","2013","40318","2191","5714","9168","3303","1827","451","268","742","278","736","2129","67125"
"Armed Forces Retirement Home","Agency Overall","2013","7","6","3","1","1","0","0","0","0","0","0","0","18"
"Federal Housing Finance Agency","Agency Overall","2013","18","37","28","49","1","10","5","1","1","1","0","0","151"
"Occupational Safety and Health Review Commission","Agency Overall","2013","19","13","0","5","0","10","0","0","0","0","0","0","47"
"Department of the Interior","Agency Overall","2013","2848","1504","161","639","155","166","142","52","72","53","68","503","6363"
"United States Postal Service","Agency Overall","2013","357","535","396","268","207","47","51","27","233","116","34","32","2303"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","1","2","1","9","0","0","0","1","0","0","0","0","14"
"United States International Boundary and Water Commission","Agency Overall","2013","11","0","1","1","2","0","3","1","0","0","0","0","19"
"Federal Financial Institutions Examination Council","Agency Overall","2013","9","2","0","3","4","1","0","0","1","2","0","0","22"
"Institute of Museum and Library Services","Agency Overall","2013","10","18","0","7","0","0","0","1","0","2","0","3","41"
"Equal Employment Opportunity Commission","Agency Overall","2013","656","13374","2241","556","189","118","32","32","391","15","464","987","19055"
"General Services Administration","Agency Overall","2013","365","390","58","144","26","162","28","16","31","56","42","0","1318"
"Recovery Accountability and Transparency Board","Agency Overall","2013","4","1","2","5","0","2","0","0","0","0","0","0","14"
