"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Office of Science and Technology Policy","Agency Overall","2013","0","N/A","N/A","1","67","67","0","N/A","N/A"
"Department of Justice","Agency Overall","2013","5071","33","82.14","4781","123","171.78","89","205","271.06"
"Court Services and Offender Supervision Agency","Agency Overall","2013","104","24","54","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","1","1","1","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2013","1","301","301","3","374","379","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2013","48","13.5","34.66","13","347","262.15","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2013","0","N/A","N/A","1","153","153","1","1212","1212"
"National Labor Relations Board","Agency Overall","2013","108","14","21","0","N/A","N/A","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2013","0","N/A","N/A","8","224.5","214.4","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2013","1","193","193","0","N/A","N/A","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2013","3","3","3.33","0","N/A","N/A","0","N/A","N/A"
"Selective Service System","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Peace Corps","Agency Overall","2013","24","35","55","17","141","294","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2013","1376","92","157.95","291","133","193.45","2","91","91"
"National Credit Union Administration","Agency Overall","2013","1","14","14","1","8","8","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","2","1.5","1.5","3","20","16","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","N/A","N/A","79","5","12","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2013","849","58","153.11","1125","30","133.74","11","993","583.18"
"Consumer Product Safety Commission","Agency Overall","2013","34","52","91","213","80","157","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2013","1","2","2","34","44","53","2","139","139"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","4","11","12","6","226","236","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2013","1","45","45","0","N/A","N/A","1","51","51"
