"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Office of Science and Technology Policy","Agency Overall","2013","0","8","8","0"
"Department of Justice","Agency Overall","2013","100","725","642","183"
"Court Services and Offender Supervision Agency","Agency Overall","2013","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2013","0","1","1","0"
"Federal Communications Commission","Agency Overall","2013","0","2","2","0"
"United States Trade and Development Agency","Agency Overall","2013","0","0","0","0"
"National Labor Relations Board","Agency Overall","2013","0","4","4","0"
"Federal Open Market Committee","Agency Overall","2013","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","0","0","0","0"
"Selective Service System","Agency Overall","2013","0","0","0","0"
"Peace Corps","Agency Overall","2013","0","1","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","1","1","0"
"Department of Agriculture","Agency Overall","2013","2","48","44","6"
"National Credit Union Administration","Agency Overall","2013","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","1","1","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2013","0","19","15","4"
"Consumer Product Safety Commission","Agency Overall","2013","0","0","0","0"
"Federal Reserve System","Agency Overall","2013","0","6","4","2"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0","1","1","0"
"Overseas Private Investment Corporation","Agency Overall","2013","0","3","3","0"
"Department of Commerce","Agency Overall","2013","4","33","31","6"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","0","0","0"
"United States International Trade Commission","Agency Overall","2013","0","1","0","1"
"Securities and Exchange Commission","Agency Overall","2013","0","5","5","0"
"Department of Transportation","Agency Overall","2013","2","13","12","3"
"Millennium Challenge Corporation","Agency Overall","2013","0","0","0","0"
"Social Security Administration","Agency Overall","2013","0","42","42","0"
"Department of Health and Human Services","Agency Overall","2013","0","43","43","0"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","0","0"
"Department of the Interior","Agency Overall","2013","0","20","19","1"
"United States Postal Service","Agency Overall","2013","0","13","11","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","1","0","1","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","0","0"
