"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Office of Science and Technology Policy","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2013","63","0","117","6","114","319","96","2","612","152","539","137","1","0"
"Court Services and Offender Supervision Agency","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2013","0","0","0","4","2","2","1","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2013","0","1","0","0","8","14","10","0","14","10","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","0","0","0","0","2","0","1","0","0","2","0","0","0","0"
"Selective Service System","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2013","0","0","0","0","1","2","0","0","1","0","0","1","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2013","0","0","20","11","21","72","5","0","43","14","18","1","0","0"
"National Credit Union Administration","Agency Overall","2013","0","0","0","0","3","2","0","0","1","0","0","0","2","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2013","0","1","0","3","6","8","4","1","2","7","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2013","0","0","11","8","8","2","3","0","0","1","0","0","0","0"
"Federal Reserve System","Agency Overall","2013","0","0","0","17","17","13","2","0","0","0","0","0","21","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2013","2","0","11","4","13","14","3","0","8","0","4","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2013","0","0","0","8","17","15","31","0","19","1","2","1","6","0"
"Department of Transportation","Agency Overall","2013","0","0","3","8","14","32","0","0","20","2","1","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2013","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2013","0","4","0","0","22","202","6","0","0","0","1","0","0","0"
"Department of Health and Human Services","Agency Overall","2013","0","2","4","15","18","45","5","0","14","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","0","0","0","7","6","4","1","0","0","0","0","0","3","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2013","0","0","3","2","13","13","1","0","5","0","0","1","0","0"
"United States Postal Service","Agency Overall","2013","0","0","17","1","9","16","6","0","26","2","0","1","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
