"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Office of Science and Technology Policy","Agency Overall","2013","84","128","85","130"
"Department of Justice","Agency Overall","2013","69456","70081","68531","68241"
"Court Services and Offender Supervision Agency","Agency Overall","2013","675","793","803","720"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","29","40","54","57"
"National Endowment for the Arts","Agency Overall","2013","130","72","126","82"
"Federal Communications Commission","Agency Overall","2013","501","571","478","574"
"United States Trade and Development Agency","Agency Overall","2013","14","13","14","12"
"National Labor Relations Board","Agency Overall","2013","6036","5536","6276","5550"
"Federal Open Market Committee","Agency Overall","2013","22","21","15","21"
"National Capital Planning Commission","Agency Overall","2013","13","9","13","9"
"Postal Regulatory Commission","Agency Overall","2013","23","24","23","24"
"American Battle Monuments Commission","Agency Overall","2013","9","3","9","3"
"Federal Labor Relations Authority","Agency Overall","2013","64","105","64","102"
"Selective Service System","Agency Overall","2013","20","18","20","18"
"Peace Corps","Agency Overall","2013","166","173","172","149"
"U.S. Commission on Civil Rights","Agency Overall","2013","20","23","21","23"
"Department of Agriculture","Agency Overall","2013","22175","22580","21684","21556"
"National Credit Union Administration","Agency Overall","2013","130","127","136","134"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","188","176","189","174"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","5314","5721","5475","5786"
"Environmental Protection Agency","Agency Overall","2013","9689","9951","9259","9131"
"Consumer Product Safety Commission","Agency Overall","2013","2357","1935","2452","1946"
"Federal Reserve System","Agency Overall","2013","899","838","891","854"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","41","37","41","31"
"Overseas Private Investment Corporation","Agency Overall","2013","43","29","40","30"
"Department of Commerce","Agency Overall","2013","1807","1823","1716","1793"
"U.S. Railroad Retirement Board","Agency Overall","2013","92","122","93","119"
"United States International Trade Commission","Agency Overall","2013","37","35","39","35"
"Securities and Exchange Commission","Agency Overall","2013","11292","12275","11302","12167"
"Department of Transportation","Agency Overall","2013","10946","10552","10988","10235"
"Millennium Challenge Corporation","Agency Overall","2013","29","25","29","21"
"Social Security Administration","Agency Overall","2013","31329","39159","31584","39455"
"Department of Health and Human Services","Agency Overall","2013","68467","66916","69256","67125"
"Armed Forces Retirement Home","Agency Overall","2013","0","18","0","18"
"Federal Housing Finance Agency","Agency Overall","2013","174","165","181","151"
"Occupational Safety and Health Review Commission","Agency Overall","2013","84","50","85","47"
"Department of the Interior","Agency Overall","2013","6195","6325","6306","6363"
"United States Postal Service","Agency Overall","2013","2441","2350","2459","2303"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","10","17","12","14"
"United States International Boundary and Water Commission","Agency Overall","2013","15","18","14","19"
"Federal Financial Institutions Examination Council","Agency Overall","2013","22","22","22","22"
"Institute of Museum and Library Services","Agency Overall","2013","29","42","35","41"
"Equal Employment Opportunity Commission","Agency Overall","2013","18726","18946","18728","19055"
"General Services Administration","Agency Overall","2013","1690","1352","1773","1318"
"Recovery Accountability and Transparency Board","Agency Overall","2013","17","13","16","14"
"Department of Homeland Security","Agency Overall","2013","190589","231534","205895","204332"
"Office of Government Ethics","Agency Overall","2013","48","47","50","43"
"National Archives and Records Administration","Agency Overall","2013","13345","12243","13746","13253"
"Legal Services Corporation","Agency Overall","2013","39","37","39","37"
"National Mediation Board","Agency Overall","2013","25","31","29","32"
"Office of the Director of National Intelligence","Agency Overall","2013","343","388","317","374"
"Merit Systems Protection Board","Agency Overall","2013","225","207","237","202"
"Office of National Drug Control Policy","Agency Overall","2013","37","63","34","60"
"Department of Housing and Urban Development","Agency Overall","2013","2694","2388","2544","2400"
"National Aeronautics and Space Administration","Agency Overall","2013","886","873","895","883"
"Federal Mediation and Conciliation Service","Agency Overall","2013","70","113","68","113"
