"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Office of Science and Technology Policy","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Justice","Agency Overall","2013","59","15","7","8","7","2","3","1","1","2","14","1","18","138"
"Court Services and Offender Supervision Agency","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2013","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"United States Trade and Development Agency","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2013","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Federal Open Market Committee","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2013","19","2","1","1","0","0","0","0","0","0","0","0","0","23"
"National Credit Union Administration","Agency Overall","2013","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2013","4","10","2","0","2","0","0","0","0","0","0","0","4","22"
"Consumer Product Safety Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","3","0","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Commerce","Agency Overall","2013","9","2","0","0","0","0","0","0","0","0","0","0","0","11"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2013","6","6","3","1","1","0","2","0","0","0","0","1","0","20"
"Department of Transportation","Agency Overall","2013","38","9","1","0","0","1","2","0","0","0","1","1","3","56"
"Millennium Challenge Corporation","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2013","8","7","1","1","2","0","2","1","1","0","1","3","0","27"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2013","20","1","6","1","0","1","1","2","0","0","1","1","1","35"
"United States Postal Service","Agency Overall","2013","3","1","0","0","0","0","0","0","0","0","0","0","0","4"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","11","0","0","0","0","0","0","0","0","0","0","0","0","11"
"General Services Administration","Agency Overall","2013","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
