"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Office of Science and Technology Policy","Agency Overall","2013","1","0","2","2","1"
"Department of Justice","Agency Overall","2013","117","900","1","4.12","934"
"Court Services and Offender Supervision Agency","Agency Overall","2013","1","0","1","1","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2013","0","5","1","1","5"
"Federal Communications Commission","Agency Overall","2013","2","0","4.5","4.5","2"
"United States Trade and Development Agency","Agency Overall","2013","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2013","4","2","3","4","3"
"Federal Open Market Committee","Agency Overall","2013","0","3","10","10","3"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","1","0","5","5","1"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","0","3","16","14.33","1"
"Selective Service System","Agency Overall","2013","0","0","0","0","0"
"Peace Corps","Agency Overall","2013","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2013","1","0","1","1","1"
"Department of Agriculture","Agency Overall","2013","24","492","1","1.75","509"
"National Credit Union Administration","Agency Overall","2013","1","0","14","14","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","3","0","7","5.7","3"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2013","10","458","8","10.53","282"
"Consumer Product Safety Commission","Agency Overall","2013","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2013","1","2","11","9","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2013","2","1","1","2","3"
"Department of Commerce","Agency Overall","2013","18","45","6","9","57"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2013","0","1","1","1","1"
"Securities and Exchange Commission","Agency Overall","2013","13","140","2","4.42","141"
"Department of Transportation","Agency Overall","2013","56","213","1","1.0337","253"
"Millennium Challenge Corporation","Agency Overall","2013","0","0","0","0","0"
"Social Security Administration","Agency Overall","2013","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2013","55","419","9","12","197"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","0","22","1","1.5","21"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","0","0","0"
"Department of the Interior","Agency Overall","2013","31","53","3","5","67"
"United States Postal Service","Agency Overall","2013","4","56","1","3.25","53"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","2","0","7","7","2"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","11","35","7.5","6.673913043","38"
"General Services Administration","Agency Overall","2013","2","10","1","1","12"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2013","96","1384","2","4.09333333333333","1366"
"Office of Government Ethics","Agency Overall","2013","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2013","8","4","1","3","10"
"Legal Services Corporation","Agency Overall","2013","0","0","0","0","0"
"National Mediation Board","Agency Overall","2013","1","0","15","15","0"
"Office of the Director of National Intelligence","Agency Overall","2013","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2013","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2013","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2013","13","284","1","6.98","291"
"National Aeronautics and Space Administration","Agency Overall","2013","0","9","0","4.22","7"
"Federal Mediation and Conciliation Service","Agency Overall","2013","4","0","1","1","4"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2013","2","11","10","78.85","7"
"Department of the Treasury","Agency Overall","2013","123","277","1","2.63","373"
"Federal Maritime Commission","Agency Overall","2013","4","0","3.5","5","3"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","1","1","5.5","5.5","2"
"Department of Labor","Agency Overall","2013","82","370","10","41.4","227"
"Federal Deposit Insurance Corporation","Agency Overall","2013","16","98","1","2.32","107"
"National Endowment for the Humanities","Agency Overall","2013","2","1","1","1","3"
"Nuclear Regulatory Commission","Agency Overall","2013","0","26","1","1","26"
"National Transportation Safety Board","Agency Overall","2013","0","2","24.5","24.5","1"
