"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Office of Science and Technology Policy","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-27","67"
"Department of Justice","Agency Overall","2013","2010-02-01","920","2010-01-28","922","2009-10-30","981","2009-10-20","989","2009-10-15","992","2009-10-08","996","2009-09-30","1002","2009-07-31","1043","2009-06-10","1079","2009-06-05","1082"
"Court Services and Offender Supervision Agency","Agency Overall","2013","2013-09-09","61","2013-09-09","61","2013-09-06","62","2013-09-05","63","2013-09-05","63","2013-08-20","74","2013-07-18","97","2013-05-20","138","2013-04-15","225","2012-05-09","396"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Arts","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-07-24","301","2012-06-06","333","2012-02-14","415","2011-12-01","466"
"Federal Communications Commission","Agency Overall","2013","2012-05-16","348","2012-05-03","357","2012-05-02","358","2012-04-19","367","2012-04-18","368","2011-11-22","474","2011-11-08","484","2011-10-20","497","2011-10-17","500","2011-09-23","516"
"United States Trade and Development Agency","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-05-01","153","2010-06-07","1212"
"National Labor Relations Board","Agency Overall","2013","2013-09-03","19","2013-09-03","19","2013-09-03","19","2013-09-03","20","2013-08-29","21","2013-08-29","21","2013-08-21","27","2013-08-20","28","2013-08-12","34","2013-08-07","37"
"Federal Open Market Committee","Agency Overall","2013","N/A","0","N/A","0","2013-07-31","42","2013-05-09","99","2013-05-09","99","2013-04-29","107","2012-05-21","342","2012-05-21","342","2012-05-21","342","2012-05-21","342"
"National Capital Planning Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"American Battle Monuments Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-01-12","193"
"Federal Labor Relations Authority","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-30","1","2013-09-25","3","2013-09-18","8"
"Selective Service System","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2013","2013-04-11","120","2013-04-04","125","2013-03-18","138","2013-02-10","162","2012-07-19","302","2011-06-20","574","2011-05-24","592","2011-02-14","662","2011-01-18","681","2010-03-15","893"
"U.S. Commission on Civil Rights","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2013","2010-03-05","896","2010-02-17","908","2010-01-19","928","2009-12-02","959","2009-11-16","970","2009-11-12","972","2009-10-29","981","2009-10-23","985","2009-10-20","988","2008-03-05","1440"
