"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Central Intelligence Agency","Agency Overall","2010","200","224","181","243"
"Department of Justice","Agency Overall","2010","664","3351","3413","602"
"Department of Housing and Urban Development","Agency Overall","2010","0","29","18","11"
"U.S. Agency for International Development","Agency Overall","2010","10","12","7","15"
"Department of Education","Agency Overall","2010","28","23","29","22"
"Environmental Protection Agency","Agency Overall","2010","110","204","215","99"
"Federal Housing Finance Agency","Agency Overall","2010","0","5","4","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","1","1","0"
"Department of Energy","Agency Overall","2010","4","91","88","7"
"Peace Corps","Agency Overall","2010","0","8","8","0"
"National Archives and Records Administration","Agency Overall","2010","6","39","37","8"
"Department of Labor","Agency Overall","2010","188","353","398","143"
"Small Business Administration","Agency Overall","2010","0","20","19","1"
"National Endowment for the Arts","Agency Overall","2010","0","2","2","0"
"Federal Energy Regulatory Commission","Agency Overall","2010","2","7","9","0"
"Surface Transportation Board","Agency Overall","2010","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","1","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","4","17","20","1"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2010","0","1","1","0"
"National Labor Relations Board","Agency Overall","2010","2","27","27","2"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2010","0","1","1","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0","0","0"
"Department of Transportation","Agency Overall","2010","111","159","180","90"
"National Endowment for the Humanities","Agency Overall","2010","0","2","2","0"
"Administrative Conference of the United States","Agency Overall","2010","0","0","0","0"
"Department of Commerce","Agency Overall","2010","60","97","84","73"
"Farm Credit Administration","Agency Overall","2010","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2010","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2010","0","1","1","0"
"Institute of Museum and Library Services","Agency Overall","2010","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0","0","0"
"United States Copyright Office","Agency Overall","2010","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2010","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2010","0","1","1","0"
"Department of Veterans Affairs","Agency Overall","2010","156","231","185","202"
"Federal Reserve System","Agency Overall","2010","1","10","9","2"
"Office of the United States Trade Representative","Agency Overall","2010","0","2","2","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","1","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","0","4","4","0"
"Department of Homeland Security","Agency Overall","2010","3325","2740","5325","740"
"Commodity Futures Trading Commission","Agency Overall","2010","0","7","7","0"
"Inter-American Foundation","Agency Overall","2010","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2010","25","189","199","15"
"Department of Agriculture","Agency Overall","2010","159","197","213","143"
"Consumer Product Safety Commission","Agency Overall","2010","0","24","24","0"
"Office of Personnel Management","Agency Overall","2010","2","35","34","3"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","0","5","5","0"
