"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Central Intelligence Agency","Agency Overall","2010","715","220"
"Department of Justice","Agency Overall","2010","5160","353"
"Department of Housing and Urban Development","Agency Overall","2010","182","11"
"U.S. Agency for International Development","Agency Overall","2010","306","14"
"Department of Education","Agency Overall","2010","341","20"
"Environmental Protection Agency","Agency Overall","2010","329","77"
"Federal Housing Finance Agency","Agency Overall","2010","12","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","0"
"Department of Energy","Agency Overall","2010","334","3"
"Peace Corps","Agency Overall","2010","10","0"
"National Archives and Records Administration","Agency Overall","2010","7064","8"
"Department of Labor","Agency Overall","2010","503","143"
"Small Business Administration","Agency Overall","2010","3","0"
"National Endowment for the Arts","Agency Overall","2010","10","0"
"Federal Energy Regulatory Commission","Agency Overall","2010","0","0"
"Surface Transportation Board","Agency Overall","2010","1","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","109","0"
"Millennium Challenge Corporation","Agency Overall","2010","0","0"
"Council on Environmental Quality","Agency Overall","2010","3","0"
"National Labor Relations Board","Agency Overall","2010","0","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0"
"Postal Regulatory Commission","Agency Overall","2010","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0"
"Department of Transportation","Agency Overall","2010","787","84"
"National Endowment for the Humanities","Agency Overall","2010","4","0"
"Administrative Conference of the United States","Agency Overall","2010","0","0"
"Department of Commerce","Agency Overall","2010","195","73"
"Farm Credit Administration","Agency Overall","2010","0","0"
"United States Trade and Development Agency","Agency Overall","2010","19","0"
"United States International Boundary and Water Commission","Agency Overall","2010","1","0"
"Institute of Museum and Library Services","Agency Overall","2010","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0"
"United States Copyright Office","Agency Overall","2010","1","0"
"National Capital Planning Commission","Agency Overall","2010","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","41","0"
"Federal Open Market Committee","Agency Overall","2010","1","0"
"Department of Veterans Affairs","Agency Overall","2010","648","185"
"Federal Reserve System","Agency Overall","2010","55","0"
"Office of the United States Trade Representative","Agency Overall","2010","12","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","2","0"
"Department of Homeland Security","Agency Overall","2010","11383","601"
"Commodity Futures Trading Commission","Agency Overall","2010","16","0"
"Inter-American Foundation","Agency Overall","2010","0","0"
"Securities and Exchange Commission","Agency Overall","2010","159","6"
"Department of Agriculture","Agency Overall","2010","1136","136"
"Consumer Product Safety Commission","Agency Overall","2010","306","0"
"Office of Personnel Management","Agency Overall","2010","8","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2010","9","0"
"Social Security Administration","Agency Overall","2010","68","3"
"Department of the Treasury","Agency Overall","2010","419","50"
"National Science Foundation","Agency Overall","2010","24","0"
"Office of Management and Budget","Agency Overall","2010","2","0"
"Merit Systems Protection Board","Agency Overall","2010","4","0"
"National Aeronautics and Space Administration","Agency Overall","2010","117","2"
"Export-Import Bank of the U.S.","Agency Overall","2010","22","0"
"Department of the Interior","Agency Overall","2010","679","274"
"Nuclear Regulatory Commission","Agency Overall","2010","6","1"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0"
"Office of Special Counsel","Agency Overall","2010","5","5"
"Selective Service System","Agency Overall","2010","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","0","2"
"Legal Services Corporation","Agency Overall","2010","32","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0"
"National Railroad Passenger Corporation","Agency Overall","2010","37","2"
"Department of Defense","Agency Overall","2010","7657","657"
"United States International Trade Commission","Agency Overall","2010","0","0"
"Office of National Drug Control Policy","Agency Overall","2010","0","0"
"United States Postal Service","Agency Overall","2010","31","2"
"General Services Administration","Agency Overall","2010","26","1"
"Federal Maritime Commission","Agency Overall","2010","15","0"
"National Credit Union Administration","Agency Overall","2010","5","1"
"Office of the Director of National Intelligence","Agency Overall","2010","129","3"
"Court Services and Offender Supervision Agency","Agency Overall","2010","62","0"
"Department of Health and Human Services","Agency Overall","2010","9552","229"
"National Transportation Safety Board","Agency Overall","2010","92","1"
"U.S. Railroad Retirement Board","Agency Overall","2010","1","0"
"U.S. Agency for Global Media","Agency Overall","2010","0","0"
"Federal Election Commission","Agency Overall","2010","10","1"
"National Mediation Board","Agency Overall","2010","1","0"
"National Indian Gaming Commission","Agency Overall","2010","4","0"
"U.S. Department of State","Agency Overall","2010","20519","346"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","4","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","87","8"
"United States African Development Foundation","Agency Overall","2010","0","0"
"American Battle Monuments Commission","Agency Overall","2010","0","0"
"Office of Science and Technology Policy","Agency Overall","2010","8","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","0","0"
"Federal Communications Commission","Agency Overall","2010","23","11"
"Tennessee Valley Authority","Agency Overall","2010","0","0"
"Office of Government Ethics","Agency Overall","2010","0","0"
"Federal Trade Commission","Agency Overall","2010","20","0"
"All agencies","Agency Overall","2010","69526","NaN"
