"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Central Intelligence Agency","Agency Overall","2010","CIA Act of 1949","Halperin v. CIA, 639 F.2d 144 (D.C. Cir. 1980); Minier v. CIA, 00 F.3d 796 (9th Cir. 1996)","Please see footnote","1525"
"Department of Justice","Agency Overall","2010","5 U.S.C. app. § 107","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992)","Financial disclosure information pertaining to certain government employees","67"
"Department of Justice","Agency Overall","2010","10 U.S.C. § 130b","Hiken v. DOD, 521 F. Supp. 2d 1047, 1062 (N.D. Cal. 2007)","Personally identifiable information pertaining to members of the armed forces assigned to ""routinely deployable unit[s]"" and certain employees of DOD and DHS","2"
"Department of Justice","Agency Overall","2010","15 U.S.C. § 18a(h)","Lieberman v. FTC, 771 F.2d 32 (2d Cir. 1985)","Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976","2"
"Department of Justice","Agency Overall","2010","15 U.S.C. § 1314(g)","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612, slip op. at 1 (S.D.N.Y. Oct. 6, 1981)","""Any documentary material, answers to written interrogatories, or transcripts of oral testimony"" provided pursuant to certain civil investigative demands pertaining to antitrust investigations","2"
"Department of Justice","Agency Overall","2010","15 U.S.C. § 4305(d)","None","Information submitted under the National Cooperative Research and Production Act of 1993","1"
"Department of Justice","Agency Overall","2010","18 U.S.C. § 1461","None","Obscene materials","1"
"Department of Justice","Agency Overall","2010","18 U.S.C. §§ 2252, 2252A","None","""[M]aterial pertaining to the sexual exploitation of children""; ""material constituting or containing child porngraphy""","1"
"Department of Justice","Agency Overall","2010","18 U.S.C. §§ 2510-20","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam)","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","111"
"Department of Justice","Agency Overall","2010","18 U.S.C. § 3123(d)","Jennings v. FBI, No 03-1651, slip op. at 11-12 (D.D.C. May 6, 2004)","Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","38"
"Department of Justice","Agency Overall","2010","18 U.S.C. § 3153","None","Information regarding pre-trial services","3"
"Department of Justice","Agency Overall","2010","18 U.S.C. § 3521 (b)(1)","Bonadonna v. DOJ, No. 09-40011-RWZ, 2010 WL 745790, at *1 (D. Mass. Feb. 22, 2010)","Witness security information","60"
"Department of Justice","Agency Overall","2010","18 U.S.C. § 5038","None","Juvenile arrest records","10"
"Department of Justice","Agency Overall","2010","22 U.S.C. § 2778(e)","Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998)","Certain information pertaining to export license applications","1"
"Department of Justice","Agency Overall","2010","26 U.S.C. §§ 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. Sec 6103)","Certain tax return information and certain tax convention information","61"
"Department of Justice","Agency Overall","2010","28 U.S.C. § 651","None","Documents filed under seal and confidential mediation documents","1"
"Department of Justice","Agency Overall","2010","31 U.S.C. § 3730","None","Records pertaining to financial false claims","1"
"Department of Justice","Agency Overall","2010","31 U.S.C. § 5319","Berger v. IRS, 487 F. Supp. 2d 482 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009)","Reports pertaining to monetary instrument transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","23"
"Department of Justice","Agency Overall","2010","42 U.S.C. § 3789g","None","Data received by the Bureau of Justice Statistics and used only for statistical or research purposes","2"
"Department of Justice","Agency Overall","2010","50 U.S.C. § 403g","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009)","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","105"
"Department of Justice","Agency Overall","2010","50 U.S.C. § 403-1(i)(1)","CIA v. Sims, 471 U.S. 159, 167 (1985)","Intelligence sources and methods","82"
"Department of Justice","Agency Overall","2010","50 U.S.C. § 431","CIA v. Sims, 471 U.S. 159, 167, 174 n.19 (1985) (dictum)","""[O]perational files of the Central Intelligence Agency""","2"
"Department of Justice","Agency Overall","2010","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007)","Certain records pertaining to grand jury proceedings","777"
"Department of Justice","Agency Overall","2010","Pub. L. No. 111-8, 123 Stat. 524","City of Chicago v. U.S. Dep't of the Treasury, 423 F.3d 777 (7th Cir. 2005)","Information required to be maintained by Federal Firearms Licensees and information maintained in the ATF Firearms Tracing Systems","226"
"Department of Housing and Urban Development","Agency Overall","2010","41 USC 253b(m)","Hornbostel v. United States Department of Interior, 305 F. Supp. 2d 21 (DDC, 2003)","Proposals received from unsuccessful offerors and not incorporated into the contract","19"
"Department of Housing and Urban Development","Agency Overall","2010","42 USC 3545","None","Reating factor scores, which prohibits disclosure of covered selected information during the grant selection process","2"
"U.S. Agency for International Development","Agency Overall","2010","Federal Property and Administrative Service Act, 41 U.S.C. 253b(m)","Hornbostel v. United States Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003)","Places restrictions on the release of proposal information submitted by a contractor in response to the requirements of a competitive solicitation.","6"
"U.S. Agency for International Development","Agency Overall","2010","United States Internatl Revenue Code, 26 U.S.C. 6103","Church of Scientology v. IRS, 484 U.S. 9 (1987)","Places restrictions on the release of tax return information","48"
"Department of Education","Agency Overall","2010","41 U.S.C. Section 253 b(m)(1)","Hornbostel v. DOI, 305 F. Supp. 2d 21, 30 (D.D.C. 2003) summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C.C. Aug. 25, 2004)","Business proposal documents not incorporated in contracts.","3"
"Department of Education","Agency Overall","2010","5 U.S.C. 574 (Alternative Dispute Resolution Act)","n/a","Communications relating to proceedings.","2"
"Environmental Protection Agency","Agency Overall","2010","F.R. Cr. P. 6(e)","Senate of Puerto Rico v. U.S. Department of Justice, 823 F2d 574, (D.D.C. 1987)","Records relating to Grand Jury Investigations or Proceedings","1"
"Environmental Protection Agency","Agency Overall","2010","FIFRA 7 U.S.C. 136h Sect. 10g","N","Analytical, health, environmental effects and efficacy data that prohibits registrants from disclosing information to foreign competitors","2"
"Environmental Protection Agency","Agency Overall","2010","FIFRA 7 U.S.C. 136h Sect. 10","N","Studies from registrants who engage in the distribution of pesticides in countries other than the U.S.","5"
"Environmental Protection Agency","Agency Overall","2010","P.I.A. 41 U.S.C. 253b(m)(1)","Hornbosel v. Dept. of Interior, 305 F. Supp. 2d 21 (D.D.C. 2003) as amended (2004), aff’d on other grounds, 2004 WL1900562 (D.C. Cir. 2004)","Contract Proposal","2"
"Environmental Protection Agency","Agency Overall","2010","42 U.S.C Section 241(d)","N","42 U.S.C Section 241(d)","2"
"Federal Housing Finance Agency","Agency Overall","2010","0","N/A","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","N/A","N/A","N/A","0"
"Department of Energy","Agency Overall","2010","41 U.S.C 253","Hornbostel v. United states Dept. of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug. 25, 2004).","contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","10"
"Department of Energy","Agency Overall","2010","15 U.S.C. 638(k)(4)","","Company commercialization information","1"
