"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Central Intelligence Agency","Agency Overall","2010","72","1","74","0","2","3","0","0","1","0","0","0","0","0"
"Department of Justice","Agency Overall","2010","35","390","117","12","127","444","75","0","671","166","233","163","0","0"
"Department of Housing and Urban Development","Agency Overall","2010","0","0","1","0","0","5","1","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2010","0","0","3","4","0","4","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2010","0","0","0","0","3","2","0","0","2","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2010","0","1","2","13","25","9","16","0","2","0","2","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2010","0","0","2","4","7","10","0","0","1","0","0","0","0","0"
"Peace Corps","Agency Overall","2010","0","2","0","0","2","2","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2010","1","0","1","0","1","4","0","0","2","2","0","0","0","0"
"Department of Labor","Agency Overall","2010","0","1","0","23","7","3","22","0","111","56","1","0","0","0"
"Small Business Administration","Agency Overall","2010","0","0","1","1","0","3","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2010","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2010","0","0","0","2","3","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","0","2","0","8","5","7","0","0","0","0","0","0","6","0"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2010","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2010","0","1","0","0","4","10","5","0","10","5","0","1","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2010","0","9","2","6","28","28","4","0","8","1","1","0","0","0"
"National Endowment for the Humanities","Agency Overall","2010","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2010","2","3","6","8","18","14","2","0","3","1","1","0","0","0"
"Farm Credit Administration","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2010","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2010","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2010","0","1","15","6","16","60","0","0","16","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2010","0","0","0","4","4","0","0","0","0","0","0","0","3","0"
"Office of the United States Trade Representative","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","0","3","0","1","3","2","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2010","2","2735","60","34","2456","2636","77","0","3321","11","2936","2","0","0"
"Commodity Futures Trading Commission","Agency Overall","2010","0","1","2","1","1","0","2","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2010","0","1","2","7","11","12","96","0","13","1","2","0","6","0"
"Department of Agriculture","Agency Overall","2010","0","2","12","8","13","52","3","0","24","2","9","1","0","0"
"Consumer Product Safety Commission","Agency Overall","2010","0","0","12","7","9","4","5","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2010","0","1","3","0","7","6","0","0","2","4","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","0","1","0","0","2","2","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2010","0","18","1","3","36","120","0","0","14","0","1","0","0","0"
"Department of the Treasury","Agency Overall","2010","0","10","93","9","91","60","33","0","70","3","40","0","20","0"
"National Science Foundation","Agency Overall","2010","0","0","0","2","3","2","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2010","0","1","0","0","1","2","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2010","0","0","0","0","1","24","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2010","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2010","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2010","0","1","0","4","6","6","1","0","5","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2010","0","3","1","3","5","3","3","0","5","0","1","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
