"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Central Intelligence Agency","Agency Overall","2010","2006-08-18","1505","2006-08-10","1513","2006-06-08","1576","2006-02-13","1691","2005-09-19","1838","2005-07-14","1905","2005-07-01","1918","2005-02-11","2058","2004-06-03","2311","2003-11-24","2503"
"Department of Justice","Agency Overall","2010","2010-01-07","185","2009-12-30","190","2009-12-30","190","2009-12-30","190","2009-12-28","192","2009-12-18","197","2009-10-29","231","2009-10-28","232","2009-10-27","233","2007-12-20","709"
"Department of Housing and Urban Development","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-12-15","529"
"Department of Education","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Environmental Protection Agency","Agency Overall","2010","2010-01-06","183","2010-01-04","185","2009-12-15","198","2009-12-02","207","2009-11-09","223","2009-08-19","280","2008-09-25","505","2008-09-23","506","2006-12-20","948","2006-01-30","1171"
"Federal Housing Finance Agency","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2010","2010-03-12","141","2010-02-01","169","2010-01-29","170","2009-11-18","218","2009-11-12","222","2009-11-12","222","2009-11-10","223","2006-12-05","887","2006-11-29","891","2001-06-14","2158"
"Peace Corps","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-16","63"
"National Archives and Records Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2010","N/A","0","2010-09-23","2","2010-08-20","28","2010-08-13","31","2010-08-13","31","2010-08-13","31","2010-08-13","31","2010-08-13","31","2010-08-12","32","2010-08-02","34"
"Small Business Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Arts","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-29","1","2010-09-29","1","2010-09-02","23"
"National Labor Relations Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Transportation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-03","265"
"National Endowment for the Humanities","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Administrative Conference of the United States","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-27","3","2010-09-15","13","2010-09-15","13"
"Farm Credit Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Trade and Development Agency","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
