"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Central Intelligence Agency","Agency Overall","2010","11","18","N/A","912","51","160","N/A","2293","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2010","20","31.11","<1","933","70","130.22","<1","2342","42","120.31","1","1869"
"Department of Housing and Urban Development","Agency Overall","2010","1071","315","1","441","532","342","1","296","161","133","2","57"
"U.S. Agency for International Development","Agency Overall","2010","60.5","103.31","7","739","174","315.62","7","2084","92.5","92.5","1","184"
"Department of Education","Agency Overall","2010","31","57","1","422","24","44","1","409","23","113","23","314"
"Environmental Protection Agency","Agency Overall","2010","19","34.81","<1","1398","55.5","94.89","<1","788","12","14.36","<1","66"
"Federal Housing Finance Agency","Agency Overall","2010","21","50","1","163","201","228","162","356","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","6","6","1","9","47","47","47","47","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2010","22","45.68","<1","1124","59","145.01","<1","2305","6.5","59.75","4","222"
"Peace Corps","Agency Overall","2010","20","22","1","69","52","80","22","146","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2010","19","206.5","N/A","3268","137","524","N/A","3937","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2010","16","5","1","523","11.5","27.7","1","519","0.5","11.8","1","438"
"Small Business Administration","Agency Overall","2010","7","12.3","<1","297","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2010","5","18.1","<1","655","24.5","34.9","12","120","3","3","3","3"
"Federal Energy Regulatory Commission","Agency Overall","2010","30","46","6","254","30","55","14","272","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2010","10","11","9","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2010","6","6","1","21","N/A","N/A","N/A","N/A","2","2","1","2"
"Federal Deposit Insurance Corporation","Agency Overall","2010","19","42","<1","271","24","41","<1","377","30","58","2","146"
"Millennium Challenge Corporation","Agency Overall","2010","9","22","<1","259","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2010","17.5","56","1","293","N/A","N/A","N/A","N/A","33","33","33","33"
"National Labor Relations Board","Agency Overall","2010","3","5","N/A","N/A","N/A","N/A","N/A","N/A","3","5","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","6","12","1","38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2010","12","12","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2010","17","15.2","1","20","26.5","26","21","30","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2010","11","18.59","<1","920","29","51.77","<1","1502","21","35.79","<1","259"
"National Endowment for the Humanities","Agency Overall","2010","18","18.25","8","32","69.5","149.57","21","1194","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2010","20","20","20","20","20","20","20","20","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2010","15","20","1","758","50","30","1","709","20","17","2","105"
"Farm Credit Administration","Agency Overall","2010","11.5","11.6875","N/A","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2010","N/A","N/A","N/A","N/A","60","102.3","11","302","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2010","18","15.4","2","34","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2010","10","10.4","1","26","55.5","55.3","36","74","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","2","5","1","22","14.5","16","4","32","N/A","N/A","N/A","N/A"
