"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Central Intelligence Agency","Agency Overall","2010","241","224","212","181"
"Department of Justice","Agency Overall","2010","2897","3351","2960","3413"
"Department of Housing and Urban Development","Agency Overall","2010","41","29","41","18"
"U.S. Agency for International Development","Agency Overall","2010","14","12","9","7"
"Department of Education","Agency Overall","2010","46","23","55","29"
"Environmental Protection Agency","Agency Overall","2010","167","204","217","215"
"Federal Housing Finance Agency","Agency Overall","2010","10","5","10","4"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","1","0","1"
"Department of Energy","Agency Overall","2010","49","91","51","88"
"Peace Corps","Agency Overall","2010","6","8","10","8"
"National Archives and Records Administration","Agency Overall","2010","43","39","66","37"
"Department of Labor","Agency Overall","2010","325","353","342","398"
"Small Business Administration","Agency Overall","2010","35","20","39","19"
"National Endowment for the Arts","Agency Overall","2010","1","2","1","2"
"Federal Energy Regulatory Commission","Agency Overall","2010","14","7","13","9"
"Surface Transportation Board","Agency Overall","2010","1","0","1","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","1","0","1"
"Federal Deposit Insurance Corporation","Agency Overall","2010","51","17","49","20"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2010","0","1","0","1"
"National Labor Relations Board","Agency Overall","2010","25","27","24","27"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","","","",""
"Postal Regulatory Commission","Agency Overall","2010","0","1","0","1"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0","0","0"
"Department of Transportation","Agency Overall","2010","174","159","172","180"
"National Endowment for the Humanities","Agency Overall","2010","3","2","3","2"
"Administrative Conference of the United States","Agency Overall","2010","0","0","0","0"
"Department of Commerce","Agency Overall","2010","83","97","110","84"
"Farm Credit Administration","Agency Overall","2010","","","",""
"United States Trade and Development Agency","Agency Overall","2010","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2010","0","1","0","1"
"Institute of Museum and Library Services","Agency Overall","2010","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0","0","0"
"United States Copyright Office","Agency Overall","2010","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2010","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","3","0","3","0"
"Federal Open Market Committee","Agency Overall","2010","0","1","0","1"
"Department of Veterans Affairs","Agency Overall","2010","241","231","87","185"
"Federal Reserve System","Agency Overall","2010","22","10","21","9"
"Office of the United States Trade Representative","Agency Overall","2010","3","2","3","2"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","2","1","2","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","1","4","2","4"
"Department of Homeland Security","Agency Overall","2010","2129","2740","1673","5325"
"Commodity Futures Trading Commission","Agency Overall","2010","4","7","5","7"
"Inter-American Foundation","Agency Overall","2010","","","",""
"Securities and Exchange Commission","Agency Overall","2010","247","189","267","199"
"Department of Agriculture","Agency Overall","2010","200","197","242","213"
"Consumer Product Safety Commission","Agency Overall","2010","19","24","19","24"
"Office of Personnel Management","Agency Overall","2010","30","35","28","34"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","0","5","0","5"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","0","0"
"Social Security Administration","Agency Overall","2010","113","155","105","148"
"Department of the Treasury","Agency Overall","2010","364","372","320","400"
"National Science Foundation","Agency Overall","2010","7","6","7","5"
"Office of Management and Budget","Agency Overall","2010","7","7","9","7"
"Merit Systems Protection Board","Agency Overall","2010","10","7","10","7"
"National Aeronautics and Space Administration","Agency Overall","2010","1","33","0","32"
"Export-Import Bank of the U.S.","Agency Overall","2010","2","2","2","2"
"Department of the Interior","Agency Overall","2010","149","151","249","304"
"Nuclear Regulatory Commission","Agency Overall","2010","25","24","20","28"
"Farm Credit System Insurance Corporation","Agency Overall","2010","","","",""
"Office of Special Counsel","Agency Overall","2010","8","14","11","19"
"Selective Service System","Agency Overall","2010","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","2","3","2","1"
"Legal Services Corporation","Agency Overall","2010","1","0","1","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","","","",""
"National Railroad Passenger Corporation","Agency Overall","2010","2","5","1","4"
"Department of Defense","Agency Overall","2010","961","1107","1025","1023"
"United States International Trade Commission","Agency Overall","2010","1","1","1","1"
"Office of National Drug Control Policy","Agency Overall","2010","0","0","0","0"
"United States Postal Service","Agency Overall","2010","174","154","179","151"
"General Services Administration","Agency Overall","2010","16","23","16","21"
"Federal Maritime Commission","Agency Overall","2010","1","1","0","1"
"National Credit Union Administration","Agency Overall","2010","12","12","10","12"
"Office of the Director of National Intelligence","Agency Overall","2010","5","7","5","4"
"Court Services and Offender Supervision Agency","Agency Overall","2010","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2010","160","194","174","369"
"National Transportation Safety Board","Agency Overall","2010","9","5","7","7"
"U.S. Railroad Retirement Board","Agency Overall","2010","3","3","3","3"
"U.S. Agency for Global Media","Agency Overall","2010","3","2","3","2"
"Federal Election Commission","Agency Overall","2010","1","2","1","0"
"National Mediation Board","Agency Overall","2010","0","2","0","2"
