"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Central Intelligence Agency","Agency Overall","2010","2001-01-22","3538","2000-12-28","3563","1999-11-24","3963","1999-11-10","3977","1998-10-27","4356","1998-09-08","4405","1995-12-01","5418","1995-11-29","5420","1995-07-10","5562","1995-04-26","5637"
"Department of Justice","Agency Overall","2010","2010-01-21","176","2010-01-21","176","2010-01-21","176","2010-01-21","176","2010-01-15","179","2010-01-13","181","2010-01-07","185","2010-01-05","187","2009-11-10","223","2009-10-08","245"
"Department of Housing and Urban Development","Agency Overall","2010","2010-09-30","1","2010-09-25","4","2010-07-13","58","2010-07-13","58","2010-07-08","61","2010-07-01","66","2010-06-30","67","2010-06-27","70","2010-05-29","92","2009-11-25","215"
"U.S. Agency for International Development","Agency Overall","2010","2009-09-09","266","2009-08-07","288","2009-07-10","308","2009-06-30","315","2009-02-12","411","2008-11-14","470","2008-08-05","540","2008-06-13","576","2008-02-01","669","2007-11-16","719"
"Department of Education","Agency Overall","2010","2009-10-27","243","2009-10-16","250","2009-09-24","266","2009-09-02","282","2009-09-02","282","2009-06-25","331","2009-05-29","350","2009-05-07","366","2009-05-05","368","2009-04-22","377"
"Environmental Protection Agency","Agency Overall","2010","2006-02-22","1155","2006-01-09","1185","2006-01-03","1189","2005-11-29","1212","2005-11-29","1212","2005-11-29","1212","2005-05-10","1351","2003-02-20","1909","2003-01-23","1928","2002-11-20","1970"
"Federal Housing Finance Agency","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-27","3"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2010","N/A","0","N/A","0","N/A","0","2010-09-28","2","2010-09-15","11","2010-09-13","13","2010-09-10","14","2010-08-10","36","2010-07-19","52","2008-06-12","578"
"Peace Corps","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2020-08-06","39","2010-07-13","56","2009-12-29","191","2009-11-01","229"
"Department of Labor","Agency Overall","2010","2008-07-16","807","2008-07-10","813","2008-07-07","816","2008-05-14","870","2008-05-14","870","2008-05-02","882","2008-05-02","882","2008-04-11","903","2008-02-19","955","2007-05-22","1228"
"Small Business Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-21","7"
"National Endowment for the Arts","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-10","14"
"Millennium Challenge Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-28","2","2010-09-16","10"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Transportation","Agency Overall","2010","2008-05-06","604","2008-04-07","622","2008-04-02","625","2008-01-31","671","2007-12-31","692","2007-12-17","701","2007-11-23","727","2007-11-23","727","2007-02-28","912","2007-02-01","915"
"National Endowment for the Humanities","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Administrative Conference of the United States","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2010","2006-12-13","991","2006-11-09","1015","2006-09-15","1054","2006-08-21","1073","2006-07-07","1104","2005-12-09","1254","2005-09-20","1312","2005-08-25","1330","2003-04-28","1938","2003-03-17","1968"
"Farm Credit Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Trade and Development Agency","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2010","2009-03-26","382","2009-03-16","390","2009-03-13","391","2009-02-11","412","2009-02-02","419","2008-12-22","446","2008-12-15","451","2008-10-29","482","2008-08-18","532","2007-08-17","783"
"Federal Reserve System","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-30","0","2010-09-13","13"
"Office of the United States Trade Representative","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Overseas Private Investment Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2010","2006-08-22","1027","2006-07-27","1045","2006-06-22","1069","2006-04-26","1109","2006-03-30","1128","2006-03-23","1133","2005-03-03","1398","2005-02-08","1414","2005-02-08","1414","2003-10-06","1762"
"Commodity Futures Trading Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2010","2010-09-17","9","2010-09-08","16","2010-09-07","17","2010-09-07","17","2010-08-31","21","2010-08-30","22","2010-07-14","55","2010-07-08","59","2010-06-16","74","2010-05-11","99"
"Department of Agriculture","Agency Overall","2010","2005-05-31","1354","2005-05-03","1373","2005-04-25","1378","2004-11-02","1501","2004-08-12","1558","2004-06-15","1599","2003-10-27","1764","2003-08-01","1824","2003-07-31","1825","2002-04-22","2203"
"Consumer Product Safety Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Personnel Management","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-08-12","34","2010-06-03","64","2010-04-18","88"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2010","2010-09-17","9","2010-09-17","9","2010-09-10","14","2010-09-10","14","2010-09-10","14","2010-09-10","14","2010-09-07","17","2010-08-25","26","2010-08-23","28","2010-08-02","43"
"Department of the Treasury","Agency Overall","2010","2009-05-28","410","2008-11-27","592","2008-07-03","634","2008-07-03","634","2008-04-18","710","2007-09-18","818","2007-05-04","955","2004-11-12","1648","2004-11-04","1656","2004-11-04","1656"
"National Science Foundation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-08","17"
"Office of Management and Budget","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-02-09","163","2009-09-03","269"
"Export-Import Bank of the U.S.","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Interior","Agency Overall","2010","2004-12-29","1545","2004-12-27","1547","2004-12-17","1553","2004-12-17","1553","2004-12-14","1556","2004-11-30","1566","2004-11-29","1567","2004-11-10","1580","2004-11-02","1586","2004-10-19","1596"
"Nuclear Regulatory Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-08-27","23"
"Farm Credit System Insurance Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2010","N/A","0","N/A","0","N/A","0","2010-09-27","3","2010-09-13","13","2009-09-30","250","2008-01-28","673","2007-07-06","812","2006-10-16","993","2005-08-08","1291"
"Selective Service System","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Labor Relations Authority","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-08-23","27","2010-08-23","27"
"Legal Services Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-07-12","63","2009-02-20","406"
"Department of Defense","Agency Overall","2010","1999-02-16","2913","1998-10-28","2986","1998-10-27","2987","1998-10-27","2987","1998-09-02","3024","1998-07-08","3064","1998-06-09","3084","1997-10-15","3245","1997-09-15","3266","1997-03-07","3399"
"United States International Trade Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-29","1","2010-09-17","10","2010-03-31","129","2010-03-30","130"
"General Services Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-22","6","2010-08-25","25"
"Federal Maritime Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-30","1"
"National Credit Union Administration","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-23","5","2010-05-14","96"
"Office of the Director of National Intelligence","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-07-01","122","2010-06-08","144","2010-02-17","226"
"Court Services and Offender Supervision Agency","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-07-21","51"
"U.S. Railroad Retirement Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-23","5","2010-09-13","13","2008-07-22","549"
"National Mediation Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2010","2005-08-16","1286","2005-08-16","1286","2005-08-08","1292","2005-08-08","1292","2005-08-08","1292","2005-08-01","1297","2005-08-01","1297","2005-07-20","1305","2005-07-13","1310","2005-06-27","1321"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","2010-09-29","1","2010-09-29","1","2010-09-29","1","2010-09-28","2","2010-09-27","2","2010-09-22","5","2010-09-22","5","2010-09-22","5","2010-09-21","7","2010-09-01","19"
"United States African Development Foundation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"American Battle Monuments Commission","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-09-17","9"
"Federal Communications Commission","Agency Overall","2010","2010-07-20","72","2010-07-19","73","2010-07-16","76","2010-07-02","90","2010-05-14","139","2010-04-05","178","2010-01-13","260","2010-01-05","268","2009-10-16","349","2009-06-18","469"
"Tennessee Valley Authority","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
