"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Central Intelligence Agency","Agency Overall","2010","592","715"
"Department of Justice","Agency Overall","2010","4956","5160"
"Department of Housing and Urban Development","Agency Overall","2010","406","182"
"U.S. Agency for International Development","Agency Overall","2010","223","306"
"Department of Education","Agency Overall","2010","298","341"
"Environmental Protection Agency","Agency Overall","2010","332","329"
"Federal Housing Finance Agency","Agency Overall","2010","5","12"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","0"
"Department of Energy","Agency Overall","2010","297","334"
"Peace Corps","Agency Overall","2010","2","10"
"National Archives and Records Administration","Agency Overall","2010","6854","7064"
"Department of Labor","Agency Overall","2010","619","503"
"Small Business Administration","Agency Overall","2010","8","3"
"National Endowment for the Arts","Agency Overall","2010","6","10"
"Federal Energy Regulatory Commission","Agency Overall","2010","0","0"
"Surface Transportation Board","Agency Overall","2010","0","1"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","170","109"
"Millennium Challenge Corporation","Agency Overall","2010","1","0"
"Council on Environmental Quality","Agency Overall","2010","5","3"
"National Labor Relations Board","Agency Overall","2010","1","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0"
"Postal Regulatory Commission","Agency Overall","2010","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0"
"Department of Transportation","Agency Overall","2010","1284","787"
"National Endowment for the Humanities","Agency Overall","2010","3","4"
"Administrative Conference of the United States","Agency Overall","2010","0","0"
"Department of Commerce","Agency Overall","2010","159","195"
"Farm Credit Administration","Agency Overall","2010","0","0"
"United States Trade and Development Agency","Agency Overall","2010","9","19"
"United States International Boundary and Water Commission","Agency Overall","2010","0","1"
"Institute of Museum and Library Services","Agency Overall","2010","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0"
"United States Copyright Office","Agency Overall","2010","2","1"
"National Capital Planning Commission","Agency Overall","2010","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","26","41"
"Federal Open Market Committee","Agency Overall","2010","0","1"
"Department of Veterans Affairs","Agency Overall","2010","503","648"
"Federal Reserve System","Agency Overall","2010","129","55"
"Office of the United States Trade Representative","Agency Overall","2010","24","12"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","1","2"
"Department of Homeland Security","Agency Overall","2010","18896","11383"
"Commodity Futures Trading Commission","Agency Overall","2010","6","16"
"Inter-American Foundation","Agency Overall","2010","0","0"
"Securities and Exchange Commission","Agency Overall","2010","196","159"
"Department of Agriculture","Agency Overall","2010","760","1136"
"Consumer Product Safety Commission","Agency Overall","2010","263","306"
"Office of Personnel Management","Agency Overall","2010","39","8"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","2","0"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","9"
"Social Security Administration","Agency Overall","2010","90","68"
"Department of the Treasury","Agency Overall","2010","585","419"
"National Science Foundation","Agency Overall","2010","0","24"
"Office of Management and Budget","Agency Overall","2010","1","2"
"Merit Systems Protection Board","Agency Overall","2010","5","4"
"National Aeronautics and Space Administration","Agency Overall","2010","380","117"
"Export-Import Bank of the U.S.","Agency Overall","2010","16","22"
"Department of the Interior","Agency Overall","2010","757","679"
"Nuclear Regulatory Commission","Agency Overall","2010","5","6"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0"
"Office of Special Counsel","Agency Overall","2010","6","5"
"Selective Service System","Agency Overall","2010","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","1","0"
"Legal Services Corporation","Agency Overall","2010","7","32"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","1","0"
"National Railroad Passenger Corporation","Agency Overall","2010","10","37"
"Department of Defense","Agency Overall","2010","11025","7657"
"United States International Trade Commission","Agency Overall","2010","3","0"
"Office of National Drug Control Policy","Agency Overall","2010","0","0"
"United States Postal Service","Agency Overall","2010","27","31"
"General Services Administration","Agency Overall","2010","10","26"
"Federal Maritime Commission","Agency Overall","2010","12","15"
"National Credit Union Administration","Agency Overall","2010","0","5"
"Office of the Director of National Intelligence","Agency Overall","2010","66","129"
"Court Services and Offender Supervision Agency","Agency Overall","2010","68","62"
"Department of Health and Human Services","Agency Overall","2010","17511","9552"
"National Transportation Safety Board","Agency Overall","2010","48","92"
"U.S. Railroad Retirement Board","Agency Overall","2010","0","1"
"U.S. Agency for Global Media","Agency Overall","2010","2","0"
"Federal Election Commission","Agency Overall","2010","11","10"
"National Mediation Board","Agency Overall","2010","0","1"
"National Indian Gaming Commission","Agency Overall","2010","2","4"
"U.S. Department of State","Agency Overall","2010","8784","20519"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","4"
"Equal Employment Opportunity Commission","Agency Overall","2010","136","87"
"United States African Development Foundation","Agency Overall","2010","0","0"
"American Battle Monuments Commission","Agency Overall","2010","1","0"
"Office of Science and Technology Policy","Agency Overall","2010","1","8"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","0","0"
"Federal Communications Commission","Agency Overall","2010","27","23"
"Tennessee Valley Authority","Agency Overall","2010","0","0"
"Office of Government Ethics","Agency Overall","2010","0","0"
"Federal Trade Commission","Agency Overall","2010","18","20"
"All agencies","Agency Overall","2010","76693","69526"
