"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Central Intelligence Agency","Agency Overall","2010","2863","3094","3112","2989"
"Department of Justice","Agency Overall","2010","61100","63682","59926","63368"
"Department of Housing and Urban Development","Agency Overall","2010","2758","3053","3049","3277"
"U.S. Agency for International Development","Agency Overall","2010","311","286","330","234"
"Department of Education","Agency Overall","2010","2307","2114","2232","2077"
"Environmental Protection Agency","Agency Overall","2010","10317","10409","10404","10071"
"Federal Housing Finance Agency","Agency Overall","2010","118","116","116","109"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","16","19","16","19"
"Department of Energy","Agency Overall","2010","1790","2206","1733","2149"
"Peace Corps","Agency Overall","2010","240","198","260","190"
"National Archives and Records Administration","Agency Overall","2010","18581","15781","17508","15573"
"Department of Labor","Agency Overall","2010","16722","17398","16805","17625"
"Small Business Administration","Agency Overall","2010","3892","3162","3898","3166"
"National Endowment for the Arts","Agency Overall","2010","94","146","83","153"
"Federal Energy Regulatory Commission","Agency Overall","2010","113","103","112","114"
"Surface Transportation Board","Agency Overall","2010","14","7","14","7"
"Federal Mediation and Conciliation Service","Agency Overall","2010","133","142","133","141"
"Federal Deposit Insurance Corporation","Agency Overall","2010","2207","1987","2045","2004"
"Millennium Challenge Corporation","Agency Overall","2010","26","22","29","23"
"Council on Environmental Quality","Agency Overall","2010","48","25","48","24"
"National Labor Relations Board","Agency Overall","2010","5583","5905","5625","5899"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","99","122","97","123"
"Postal Regulatory Commission","Agency Overall","2010","22","30","22","30"
"Occupational Safety and Health Review Commission","Agency Overall","2010","58","61","57","66"
"Department of Transportation","Agency Overall","2010","9018","10363","9282","10121"
"National Endowment for the Humanities","Agency Overall","2010","45","52","42","53"
"Administrative Conference of the United States","Agency Overall","2010","0","2","0","2"
"Department of Commerce","Agency Overall","2010","2091","2113","2092","2021"
"Farm Credit Administration","Agency Overall","2010","0","27","0","26"
"United States Trade and Development Agency","Agency Overall","2010","21","21","12","11"
"United States International Boundary and Water Commission","Agency Overall","2010","27","27","24","29"
"Institute of Museum and Library Services","Agency Overall","2010","41","49","5","51"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","46","98","47","98"
"United States Copyright Office","Agency Overall","2010","31","36","32","44"
"National Capital Planning Commission","Agency Overall","2010","8","19","8","19"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","44","36","46","22"
"Federal Open Market Committee","Agency Overall","2010","38","30","38","29"
"Department of Veterans Affairs","Agency Overall","2010","69432","29127","71487","28857"
"Federal Reserve System","Agency Overall","2010","1015","757","848","857"
"Office of the United States Trade Representative","Agency Overall","2010","60","41","54","53"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","12","16","12","16"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","15","12","17","12"
"Overseas Private Investment Corporation","Agency Overall","2010","38","44","37","43"
"Department of Homeland Security","Agency Overall","2010","103060","130098","160004","138651"
"Commodity Futures Trading Commission","Agency Overall","2010","199","158","200","153"
"Inter-American Foundation","Agency Overall","2010","8","9","7","9"
"Securities and Exchange Commission","Agency Overall","2010","7878","10461","8285","10554"
"Department of Agriculture","Agency Overall","2010","12946","20368","13410","19962"
"Consumer Product Safety Commission","Agency Overall","2010","3435","3220","3465","3195"
"Office of Personnel Management","Agency Overall","2010","3273","3009","3317","3056"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","71","69","63","72"
"U.S. Commission on Civil Rights","Agency Overall","2010","42","40","42","30"
"Social Security Administration","Agency Overall","2010","31340","32997","31551","33012"
"Department of the Treasury","Agency Overall","2010","20068","16911","18404","18564"
"National Science Foundation","Agency Overall","2010","395","500","379","465"
"Office of Management and Budget","Agency Overall","2010","138","147","126","141"
"Merit Systems Protection Board","Agency Overall","2010","334","400","335","401"
"National Aeronautics and Space Administration","Agency Overall","2010","401","1058","115","1306"
"Export-Import Bank of the U.S.","Agency Overall","2010","108","96","96","95"
"Department of the Interior","Agency Overall","2010","5208","6127","5088","5945"
"Nuclear Regulatory Commission","Agency Overall","2010","302","342","297","343"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","8","0","8"
"Office of Special Counsel","Agency Overall","2010","152","120","139","138"
"Selective Service System","Agency Overall","2010","29","37","29","37"
"Federal Labor Relations Authority","Agency Overall","2010","78","109","89","110"
"Legal Services Corporation","Agency Overall","2010","31","35","141","10"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","19","22","2","22"
"National Railroad Passenger Corporation","Agency Overall","2010","182","203","200","176"
"Department of Defense","Agency Overall","2010","67434","73573","68133","74790"
"United States International Trade Commission","Agency Overall","2010","53","46","50","47"
"Office of National Drug Control Policy","Agency Overall","2010","19","19","19","19"
"United States Postal Service","Agency Overall","2010","1727","2008","1853","2018"
"General Services Administration","Agency Overall","2010","1558","1730","1534","1622"
"Federal Maritime Commission","Agency Overall","2010","10","37","2","33"
"National Credit Union Administration","Agency Overall","2010","193","163","184","167"
"Office of the Director of National Intelligence","Agency Overall","2010","115","221","111","152"
"Court Services and Offender Supervision Agency","Agency Overall","2010","907","719","806","723"
"Department of Health and Human Services","Agency Overall","2010","43122","63839","50303","69860"
"National Transportation Safety Board","Agency Overall","2010","319","315","306","271"
"U.S. Railroad Retirement Board","Agency Overall","2010","112","120","118","119"
"U.S. Agency for Global Media","Agency Overall","2010","22","40","22","37"
"Federal Election Commission","Agency Overall","2010","76","77","67","81"
"National Mediation Board","Agency Overall","2010","22","28","22","27"
"National Indian Gaming Commission","Agency Overall","2010","67","70","67","72"
"U.S. Department of State","Agency Overall","2010","10717","30206","6024","18386"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","4","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","15990","16652","15114","16343"
"United States African Development Foundation","Agency Overall","2010","0","4","0","4"
"American Battle Monuments Commission","Agency Overall","2010","13","17","12","18"
"Office of Science and Technology Policy","Agency Overall","2010","31","44","39","37"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","2","0","2"
"Federal Financial Institutions Examination Council","Agency Overall","2010","2","24","2","24"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","4526","5834","4512","5611"
"Federal Communications Commission","Agency Overall","2010","651","593","659","598"
