"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Central Intelligence Agency","Agency Overall","2010","2004-04-07","2368","2004-02-25","2409","2004-01-13","2453","2003-11-24","2503","2003-07-15","2635","2003-07-10","2640","2003-05-19","2691","2001-01-26","3535","1999-09-01","4048","1998-10-07","4377"
"Department of Justice","Agency Overall","2010","2005-06-22","1360","2005-05-05","1394","2005-05-05","1394","2005-05-02","1397","2005-02-25","1443","2005-01-05","1480","2004-11-09","1521","2004-09-01","1570","2004-06-18","1623","2003-09-04","1829"
"Department of Housing and Urban Development","Agency Overall","2010","2009-06-19","318","2009-06-18","319","2009-06-01","332","2009-05-29","334","2009-05-28","335","2009-05-20","341","2009-04-07","372","2009-03-12","390","2008-12-28","440","2008-02-21","557"
"U.S. Agency for International Development","Agency Overall","2010","2006-09-01","1021","2006-09-01","1021","2006-09-01","1021","2006-07-24","1050","2006-07-12","1058","2006-06-14","1077","2006-05-01","1108","2006-02-24","1154","2006-02-03","1168","2006-02-03","1168"
"Department of Education","Agency Overall","2010","2009-05-11","365","2009-05-06","368","2009-05-06","368","2009-04-09","387","2009-04-06","390","2009-04-03","391","2009-03-27","396","2009-03-27","396","2009-02-12","427","2008-12-17","468"
"Environmental Protection Agency","Agency Overall","2010","2005-06-15","1327","2005-06-08","1333","2005-05-25","1342","2005-05-06","1353","2005-03-18","1389","2005-03-08","1396","2005-01-28","1422","2005-01-05","1438","2005-01-04","1439","2004-12-01","1461"
"Federal Housing Finance Agency","Agency Overall","2010","2010-07-15","54","2010-07-08","59","2010-06-15","75","2010-05-24","92","2010-03-10","143","2010-02-01","165","2010-02-01","165","2010-01-27","168","2010-01-05","183","2010-01-05","183"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2010","2006-11-02","981","2006-10-06","999","2006-06-12","1081","2006-06-09","1082","2006-04-18","1119","2005-08-05","1293","2005-08-05","1293","2005-02-03","1465","2003-03-12","1898","2001-02-14","2425"
"Peace Corps","Agency Overall","2010","2010-09-23","58","2010-09-20","96","2010-08-02","97","2010-07-28","100","2010-07-22","103","2010-07-19","106","2010-06-09","134","2010-04-07","179","2010-03-15","196","2010-02-11","218"
"National Archives and Records Administration","Agency Overall","2010","1993-05-13","4363","1993-03-25","4398","1993-02-03","4433","1993-02-03","4433","1993-01-14","4446","1992-12-14","4467","1992-10-29","4497","1992-10-27","4499","1992-09-28","4519","1992-07-10","4574"
"Department of Labor","Agency Overall","2010","2007-09-04","763","2007-08-29","766","2007-08-13","787","2007-06-11","826","2007-06-08","832","2007-05-09","844","2007-03-27","875","2007-02-15","905","2006-11-15","973","2006-10-05","997"
"Small Business Administration","Agency Overall","2010","2010-09-21","7","2010-09-16","10","2010-09-14","12","2010-09-10","14","2010-09-08","16","2010-08-24","26","2010-08-20","28","2010-04-07","123","2009-10-20","238","2009-05-20","342"
"National Endowment for the Arts","Agency Overall","2010","N/A","0","N/A","0","N/A","0","2010-09-24","4","2010-08-23","27","2010-02-26","151","2009-11-18","213","2009-10-21","232","2009-09-28","248","2009-09-24","250"
