"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Central Intelligence Agency","Agency Overall","2010","1472","243","44","21","5","10","4","1","1","2","5","0","9","1817"
"Department of Justice","Agency Overall","2010","30410","10204","3846","1887","1101","722","431","283","253","169","363","124","53","49846"
"Department of Housing and Urban Development","Agency Overall","2010","1010","678","382","123","71","69","29","27","18","21","46","21","17","2512"
"U.S. Agency for International Development","Agency Overall","2010","19","9","7","6","0","2","5","1","1","1","7","0","1","59"
"Department of Education","Agency Overall","2010","559","370","190","126","88","50","52","26","18","18","65","30","1","1593"
"Environmental Protection Agency","Agency Overall","2010","5245","2472","588","219","242","170","179","132","34","19","70","27","78","9475"
"Federal Housing Finance Agency","Agency Overall","2010","30","13","9","7","4","11","1","1","2","0","0","0","0","78"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","17","1","0","0","0","0","0","0","0","0","0","0","0","18"
"Department of Energy","Agency Overall","2010","955","312","132","74","40","29","28","17","13","13","27","13","12","1665"
"Peace Corps","Agency Overall","2010","118","53","9","10","0","0","0","0","0","0","0","0","0","190"
"National Archives and Records Administration","Agency Overall","2010","13560","633","277","118","58","43","28","16","9","6","10","21","203","14982"
"Department of Labor","Agency Overall","2010","6908","928","242","108","71","61","32","24","17","11","42","1","2","8447"
"Small Business Administration","Agency Overall","2010","3057","79","10","12","3","1","1","0","0","0","3","0","0","3166"
"National Endowment for the Arts","Agency Overall","2010","127","8","2","1","1","0","0","0","0","0","0","1","2","142"
"Federal Energy Regulatory Commission","Agency Overall","2010","24","18","2","3","1","1","1","0","0","0","1","0","0","51"
"Surface Transportation Board","Agency Overall","2010","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Federal Mediation and Conciliation Service","Agency Overall","2010","141","1","0","0","0","0","0","0","0","0","0","0","0","142"
"Federal Deposit Insurance Corporation","Agency Overall","2010","528","175","47","24","31","34","25","13","51","15","4","0","0","947"
"Millennium Challenge Corporation","Agency Overall","2010","21","1","0","0","0","0","0","0","0","0","1","0","0","23"
"Council on Environmental Quality","Agency Overall","2010","17","3","0","2","1","0","0","0","0","0","1","0","0","24"
