"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Central Intelligence Agency","Agency Overall","2010","443","864","737","157","79","3","2","22","601","1","0","80","2989"
"Department of Justice","Agency Overall","2010","26376","8673","2039","13993","717","657","1545","3622","2129","1014","1975","628","63368"
"Department of Housing and Urban Development","Agency Overall","2010","1291","542","70","487","119","107","65","76","51","48","124","297","3277"
"U.S. Agency for International Development","Agency Overall","2010","48","104","7","22","0","10","3","0","0","0","5","35","234"
"Department of Education","Agency Overall","2010","700","740","71","162","9","116","57","22","129","25","46","0","2077"
"Environmental Protection Agency","Agency Overall","2010","4445","607","100","3808","218","637","39","103","16","12","79","7","10071"
"Federal Housing Finance Agency","Agency Overall","2010","13","15","6","61","1","12","0","0","0","1","0","0","109"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","4","4","0","10","1","0","0","0","0","0","0","0","19"
"Department of Energy","Agency Overall","2010","826","475","25","272","315","125","21","14","16","43","17","0","2149"
"Peace Corps","Agency Overall","2010","114","16","7","31","4","10","3","0","5","0","0","0","190"
"National Archives and Records Administration","Agency Overall","2010","456","143","4","14420","88","60","7","100","41","13","26","215","15573"
"Department of Labor","Agency Overall","2010","4358","6454","1512","3120","232","428","289","153","114","210","497","258","17625"
"Small Business Administration","Agency Overall","2010","2601","172","25","144","131","34","7","15","6","21","4","6","3166"
"National Endowment for the Arts","Agency Overall","2010","35","91","2","14","0","4","0","1","3","2","0","1","153"
"Federal Energy Regulatory Commission","Agency Overall","2010","25","38","16","15","1","19","0","0","0","0","0","0","114"
"Surface Transportation Board","Agency Overall","2010","2","1","0","3","0","1","0","0","0","0","0","0","7"
"Federal Mediation and Conciliation Service","Agency Overall","2010","68","1","0","31","1","6","1","3","0","24","6","0","141"
"Federal Deposit Insurance Corporation","Agency Overall","2010","915","175","74","130","4","246","56","118","0","275","11","0","2004"
"Millennium Challenge Corporation","Agency Overall","2010","8","9","2","3","1","0","0","0","0","0","0","0","23"
"Council on Environmental Quality","Agency Overall","2010","3","8","0","12","0","0","0","1","0","0","0","0","24"
"National Labor Relations Board","Agency Overall","2010","4778","505","308","33","128","146","","","","1","","","5899"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","115","8","0","0","0","0","0","0","0","0","0","0","123"
"Postal Regulatory Commission","Agency Overall","2010","9","0","0","5","16","0","0","0","0","0","0","0","30"
"Occupational Safety and Health Review Commission","Agency Overall","2010","23","11","0","11","0","19","2","0","0","0","0","0","66"
"Department of Transportation","Agency Overall","2010","4652","2467","138","1649","42","730","183","26","39","34","38","123","10121"
"National Endowment for the Humanities","Agency Overall","2010","3","31","0","18","0","0","0","0","0","0","1","0","53"
"Administrative Conference of the United States","Agency Overall","2010","0","2","0","0","0","0","0","0","0","0","0","0","2"
"Department of Commerce","Agency Overall","2010","763","308","83","195","80","99","168","45","94","119","20","47","2021"
"Farm Credit Administration","Agency Overall","2010","12","1","1","6","1","2","0","1","0","1","1","0","26"
"United States Trade and Development Agency","Agency Overall","2010","4","3","0","4","0","0","0","0","0","0","0","0","11"
"United States International Boundary and Water Commission","Agency Overall","2010","16","6","1","6","0","0","0","0","0","0","0","0","29"
"Institute of Museum and Library Services","Agency Overall","2010","12","27","0","7","0","0","0","0","0","3","1","1","51"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","85","1","0","6","3","3","0","0","0","0","0","0","98"
"United States Copyright Office","Agency Overall","2010","10","2","0","3","0","0","9","1","0","19","0","0","44"
"National Capital Planning Commission","Agency Overall","2010","13","0","0","4","0","0","2","0","0","0","0","0","19"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","1","5","7","5","0","3","0","0","0","0","1","0","22"
"Federal Open Market Committee","Agency Overall","2010","16","2","0","8","0","0","0","0","3","0","0","0","29"
"Department of Veterans Affairs","Agency Overall","2010","11808","7031","6273","1391","0","249","177","144","0","0","119","1665","28857"
"Federal Reserve System","Agency Overall","2010","445","82","48","83","46","135","0","10","1","0","2","5","857"
"Office of the United States Trade Representative","Agency Overall","2010","13","21","3","14","0","2","0","0","0","0","0","0","53"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","5","5","2","0","0","1","0","0","0","3","0","0","16"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","3","3","0","4","0","0","0","0","0","0","0","2","12"
"Overseas Private Investment Corporation","Agency Overall","2010","4","20","2","10","1","1","1","0","2","0","2","0","43"
"Department of Homeland Security","Agency Overall","2010","16721","78626","967","11257","6333","713","328","262","17408","4332","1399","305","138651"
"Commodity Futures Trading Commission","Agency Overall","2010","61","34","10","34","0","11","0","0","0","3","0","0","153"
"Inter-American Foundation","Agency Overall","2010","2","2","0","4","1","0","0","0","0","0","0","0","9"
"Securities and Exchange Commission","Agency Overall","2010","1418","395","474","7481","37","168","72","27","17","23","89","353","10554"
"Department of Agriculture","Agency Overall","2010","15415","1949","393","870","557","289","124","62","67","78","51","107","19962"
"Consumer Product Safety Commission","Agency Overall","2010","2349","407","58","148","140","37","24","0","0","0","31","1","3195"
"Office of Personnel Management","Agency Overall","2010","2872","82","23","19","5","14","","","","27","3","11","3056"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","42","11","1","12","0","6","0","0","0","0","0","0","72"
"U.S. Commission on Civil Rights","Agency Overall","2010","16","1","0","13","0","0","0","0","0","0","0","0","30"
"Social Security Administration","Agency Overall","2010","31099","1507","158","120","3","3","43","56","10","11","2","0","33012"
"Department of the Treasury","Agency Overall","2010","6515","2912","491","1556","1749","300","336","843","3229","353","122","158","18564"
"National Science Foundation","Agency Overall","2010","62","317","20","26","2","20","2","5","3","0","1","7","465"
"Office of Management and Budget","Agency Overall","2010","39","39","6","57","0","0","0","0","0","0","0","0","141"
"Merit Systems Protection Board","Agency Overall","2010","348","27","22","0","4","0","0","0","0","0","0","0","401"
"National Aeronautics and Space Administration","Agency Overall","2010","413","320","32","150","0","198","31","10","0","0","22","130","1306"
"Export-Import Bank of the U.S.","Agency Overall","2010","37","41","2","12","0","3","0","0","0","0","0","0","95"
"Department of the Interior","Agency Overall","2010","3067","1108","126","529","141","287","129","55","68","63","88","284","5945"
"Nuclear Regulatory Commission","Agency Overall","2010","105","100","20","48","0","22","8","0","5","4","1","30","343"
"Farm Credit System Insurance Corporation","Agency Overall","2010","1","0","0","7","0","0","0","0","0","0","0","0","8"
"Office of Special Counsel","Agency Overall","2010","32","32","23","32","0","2","6","1","0","0","0","10","138"
"Selective Service System","Agency Overall","2010","37","0","0","0","0","0","0","0","0","0","0","0","37"
"Federal Labor Relations Authority","Agency Overall","2010","29","19","2","26","11","22","0","0","0","0","0","1","110"
"Legal Services Corporation","Agency Overall","2010","1","6","0","0","0","0","0","0","1","1","0","1","10"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","4","7","3","6","0","0","0","0","2","0","0","0","22"
"National Railroad Passenger Corporation","Agency Overall","2010","53","26","12","16","0","15","31","6","10","0","6","1","176"
"Department of Defense","Agency Overall","2010","29491","16133","2260","7657","6647","2516","1156","966","2139","1184","1546","3095","74790"
"United States International Trade Commission","Agency Overall","2010","17","6","2","11","2","2","0","0","3","3","1","0","47"
"Office of National Drug Control Policy","Agency Overall","2010","6","5","0","7","1","0","0","0","0","0","0","0","19"
"United States Postal Service","Agency Overall","2010","494","411","252","186","219","37","29","43","235","34","22","56","2018"
"General Services Administration","Agency Overall","2010","1033","226","37","75","63","114","21","5","3","30","15","0","1622"
"Federal Maritime Commission","Agency Overall","2010","15","1","0","6","1","10","0","0","0","0","0","0","33"
"National Credit Union Administration","Agency Overall","2010","71","54","10","17","1","4","1","0","6","0","3","0","167"
"Office of the Director of National Intelligence","Agency Overall","2010","18","42","34","22","8","1","0","0","4","1","0","22","152"
"Court Services and Offender Supervision Agency","Agency Overall","2010","38","532","0","16","0","112","8","3","0","0","4","10","723"
"Department of Health and Human Services","Agency Overall","2010","35063","1943","6893","6288","2016","1708","1493","201","1204","215","541","12295","69860"
"National Transportation Safety Board","Agency Overall","2010","51","72","83","48","0","5","0","0","0","0","0","12","271"
"U.S. Railroad Retirement Board","Agency Overall","2010","62","4","23","26","3","0","1","0","0","0","0","0","119"
"U.S. Agency for Global Media","Agency Overall","2010","8","13","1","4","1","0","1","0","1","4","0","4","37"
"Federal Election Commission","Agency Overall","2010","25","21","1","27","2","5","0","0","0","0","0","0","81"
"National Mediation Board","Agency Overall","2010","7","5","0","15","0","0","0","0","0","0","0","0","27"
"National Indian Gaming Commission","Agency Overall","2010","19","23","4","12","2","10","0","0","1","0","1","0","72"
"U.S. Department of State","Agency Overall","2010","8710","1365","3940","756","252","161","122","348","1246","988","461","37","18386"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","908","10909","1866","383","140","61","13","36","126","19","266","1616","16343"
"United States African Development Foundation","Agency Overall","2010","2","0","0","2","0","0","0","0","0","0","0","0","4"
"American Battle Monuments Commission","Agency Overall","2010","4","4","1","7","0","0","1","0","1","0","0","0","18"
"Office of Science and Technology Policy","Agency Overall","2010","15","4","1","16","0","1","0","0","0","0","0","0","37"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","1","0","0","1","0","0","0","0","0","0","0","2"
"Federal Financial Institutions Examination Council","Agency Overall","2010","3","2","1","4","9","0","0","0","2","3","0","0","24"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","3989","233","6","26","2","3","0","1","33","1","579","738","5611"
"Federal Communications Commission","Agency Overall","2010","188","123","15","75","9","55","15","98","3","14","1","2","598"
"Tennessee Valley Authority","Agency Overall","2010","64","75","6","21","0","4","0","0","0","0","1","0","171"
"Office of Government Ethics","Agency Overall","2010","26","16","1","40","0","2","0","0","0","0","2","0","87"
"Federal Trade Commission","Agency Overall","2010","641","320","29","163","2","29","20","12","11","28","10","15","1280"
"All agencies","Agency Overall","2010","227227","150184","29872","78690","20602","10815","6652","7517","29088","9288","8243","22671","600849"
