"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Central Intelligence Agency","Agency Overall","2010","1105","44","1525","5","46","160","0","0","3","5","3","0","0","0"
"Department of Justice","Agency Overall","2010","639","4100","1360","224","1231","6484","720","40","8158","2417","1717","1300","2","0"
"Department of Housing and Urban Development","Agency Overall","2010","0","46","21","137","111","338","25","0","39","4","16","1","2","0"
"U.S. Agency for International Development","Agency Overall","2010","8","10","51","92","11","58","0","0","1","1","2","2","0","0"
"Department of Education","Agency Overall","2010","0","34","5","194","89","466","84","12","374","11","3","0","0","0"
"Environmental Protection Agency","Agency Overall","2010","18","29","30","237","292","167","123","8","49","8","6","1","0","0"
"Federal Housing Finance Agency","Agency Overall","2010","0","0","0","9","14","5","0","0","0","0","0","0","8","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2010","14","34","40","253","79","215","4","3","31","0","0","0","0","1"
"Peace Corps","Agency Overall","2010","0","10","0","0","5","8","0","0","3","0","3","0","0","0"
"National Archives and Records Administration","Agency Overall","2010","113","32","80","14","43","158","2","0","49","42","13","2","0","1"
"Department of Labor","Agency Overall","2010","0","611","97","3522","4136","2149","1543","82","5085","2585","894","4","0","0"
"Small Business Administration","Agency Overall","2010","0","4","3","137","52","92","7","0","3","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2010","0","5","2","5","8","85","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2010","0","3","5","14","17","20","0","0","0","0","0","2","0","0"
"Surface Transportation Board","Agency Overall","2010","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","0","19","0","170","76","122","4","0","7","2","1","0","86","0"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","0","11","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2010","0","4","0","0","3","4","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2010","","34","","6","130","266","241","","303","170","3","6","",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0","0","0","0","8","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0","1","0","1","5","1","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2010","3","189","156","283","699","1594","227","4","384","171","4","2","0","0"
"National Endowment for the Humanities","Agency Overall","2010","0","2","0","9","5","29","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2010","0","0","0","1","2","2","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2010","3","42","92","68","138","142","16","6","38","2","9","1","0","0"
"Farm Credit Administration","Agency Overall","2010","0","0","0","0","1","0","0","0","0","0","0","0","2","0"
"United States Trade and Development Agency","Agency Overall","2010","0","0","1","1","1","2","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2010","0","0","0","2","2","3","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2010","0","0","23","3","7","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2010","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0","2","0","5","3","4","7","0","4","2","2","0","0","0"
"Federal Open Market Committee","Agency Overall","2010","0","0","0","1","2","1","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2010","0","109","2514","217","157","10351","72","12","1365","6","11","20","0","0"
"Federal Reserve System","Agency Overall","2010","0","6","3","66","48","33","5","0","3","0","2","0","38","0"
"Office of the United States Trade Representative","Agency Overall","2010","3","6","0","2","7","11","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","1","0","0","1","5","2","0","2","0","1","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","0","13","4","9","11","12","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2010","92","53828","1670","1051","41828","54548","616","20","64905","68","55198","15","0","0"
