"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Central Intelligence Agency","Agency Overall","2010","12","40.00","52.00"
"Department of Justice","Agency Overall","2010","449","65.17","514.17"
"Department of Housing and Urban Development","Agency Overall","2010","32","26.00","58.00"
"U.S. Agency for International Development","Agency Overall","2010","5","2.25","7.25"
"Department of Education","Agency Overall","2010","12","13.85","25.85"
"Environmental Protection Agency","Agency Overall","2010","51","74.41","125.41"
"Federal Housing Finance Agency","Agency Overall","2010","0","1.60","1.60"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","0.12","0.12"
"Department of Energy","Agency Overall","2010","36","45.88","81.88"
"Peace Corps","Agency Overall","2010","0","1.00","1.00"
"National Archives and Records Administration","Agency Overall","2010","0","25.00","25.00"
"Department of Labor","Agency Overall","2010","44","101.52","145.52"
"Small Business Administration","Agency Overall","2010","3","9.50","12.50"
"National Endowment for the Arts","Agency Overall","2010","0","0.75","0.75"
"Federal Energy Regulatory Commission","Agency Overall","2010","1","4.20","5.20"
"Surface Transportation Board","Agency Overall","2010","0","0.05","0.05"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","0.55","0.55"
"Federal Deposit Insurance Corporation","Agency Overall","2010","6","6.00","12.00"
"Millennium Challenge Corporation","Agency Overall","2010","0","0.15","0.15"
"Council on Environmental Quality","Agency Overall","2010","0","0.75","0.75"
"National Labor Relations Board","Agency Overall","2010","1","6.00","7.00"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0.25","0.25"
"Postal Regulatory Commission","Agency Overall","2010","0","0.00","0.00"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","2.02","2.02"
"Department of Transportation","Agency Overall","2010","33","55.79","88.79"
"National Endowment for the Humanities","Agency Overall","2010","0","2.15","2.15"
"Administrative Conference of the United States","Agency Overall","2010","0","0.10","0.10"
"Department of Commerce","Agency Overall","2010","12","30.30","42.30"
"Farm Credit Administration","Agency Overall","2010","0","1.00","1.00"
"United States Trade and Development Agency","Agency Overall","2010","0","0.15","0.15"
"United States International Boundary and Water Commission","Agency Overall","2010","0","0.50","0.50"
"Institute of Museum and Library Services","Agency Overall","2010","0","0.15","0.15"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0.30","0.30"
"United States Copyright Office","Agency Overall","2010","0","0.81","0.81"
"National Capital Planning Commission","Agency Overall","2010","0","0.20","0.20"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0","0.21","0.21"
"Federal Open Market Committee","Agency Overall","2010","0","1.03","1.03"
"Department of Veterans Affairs","Agency Overall","2010","57","214.18","271.18"
"Federal Reserve System","Agency Overall","2010","5","15.00","20.00"
"Office of the United States Trade Representative","Agency Overall","2010","1","3.30","4.30"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","0.50","0.50"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0.25","0.25"
"Overseas Private Investment Corporation","Agency Overall","2010","0","1.20","1.20"
"Department of Homeland Security","Agency Overall","2010","357","78.25","435.25"
"Commodity Futures Trading Commission","Agency Overall","2010","1","0.33","1.33"
"Inter-American Foundation","Agency Overall","2010","0","0.05","0.05"
"Securities and Exchange Commission","Agency Overall","2010","28","14.00","42.00"
"Department of Agriculture","Agency Overall","2010","67","190.83","257.83"
"Consumer Product Safety Commission","Agency Overall","2010","10","3.00","13.00"
"Office of Personnel Management","Agency Overall","2010","21","5.50","26.50"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","0","1.00","1.00"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0.25","0.25"
"Social Security Administration","Agency Overall","2010","20","72.00","92.00"
"Department of the Treasury","Agency Overall","2010","44","75.10","119.10"
"National Science Foundation","Agency Overall","2010","0","3.87","3.87"
"Office of Management and Budget","Agency Overall","2010","1","1.50","2.50"
"Merit Systems Protection Board","Agency Overall","2010","1","0.50","1.50"
"National Aeronautics and Space Administration","Agency Overall","2010","14","8.47","22.47"
"Export-Import Bank of the U.S.","Agency Overall","2010","1","0.95","1.95"
"Department of the Interior","Agency Overall","2010","37","116.80","153.80"
"Nuclear Regulatory Commission","Agency Overall","2010","7","4.00","11.00"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0.00","0.00"
"Office of Special Counsel","Agency Overall","2010","1","1.70","2.70"
"Selective Service System","Agency Overall","2010","0","0.15","0.15"
"Federal Labor Relations Authority","Agency Overall","2010","0","1.07","1.07"
"Legal Services Corporation","Agency Overall","2010","0","0.15","0.15"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0.60","0.60"
"National Railroad Passenger Corporation","Agency Overall","2010","1","0.50","1.50"
"Department of Defense","Agency Overall","2010","424","374.09","798.09"
"United States International Trade Commission","Agency Overall","2010","0","1.50","1.50"
"Office of National Drug Control Policy","Agency Overall","2010","0","0.20","0.20"
"United States Postal Service","Agency Overall","2010","11","24.85","35.85"
"General Services Administration","Agency Overall","2010","3","5.00","8.00"
"Federal Maritime Commission","Agency Overall","2010","0","1.36","1.36"
"National Credit Union Administration","Agency Overall","2010","0","1.48","1.48"
"Office of the Director of National Intelligence","Agency Overall","2010","1","1.00","2.00"
"Court Services and Offender Supervision Agency","Agency Overall","2010","3","0.00","3.00"
"Department of Health and Human Services","Agency Overall","2010","156","99.29","255.29"
"National Transportation Safety Board","Agency Overall","2010","3","0.86","3.86"
"U.S. Railroad Retirement Board","Agency Overall","2010","0","0.48","0.48"
"U.S. Agency for Global Media","Agency Overall","2010","0","1.40","1.40"
"Federal Election Commission","Agency Overall","2010","0","1.00","1.00"
"National Mediation Board","Agency Overall","2010","0","1.15","1.15"
"National Indian Gaming Commission","Agency Overall","2010","1","0.25","1.25"
"U.S. Department of State","Agency Overall","2010","86","45.35","131.35"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0.00","0.00"
"Equal Employment Opportunity Commission","Agency Overall","2010","29","8.70","37.70"
"United States African Development Foundation","Agency Overall","2010","0","0.04","0.04"
"American Battle Monuments Commission","Agency Overall","2010","0","0.02","0.02"
"Office of Science and Technology Policy","Agency Overall","2010","0","0.30","0.30"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0.01","0.01"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0.20","0.20"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","9","2.00","11.00"
"Federal Communications Commission","Agency Overall","2010","3","15.48","18.48"
"Tennessee Valley Authority","Agency Overall","2010","1","0.40","1.40"
"Office of Government Ethics","Agency Overall","2010","0","1.05","1.05"
"Federal Trade Commission","Agency Overall","2010","2","4.61","6.61"
"All agencies","Agency Overall","2010","2103","1926.78","4029.78"
