"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Central Intelligence Agency","Agency Overall","2010","425","244","125","72","44","36","31","27","14","8","38","29","79","1172"
"Department of Justice","Agency Overall","2010","3197","1654","1012","789","641","522","409","310","248","186","610","395","566","10539"
"Department of Housing and Urban Development","Agency Overall","2010","226","221","146","64","12","15","10","6","8","2","17","3","8","738"
"U.S. Agency for International Development","Agency Overall","2010","9","12","14","9","5","11","6","8","6","2","25","8","53","168"
"Department of Education","Agency Overall","2010","196","142","58","25","15","9","5","4","4","4","10","9","1","482"
"Environmental Protection Agency","Agency Overall","2010","30","61","46","17","16","10","17","9","5","1","9","1","11","233"
"Federal Housing Finance Agency","Agency Overall","2010","0","2","0","1","2","0","1","2","2","1","5","2","0","18"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Department of Energy","Agency Overall","2010","128","96","49","38","22","20","14","9","10","4","30","17","41","478"
"Peace Corps","Agency Overall","2010","0","2","2","2","1","2","2","0","0","0","0","0","0","11"
"National Archives and Records Administration","Agency Overall","2010","216","45","22","33","18","25","13","8","6","11","35","30","325","787"
"Department of Labor","Agency Overall","2010","6311","1359","466","225","153","70","72","44","42","18","93","16","5","8874"
"Small Business Administration","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2010","1","6","0","0","0","1","0","0","0","0","0","0","0","8"
"Federal Energy Regulatory Commission","Agency Overall","2010","25","30","1","1","0","1","0","0","1","0","4","0","0","63"
"Surface Transportation Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","613","171","88","54","54","29","15","9","5","0","4","1","0","1043"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","4","0","0","0","0","0","0","0","0","0","0","0","4"
"Department of Transportation","Agency Overall","2010","923","1109","326","90","58","39","47","14","16","20","52","22","147","2863"
"National Endowment for the Humanities","Agency Overall","2010","0","4","2","3","1","1","2","0","0","0","0","0","1","14"
"Administrative Conference of the United States","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Commerce","Agency Overall","2010","37","162","70","36","18","13","14","9","4","5","13","7","4","392"
"Farm Credit Administration","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2010","2","3","1","0","1","1","0","0","0","1","0","2","0","11"
"United States International Boundary and Water Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2010","0","2","0","2","0","0","0","0","0","0","0","0","0","4"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","7","3","0","0","0","0","0","0","0","0","0","0","0","10"
"United States Copyright Office","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","1","0","6","7"
"Federal Open Market Committee","Agency Overall","2010","2","1","1","0","0","0","1","0","0","0","0","0","0","5"
"Department of Veterans Affairs","Agency Overall","2010","23474","2811","868","584","380","233","149","101","71","54","87","13","1","28826"
"Federal Reserve System","Agency Overall","2010","170","71","58","33","27","28","23","29","7","20","60","38","13","577"
"Office of the United States Trade Representative","Agency Overall","2010","0","0","1","1","2","2","0","4","3","6","5","1","3","28"
