"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Central Intelligence Agency","Agency Overall","2010","1","2","N/A","N/A"
"Department of Justice","Agency Overall","2010","151","1166","1","28.63"
"Department of Housing and Urban Development","Agency Overall","2010","34","156","20","35"
"U.S. Agency for International Development","Agency Overall","2010","3","8","5","4"
"Department of Education","Agency Overall","2010","68","210","6","14"
"Environmental Protection Agency","Agency Overall","2010","339","202","4","6.12"
"Federal Housing Finance Agency","Agency Overall","2010","7","1","61","89"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","0","N/A","N/A"
"Department of Energy","Agency Overall","2010","208","22","N/A","2.12"
"Peace Corps","Agency Overall","2010","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2010","11","54","5","65"
"Department of Labor","Agency Overall","2010","365","344","5.5","59.5"
"Small Business Administration","Agency Overall","2010","1","1","8","12"
"National Endowment for the Arts","Agency Overall","2010","0","19","1","3"
"Federal Energy Regulatory Commission","Agency Overall","2010","1","8","7","11"
"Surface Transportation Board","Agency Overall","2010","0","1","1","1"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2010","12","18","1","1"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2010","0","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2010","6","2","18","22"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2010","4","0","1","1"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0","N/A","N/A"
"Department of Transportation","Agency Overall","2010","111","57","1","9.52"
"National Endowment for the Humanities","Agency Overall","2010","6","1","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2010","0","0","N/A","N/A"
"Department of Commerce","Agency Overall","2010","16","27","5","10"
"Farm Credit Administration","Agency Overall","2010","26","0","8","9.375"
"United States Trade and Development Agency","Agency Overall","2010","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2010","11","0","1","1"
"Institute of Museum and Library Services","Agency Overall","2010","0","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2010","0","6","1","5.33"
"National Capital Planning Commission","Agency Overall","2010","1","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","2","0","9","9"
"Federal Open Market Committee","Agency Overall","2010","7","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2010","482","26","3","30.3"
"Federal Reserve System","Agency Overall","2010","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2010","6","0","3","2"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","15","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","3","2","4","3.6"
"Overseas Private Investment Corporation","Agency Overall","2010","0","2","2.4","2.4"
"Department of Homeland Security","Agency Overall","2010","74","163","8","42.5"
"Commodity Futures Trading Commission","Agency Overall","2010","0","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2010","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2010","2","1","N/A","15"
"Department of Agriculture","Agency Overall","2010","1163","60","11","2.71"
"Consumer Product Safety Commission","Agency Overall","2010","2","6","10","23"
"Office of Personnel Management","Agency Overall","2010","9","5","17","33"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","9","4","20","30.2"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2010","0","18","5","5"
"Department of the Treasury","Agency Overall","2010","132","192","N/A","19.3"
"National Science Foundation","Agency Overall","2010","1","4","19","28"
