"Agency","Component","Fiscal Year","Total"
"Central Intelligence Agency","Agency Overall","2010","80"
"Department of Justice","Agency Overall","2010","628"
"Department of Housing and Urban Development","Agency Overall","2010","297"
"U.S. Agency for International Development","Agency Overall","2010","35"
"Department of Education","Agency Overall","2010","0"
"Environmental Protection Agency","Agency Overall","2010","7"
"Federal Housing Finance Agency","Agency Overall","2010","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0"
"Department of Energy","Agency Overall","2010","0"
"Peace Corps","Agency Overall","2010","0"
"National Archives and Records Administration","Agency Overall","2010","215"
"Department of Labor","Agency Overall","2010","258"
"Small Business Administration","Agency Overall","2010","6"
"National Endowment for the Arts","Agency Overall","2010","1"
"Federal Energy Regulatory Commission","Agency Overall","2010","0"
"Surface Transportation Board","Agency Overall","2010","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","0"
"Millennium Challenge Corporation","Agency Overall","2010","0"
"Council on Environmental Quality","Agency Overall","2010","0"
"National Labor Relations Board","Agency Overall","2010","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0"
"Postal Regulatory Commission","Agency Overall","2010","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0"
"Department of Transportation","Agency Overall","2010","123"
"National Endowment for the Humanities","Agency Overall","2010","0"
"Administrative Conference of the United States","Agency Overall","2010","0"
"Department of Commerce","Agency Overall","2010","47"
"Farm Credit Administration","Agency Overall","2010","0"
"United States Trade and Development Agency","Agency Overall","2010","0"
"United States International Boundary and Water Commission","Agency Overall","2010","0"
"Institute of Museum and Library Services","Agency Overall","2010","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0"
"United States Copyright Office","Agency Overall","2010","0"
"National Capital Planning Commission","Agency Overall","2010","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0"
"Federal Open Market Committee","Agency Overall","2010","0"
"Department of Veterans Affairs","Agency Overall","2010","1665"
"Federal Reserve System","Agency Overall","2010","5"
"Office of the United States Trade Representative","Agency Overall","2010","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","2"
"Overseas Private Investment Corporation","Agency Overall","2010","0"
"Department of Homeland Security","Agency Overall","2010","305"
"Commodity Futures Trading Commission","Agency Overall","2010","0"
"Inter-American Foundation","Agency Overall","2010","0"
"Securities and Exchange Commission","Agency Overall","2010","353"
"Department of Agriculture","Agency Overall","2010","107"
"Consumer Product Safety Commission","Agency Overall","2010","1"
"Office of Personnel Management","Agency Overall","2010","11"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","0"
"U.S. Commission on Civil Rights","Agency Overall","2010","0"
"Social Security Administration","Agency Overall","2010","0"
"Department of the Treasury","Agency Overall","2010","158"
"National Science Foundation","Agency Overall","2010","7"
"Office of Management and Budget","Agency Overall","2010","0"
"Merit Systems Protection Board","Agency Overall","2010","0"
"National Aeronautics and Space Administration","Agency Overall","2010","130"
"Export-Import Bank of the U.S.","Agency Overall","2010","0"
"Department of the Interior","Agency Overall","2010","284"
"Nuclear Regulatory Commission","Agency Overall","2010","30"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0"
"Office of Special Counsel","Agency Overall","2010","10"
"Selective Service System","Agency Overall","2010","0"
"Federal Labor Relations Authority","Agency Overall","2010","1"
"Legal Services Corporation","Agency Overall","2010","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0"
"National Railroad Passenger Corporation","Agency Overall","2010","1"
"Department of Defense","Agency Overall","2010","3095"
"United States International Trade Commission","Agency Overall","2010","0"
"Office of National Drug Control Policy","Agency Overall","2010","0"
"United States Postal Service","Agency Overall","2010","56"
"General Services Administration","Agency Overall","2010","0"
"Federal Maritime Commission","Agency Overall","2010","0"
"National Credit Union Administration","Agency Overall","2010","0"
"Office of the Director of National Intelligence","Agency Overall","2010","22"
"Court Services and Offender Supervision Agency","Agency Overall","2010","10"
"Department of Health and Human Services","Agency Overall","2010","12295"
"National Transportation Safety Board","Agency Overall","2010","12"
"U.S. Railroad Retirement Board","Agency Overall","2010","0"
"U.S. Agency for Global Media","Agency Overall","2010","4"
"Federal Election Commission","Agency Overall","2010","0"
"National Mediation Board","Agency Overall","2010","0"
"National Indian Gaming Commission","Agency Overall","2010","0"
"U.S. Department of State","Agency Overall","2010","37"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","1616"
"United States African Development Foundation","Agency Overall","2010","0"
"American Battle Monuments Commission","Agency Overall","2010","0"
"Office of Science and Technology Policy","Agency Overall","2010","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","738"
"Federal Communications Commission","Agency Overall","2010","2"
"Tennessee Valley Authority","Agency Overall","2010","0"
"Office of Government Ethics","Agency Overall","2010","0"
"Federal Trade Commission","Agency Overall","2010","15"
"All agencies","Agency Overall","2010","22671"
