"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Central Intelligence Agency","Agency Overall","2010","121","145","N/A","1246"
"Department of Justice","Agency Overall","2010","55","78.27","1","409"
"Department of Housing and Urban Development","Agency Overall","2010","374","378","2","140"
"U.S. Agency for International Development","Agency Overall","2010","67","72.14","30","132"
"Department of Education","Agency Overall","2010","139","147","30","359"
"Environmental Protection Agency","Agency Overall","2010","29","190.22","<1","2256"
"Federal Housing Finance Agency","Agency Overall","2010","8","11","6","21"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","11","11","11","11"
"Department of Energy","Agency Overall","2010","15","30","1","351"
"Peace Corps","Agency Overall","2010","21","23","10","46"
"National Archives and Records Administration","Agency Overall","2010","21","49","2","219"
"Department of Labor","Agency Overall","2010","81.5","219.74","N/A","N/A"
"Small Business Administration","Agency Overall","2010","15","14.6","4","32"
"National Endowment for the Arts","Agency Overall","2010","13","13","6","20"
"Federal Energy Regulatory Commission","Agency Overall","2010","25","30","8","64"
"Surface Transportation Board","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2010","10","10","10","10"
"Federal Deposit Insurance Corporation","Agency Overall","2010","19","20","10","69"
"Millennium Challenge Corporation","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2010","28","28","28","28"
"National Labor Relations Board","Agency Overall","2010","18","17","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2010","11","11","11","11"
"Occupational Safety and Health Review Commission","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2010","100","217.88","<1","1636"
"National Endowment for the Humanities","Agency Overall","2010","21","21","20","22"
"Administrative Conference of the United States","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2010","97","112","1","1486"
"Farm Credit Administration","Agency Overall","2010","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2010","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2010","20","20","20","20"
"Institute of Museum and Library Services","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2010","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2010","20","20","20","20"
"Department of Veterans Affairs","Agency Overall","2010","138","180.26","1","997"
"Federal Reserve System","Agency Overall","2010","16","16","11","24"
"Office of the United States Trade Representative","Agency Overall","2010","32","32","17","47"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","20","20","20","20"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2010","4","8.57","N/A","21"
"Department of Homeland Security","Agency Overall","2010","142","223.62","1","1979"
"Commodity Futures Trading Commission","Agency Overall","2010","17","46","17","115"
"Inter-American Foundation","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2010","12","33","1","315"
"Department of Agriculture","Agency Overall","2010","461","131.822","1","2160"
"Consumer Product Safety Commission","Agency Overall","2010","17","16","5","20"
"Office of Personnel Management","Agency Overall","2010","50","57","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","14","25.6","8","82"
"U.S. Commission on Civil Rights","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2010","36","42","1","169"
"Department of the Treasury","Agency Overall","2010","55","82.76","1","3787"
"National Science Foundation","Agency Overall","2010","20","19","19","20"
"Office of Management and Budget","Agency Overall","2010","49","57","10","146"
"Merit Systems Protection Board","Agency Overall","2010","19","20","16","25"
"National Aeronautics and Space Administration","Agency Overall","2010","20.00","19.42","<1","45"
"Export-Import Bank of the U.S.","Agency Overall","2010","21","21","17","25"
"Department of the Interior","Agency Overall","2010","642","845","1","1820"
"Nuclear Regulatory Commission","Agency Overall","2010","24","31","<1","133"
"Farm Credit System Insurance Corporation","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2010","44","276","1","1600"
"Selective Service System","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2010","24","24","24","24"
"Legal Services Corporation","Agency Overall","2010","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2010","61","42","5","63"
