"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Central Intelligence Agency","Agency Overall","2010","110","20","3","48","181"
"Department of Justice","Agency Overall","2010","1704","207","466","1036","3413"
"Department of Housing and Urban Development","Agency Overall","2010","5","2","6","5","18"
"U.S. Agency for International Development","Agency Overall","2010","0","4","0","3","7"
"Department of Education","Agency Overall","2010","4","4","3","18","29"
"Environmental Protection Agency","Agency Overall","2010","83","33","32","67","215"
"Federal Housing Finance Agency","Agency Overall","2010","4","0","0","0","4"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","0","0","1","1"
"Department of Energy","Agency Overall","2010","37","10","10","31","88"
"Peace Corps","Agency Overall","2010","5","0","0","3","8"
"National Archives and Records Administration","Agency Overall","2010","26","0","4","7","37"
"Department of Labor","Agency Overall","2010","27","109","6","256","398"
"Small Business Administration","Agency Overall","2010","12","1","5","1","19"
"National Endowment for the Arts","Agency Overall","2010","1","1","0","0","2"
"Federal Energy Regulatory Commission","Agency Overall","2010","5","1","0","3","9"
"Surface Transportation Board","Agency Overall","2010","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","1","0","0","0","1"
"Federal Deposit Insurance Corporation","Agency Overall","2010","12","7","1","0","20"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2010","1","0","0","0","1"
"National Labor Relations Board","Agency Overall","2010","15","8","1","3","27"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2010","1","0","0","0","1"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0"
"Department of Transportation","Agency Overall","2010","66","32","23","59","180"
"National Endowment for the Humanities","Agency Overall","2010","1","1","0","0","2"
"Administrative Conference of the United States","Agency Overall","2010","0","0","0","0","0"
"Department of Commerce","Agency Overall","2010","19","22","10","33","84"
"Farm Credit Administration","Agency Overall","2010","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2010","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2010","0","0","0","1","1"
"Institute of Museum and Library Services","Agency Overall","2010","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2010","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2010","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2010","1","0","0","0","1"
"Department of Veterans Affairs","Agency Overall","2010","33","35","15","102","185"
"Federal Reserve System","Agency Overall","2010","8","0","0","1","9"
"Office of the United States Trade Representative","Agency Overall","2010","1","0","1","0","2"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","1","0","0","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","0","4","0","0","4"
"Department of Homeland Security","Agency Overall","2010","867","3165","867","426","5325"
"Commodity Futures Trading Commission","Agency Overall","2010","3","1","1","2","7"
"Inter-American Foundation","Agency Overall","2010","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2010","106","15","52","26","199"
"Department of Agriculture","Agency Overall","2010","53","58","11","91","213"
"Consumer Product Safety Commission","Agency Overall","2010","12","6","0","6","24"
"Office of Personnel Management","Agency Overall","2010","31","1","2","0","34"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","2","3","0","0","5"
