"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Central Intelligence Agency","Agency Overall","2010","1","0","1","0","0","0","0","0","26","0","20"
"Department of Justice","Agency Overall","2010","631","40","20","149","19","62","22","91","53","23","838"
"Department of Housing and Urban Development","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","4"
"U.S. Agency for International Development","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","3"
"Department of Education","Agency Overall","2010","3","0","4","7","0","6","0","0","0","0","1"
"Environmental Protection Agency","Agency Overall","2010","3","2","39","5","0","3","1","7","5","0","2"
"Federal Housing Finance Agency","Agency Overall","2010","4","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2010","13","0","12","1","0","0","0","0","0","2","33"
"Peace Corps","Agency Overall","2010","1","0","0","0","0","0","0","2","0","0","0"
"National Archives and Records Administration","Agency Overall","2010","9","1","1","2","1","4","1","1","0","1","5"
"Department of Labor","Agency Overall","2010","48","2","55","6","0","27","3","7","0","0","108"
"Small Business Administration","Agency Overall","2010","3","0","1","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2010","0","0","3","1","0","0","0","0","0","1","0"
"Surface Transportation Board","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2010","2","0","0","0","1","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2010","0","1","0","0","0","0","1","0","0","0","0"
"National Labor Relations Board","Agency Overall","2010","2","3","0","1","0","0","1","0","0","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2010","1","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2010","24","0","13","2","1","6","1","0","0","0","39"
"National Endowment for the Humanities","Agency Overall","2010","1","0","0","0","0","0","1","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2010","5","0","6","7","0","2","2","5","0","0","6"
"Farm Credit Administration","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2010","0","0","0","0","0","0","0","0","0","0","0"
