"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Central Intelligence Agency","Agency Overall","2010","1","12","0","0","0"
"Department of Justice","Agency Overall","2010","261","887","2","9.68","911"
"Department of Housing and Urban Development","Agency Overall","2010","19","142","25","21","8"
"U.S. Agency for International Development","Agency Overall","2010","4","3","1","1","1"
"Department of Education","Agency Overall","2010","3","16","19","20","9"
"Environmental Protection Agency","Agency Overall","2010","43","163","5","5.34","177"
"Federal Housing Finance Agency","Agency Overall","2010","1","0","0","0","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","1","0","0","0","1"
"Department of Energy","Agency Overall","2010","8","51","0","6.1","49"
"Peace Corps","Agency Overall","2010","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2010","11","54","5","5","65"
"Department of Labor","Agency Overall","2010","213","241","9","104.6","199"
"Small Business Administration","Agency Overall","2010","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2010","3","11","1.5","4.9","12"
"Federal Energy Regulatory Commission","Agency Overall","2010","0","13","9","8","13"
"Surface Transportation Board","Agency Overall","2010","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2010","18","8","2","2","18"
"Federal Deposit Insurance Corporation","Agency Overall","2010","18","11","7","5","29"
"Millennium Challenge Corporation","Agency Overall","2010","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2010","3","3","1","2.3","3"
"National Labor Relations Board","Agency Overall","2010","2","3","4","4","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2010","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0"
"Department of Transportation","Agency Overall","2010","63","190","1","9.52","223"
"National Endowment for the Humanities","Agency Overall","2010","0","2","14.5","14.5","0"
"Administrative Conference of the United States","Agency Overall","2010","0","0","0","0","0"
"Department of Commerce","Agency Overall","2010","14","21","10","12","21"
"Farm Credit Administration","Agency Overall","2010","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2010","1","1","7.5","7.5","2"
"United States International Boundary and Water Commission","Agency Overall","2010","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2010","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2010","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2010","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","5","0","10","10","5"
"Federal Open Market Committee","Agency Overall","2010","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2010","27","40","1","5.2","56"
"Federal Reserve System","Agency Overall","2010","2","5","8","7","6"
"Office of the United States Trade Representative","Agency Overall","2010","14","1","4","10","10"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2010","0","1","7","7","1"
"Department of Homeland Security","Agency Overall","2010","27","1449","7.5","36.24","1410"
"Commodity Futures Trading Commission","Agency Overall","2010","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2010","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2010","5","32","11.5","17.61","18"
"Department of Agriculture","Agency Overall","2010","35","371","12.5","2.5","387"
"Consumer Product Safety Commission","Agency Overall","2010","0","11","10","12","6"
"Office of Personnel Management","Agency Overall","2010","3","1","6","5","3"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","1","0","18","18","0"
"U.S. Commission on Civil Rights","Agency Overall","2010","0","0","0","0","0"
"Social Security Administration","Agency Overall","2010","0","7","4","4","7"
"Department of the Treasury","Agency Overall","2010","166","110","2","2.66","251"
"National Science Foundation","Agency Overall","2010","0","4","7","22","2"
"Office of Management and Budget","Agency Overall","2010","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2010","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2010","21","2","7","14.52","12"
"Export-Import Bank of the U.S.","Agency Overall","2010","0","0","0","0","0"
"Department of the Interior","Agency Overall","2010","14","34","9","19","38"
"Nuclear Regulatory Commission","Agency Overall","2010","0","10","0","0","10"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2010","3","1","8","20","4"
"Selective Service System","Agency Overall","2010","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2010","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2010","1","0","0","0","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2010","0","0","0","0","0"
"Department of Defense","Agency Overall","2010","285","438","0","9","575"
"United States International Trade Commission","Agency Overall","2010","1","0","2","2","1"
"Office of National Drug Control Policy","Agency Overall","2010","0","0","0","0","0"
"United States Postal Service","Agency Overall","2010","4","25","1","1","28"
"General Services Administration","Agency Overall","2010","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2010","0","1","12","12","0"
"National Credit Union Administration","Agency Overall","2010","3","1","1.5","1.5","4"
"Office of the Director of National Intelligence","Agency Overall","2010","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2010","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2010","19","186","0","0","75"
"National Transportation Safety Board","Agency Overall","2010","0","2","11","11","1"
"U.S. Railroad Retirement Board","Agency Overall","2010","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2010","0","2","7.5","7.5","2"
"Federal Election Commission","Agency Overall","2010","1","6","2","2","7"
"National Mediation Board","Agency Overall","2010","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2010","2","0","3","3","2"
"U.S. Department of State","Agency Overall","2010","1","97","21","31","15"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2010","1","39","0","2.69","0"
"United States African Development Foundation","Agency Overall","2010","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2010","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2010","5","1","1.5","21.67","5"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","3","0","2","2","3"
"Federal Communications Commission","Agency Overall","2010","0","10","18","15.4","3"
"Tennessee Valley Authority","Agency Overall","2010","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2010","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2010","0","17","14.5","32.9","6"
"All agencies","Agency Overall","2010","1336","4736","N/A","N/A","4697"
