"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Central Intelligence Agency","Agency Overall","2010","10000000.00","1800000.00","11800000.00","2054.30","0.0200"
"Department of Justice","Agency Overall","2010","52358200.28","7545247.59","59903447.87","201491.58","0.3800"
"Department of Housing and Urban Development","Agency Overall","2010","1982052.07","1000.00","1983052.07","47266.79","2.3800"
"U.S. Agency for International Development","Agency Overall","2010","803035.00","0.00","803035.00","2411.33","0.3000"
"Department of Education","Agency Overall","2010","2317972.00","133625.00","2451597.00","8689.00","0.3700"
"Environmental Protection Agency","Agency Overall","2010","20529056.91","461467.66","20990524.57","464208.70","2.2600"
"Federal Housing Finance Agency","Agency Overall","2010","200000.00","20000.00","220000.00","144.00","0.0700"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","4512.50","0.00","4512.50","0.00","0.0000"
"Department of Energy","Agency Overall","2010","5351363.41","277440.00","5628803.41","29879.81","0.5600"
"Peace Corps","Agency Overall","2010","72308.00","0.00","72308.00","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2010","2973280.00","0.00","2973280.00","205.60","0.0100"
"Department of Labor","Agency Overall","2010","12593729.68","485000.00","13078729.68","290434.44","2.3100"
"Small Business Administration","Agency Overall","2010","1474718.00","30000.00","1504718.00","18055.71","1.2200"
"National Endowment for the Arts","Agency Overall","2010","70000.00","0.00","70000.00","0.00","0.0000"
"Federal Energy Regulatory Commission","Agency Overall","2010","805675.00","63000.00","868675.00","806.52","0.1000"
"Surface Transportation Board","Agency Overall","2010","7784.00","0.00","7784.00","49.21","0.6300"
"Federal Mediation and Conciliation Service","Agency Overall","2010","65000.00","0.00","65000.00","23.00","0.0400"
"Federal Deposit Insurance Corporation","Agency Overall","2010","2516800.00","55353.00","2572153.00","32378.26","1.2900"
"Millennium Challenge Corporation","Agency Overall","2010","0.00","0.00","0.00","0.00","0.0000"
"Council on Environmental Quality","Agency Overall","2010","43000.00","3400.00","46400.00","0.00","0.0000"
"National Labor Relations Board","Agency Overall","2010","807579.07","20445.36","828024.43","65450.89","8.1000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","4350.00","0.00","4350.00","0.00","0.0000"
"Postal Regulatory Commission","Agency Overall","2010","0.00","0.00","0.00","0.00","0.0000"
"Occupational Safety and Health Review Commission","Agency Overall","2010","208647.18","0.00","208647.18","2146.00","1.0300"
"Department of Transportation","Agency Overall","2010","10487965.98","31854.00","10519819.98","209510.40","2.0000"
"National Endowment for the Humanities","Agency Overall","2010","172000.00","0.00","172000.00","109.00","0.0600"
"Administrative Conference of the United States","Agency Overall","2010","15730.00","0.00","15730.00","0.00","0.0000"
"Department of Commerce","Agency Overall","2010","3173223.39","46088.01","3219311.40","79694.67","2.5100"
"Farm Credit Administration","Agency Overall","2010","33014.00","0.00","33014.00","0.00","0.0000"
"United States Trade and Development Agency","Agency Overall","2010","17250.00","0.00","17250.00","0.00","0.0000"
"United States International Boundary and Water Commission","Agency Overall","2010","33825.00","0.00","33825.00","170.40","0.5000"
"Institute of Museum and Library Services","Agency Overall","2010","15316.00","0.00","15316.00","0.00","0.0000"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","52000.00","0.00","52000.00","826.05","1.5900"
"United States Copyright Office","Agency Overall","2010","128834.00","0.00","128834.00","1108.00","0.8600"
"National Capital Planning Commission","Agency Overall","2010","539.00","0.00","539.00","80.50","14.9400"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","35000.00","0.00","35000.00","0.00","0.0000"
"Federal Open Market Committee","Agency Overall","2010","130155.00","0.00","130155.00","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2010","12214528.48","41481.00","12256009.48","17439.16","0.1400"
"Federal Reserve System","Agency Overall","2010","2800000.00","310000.00","3110000.00","4287.00","0.1500"
"Office of the United States Trade Representative","Agency Overall","2010","215600.00","37500.00","253100.00","195.00","0.0900"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","74971.00","0.00","74971.00","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","3723.38","0.00","3723.38","0.00","0.0000"
"Overseas Private Investment Corporation","Agency Overall","2010","98586.00","0.00","98586.00","4574.75","4.6400"
"Department of Homeland Security","Agency Overall","2010","36678628.06","1985762.31","38664390.37","393027.45","1.0700"
"Commodity Futures Trading Commission","Agency Overall","2010","148270.76","0.00","148270.76","1629.42","1.1000"
"Inter-American Foundation","Agency Overall","2010","6500.00","0.00","6500.00","0.00","0.0000"
"Securities and Exchange Commission","Agency Overall","2010","6032377.00","394831.00","6427208.00","53502.00","0.8900"
"Department of Agriculture","Agency Overall","2010","13447890.76","1392290.90","14840181.66","92483.95","0.6900"
"Consumer Product Safety Commission","Agency Overall","2010","2006608.00","0.00","2006608.00","6628.00","0.3300"
"Office of Personnel Management","Agency Overall","2010","2085575.00","10530.00","2096105.00","8233.00","0.3900"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","1040.40","1748.25","2788.65","0.00","0.0000"
"U.S. Commission on Civil Rights","Agency Overall","2010","30000.00","0.00","30000.00","0.00","0.0000"
"Social Security Administration","Agency Overall","2010","6123535.00","29134.00","6152669.00","1684081.00","27.5000"
"Department of the Treasury","Agency Overall","2010","15163945.71","486554.79","15650500.50","707686.58","4.6700"
"National Science Foundation","Agency Overall","2010","398368.00","0.00","398368.00","3628.14","0.9100"
"Office of Management and Budget","Agency Overall","2010","215000.00","50000.00","265000.00","76.95","0.0400"
"Merit Systems Protection Board","Agency Overall","2010","201162.00","0.00","201162.00","1403.00","0.7000"
"National Aeronautics and Space Administration","Agency Overall","2010","2224997.90","0.00","2224997.90","4375.64","0.2000"
"Export-Import Bank of the U.S.","Agency Overall","2010","316908.70","0.00","316908.70","3328.00","1.0500"
"Department of the Interior","Agency Overall","2010","11151238.34","360596.72","11511835.06","63468.42","0.5700"
"Nuclear Regulatory Commission","Agency Overall","2010","1494567.00","0.00","1494567.00","9862.00","0.6600"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0.00","0.00","0.00","0.00","0.0000"
"Office of Special Counsel","Agency Overall","2010","319530.00","33720.00","353250.00","1844.59","0.5800"
"Selective Service System","Agency Overall","2010","2325.00","0.00","2325.00","0.00","0.0000"
"Federal Labor Relations Authority","Agency Overall","2010","23885.58","0.00","23885.58","39.79","0.1700"
"Legal Services Corporation","Agency Overall","2010","13950.00","0.00","13950.00","0.00","0.0000"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","33898.00","0.00","33898.00","0.00","0.0000"
"National Railroad Passenger Corporation","Agency Overall","2010","77321.00","0.00","77321.00","1042.50","1.3500"
"Department of Defense","Agency Overall","2010","87742648.00","4243616.00","91986264.00","407739.00","0.4600"
"United States International Trade Commission","Agency Overall","2010","26414.44","0.00","26414.44","520.60","1.9700"
"Office of National Drug Control Policy","Agency Overall","2010","20000.00","0.00","20000.00","0.00","0.0000"
"United States Postal Service","Agency Overall","2010","3469723.00","704.00","3470427.00","35804.00","1.0300"
"General Services Administration","Agency Overall","2010","2300000.00","10000.00","2310000.00","50234.49","2.1800"
"Federal Maritime Commission","Agency Overall","2010","370173.72","48633.00","418806.72","283.25","0.0800"
"National Credit Union Administration","Agency Overall","2010","142596.00","0.00","142596.00","2201.35","1.5400"
"Office of the Director of National Intelligence","Agency Overall","2010","225000.00","75000.00","300000.00","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2010","29068.50","0.00","29068.50","17169.90","59.0700"
"Department of Health and Human Services","Agency Overall","2010","36243521.03","917246.00","37160767.03","796586.98","2.2000"
"National Transportation Safety Board","Agency Overall","2010","1086158.13","3571.62","1089729.75","3126.30","0.2900"
"U.S. Railroad Retirement Board","Agency Overall","2010","53547.00","5280.00","58827.00","243.00","0.4500"
"U.S. Agency for Global Media","Agency Overall","2010","975.38","0.00","975.38","0.00","0.0000"
"Federal Election Commission","Agency Overall","2010","92954.91","0.00","92954.91","0.00","0.0000"
"National Mediation Board","Agency Overall","2010","76637.00","0.00","76637.00","5559.20","7.2500"
"National Indian Gaming Commission","Agency Overall","2010","135896.00","0.00","135896.00","2657.85","1.9600"
"U.S. Department of State","Agency Overall","2010","10842907.00","512901.00","11355808.00","9711.11","0.0900"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","0.00","0.00","0.00","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2010","2075811.69","2681.74","2078493.43","44033.24","2.1200"
"United States African Development Foundation","Agency Overall","2010","0.00","0.00","0.00","0.00","0.0000"
"American Battle Monuments Commission","Agency Overall","2010","2500.00","0.00","2500.00","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2010","34000.00","0.00","34000.00","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","1511.43","0.00","1511.43","0.00","0.0000"
"Federal Financial Institutions Examination Council","Agency Overall","2010","7600.00","0.00","7600.00","0.00","0.0000"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","1058000.00","10000.00","1068000.00","6194.20","0.5900"
"Federal Communications Commission","Agency Overall","2010","2258056.46","36340.80","2294397.26","16583.51","0.7300"
"Tennessee Valley Authority","Agency Overall","2010","189256.76","0.00","189256.76","1442.50","0.7600"
"Office of Government Ethics","Agency Overall","2010","128000.00","0.00","128000.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2010","369626.11","0.00","369626.11","15733.64","4.2600"
"All agencies","Agency Overall","2010","392071429.10","21974043.75","414045472.85","5935854.62","N/A"
