"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Railroad Passenger Corporation","Agency Overall","2015","2","0","4","1","0","0","0","0","0","0","0","0","0","7"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","18","6","2","0","0","0","0","0","0","0","0","0","0","26"
"National Science Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2015","0","0","1","1","0","0","0","0","0","0","1","0","0","3"
"Department of Veterans Affairs","Agency Overall","2015","38","4","0","1","3","1","1","1","0","1","2","1","0","53"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Tennessee Valley Authority","Agency Overall","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Social Security Administration","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2015","3","0","1","1","0","0","1","0","0","0","0","1","0","7"
"Federal Maritime Commission","Agency Overall","2015","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Homeland Security","Agency Overall","2015","154","45","12","4","1","6","2","3","3","2","3","3","1","239"
"United States Copyright Office","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2015","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Federal Energy Regulatory Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2015","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Farm Credit System Insurance Corporation","Agency Overall","2015","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Institute of Museum and Library Services","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2015","1","0","0","0","0","0","0","0","0","0","1","0","0","2"
