"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"National Railroad Passenger Corporation","Agency Overall","2015","33","4"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","0"
"United States African Development Foundation","Agency Overall","2015","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","13","0"
"National Science Foundation","Agency Overall","2015","166","0"
"Office of National Drug Control Policy","Agency Overall","2015","1","0"
"U.S. Agency for Global Media","Agency Overall","2015","4","0"
"U.S. Department of State","Agency Overall","2015","20626","376"
"Department of Veterans Affairs","Agency Overall","2015","932","270"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","1","0"
"Tennessee Valley Authority","Agency Overall","2015","11","0"
"Social Security Administration","Agency Overall","2015","146","32"
"Office of the Director of National Intelligence","Agency Overall","2015","272","22"
"Department of Energy","Agency Overall","2015","281","9"
"Federal Maritime Commission","Agency Overall","2015","10","0"
"Department of Homeland Security","Agency Overall","2015","35374","190"
"United States Copyright Office","Agency Overall","2015","1","0"
"United States Postal Service","Agency Overall","2015","82","14"
"Federal Energy Regulatory Commission","Agency Overall","2015","11","0"
"Small Business Administration","Agency Overall","2015","7","1"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","0","0"
"National Indian Gaming Commission","Agency Overall","2015","17","0"
"U.S. Railroad Retirement Board","Agency Overall","2015","10","0"
"Federal Trade Commission","Agency Overall","2015","8","0"
"Nuclear Regulatory Commission","Agency Overall","2015","8","0"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2015","33","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","2","0"
"Department of Justice","Agency Overall","2015","9744","272"
"Department of Commerce","Agency Overall","2015","343","59"
"Selective Service System","Agency Overall","2015","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","451","3"
"Consumer Product Safety Commission","Agency Overall","2015","188","0"
"Legal Services Corporation","Agency Overall","2015","3","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","6","0"
"Central Intelligence Agency","Agency Overall","2015","1115","139"
"Occupational Safety and Health Review Commission","Agency Overall","2015","0","0"
"Federal Housing Finance Agency","Agency Overall","2015","12","0"
"United States Access Board","Agency Overall","2015","0","0"
"National Labor Relations Board","Agency Overall","2015","266","1"
"Office of Management and Budget","Agency Overall","2015","42","5"
"Administrative Conference of the United States","Agency Overall","2015","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0"
"National Mediation Board","Agency Overall","2015","0","0"
"Federal Election Commission","Agency Overall","2015","37","4"
"National Endowment for the Humanities","Agency Overall","2015","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2015","2","0"
"Federal Reserve System","Agency Overall","2015","14","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0"
"Department of Agriculture","Agency Overall","2015","1148","392"
"Office of Special Counsel","Agency Overall","2015","222","7"
"U.S. Agency for International Development","Agency Overall","2015","301","6"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","0","0"
"Department of Labor","Agency Overall","2015","593","405"
"United States International Boundary and Water Commission","Agency Overall","2015","0","0"
"Department of the Treasury","Agency Overall","2015","767","101"
"Overseas Private Investment Corporation","Agency Overall","2015","5","0"
"National Endowment for the Arts","Agency Overall","2015","1","0"
"Council on Environmental Quality","Agency Overall","2015","56","0"
"Millennium Challenge Corporation","Agency Overall","2015","0","0"
"Department of Health and Human Services","Agency Overall","2015","5745","437"
"Securities and Exchange Commission","Agency Overall","2015","432","7"
"Department of Transportation","Agency Overall","2015","1865","22"
"Armed Forces Retirement Home","Agency Overall","2015","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","21","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0"
"National Transportation Safety Board","Agency Overall","2015","679","4"
"United States International Trade Commission","Agency Overall","2015","0","0"
"Office of the United States Trade Representative","Agency Overall","2015","15","0"
"Surface Transportation Board","Agency Overall","2015","0","0"
"National Credit Union Administration","Agency Overall","2015","0","0"
"National Archives and Records Administration","Agency Overall","2015","8325","105"
