"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"National Railroad Passenger Corporation","Agency Overall","2015","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","3","3","0"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","0","1","1","0"
"National Science Foundation","Agency Overall","2015","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2015","0","1","1","0"
"U.S. Agency for Global Media","Agency Overall","2015","0","1","1","0"
"U.S. Department of State","Agency Overall","2015","1482","10043","8269","3256"
"Department of Veterans Affairs","Agency Overall","2015","1","18","17","2"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","0","2","1","1"
"Tennessee Valley Authority","Agency Overall","2015","0","1","1","0"
"Social Security Administration","Agency Overall","2015","0","4","3","1"
"Office of the Director of National Intelligence","Agency Overall","2015","10","69","63","16"
"Department of Energy","Agency Overall","2015","126","295","287","134"
"Federal Maritime Commission","Agency Overall","2015","0","0","0","0"
"Department of Homeland Security","Agency Overall","2015","162","404","379","187"
"United States Copyright Office","Agency Overall","2015","0","0","0","0"
"United States Postal Service","Agency Overall","2015","1","16","17","0"
"Federal Energy Regulatory Commission","Agency Overall","2015","0","0","0","0"
"Small Business Administration","Agency Overall","2015","0","3","3","0"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2015","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","0","0","0"
"Federal Trade Commission","Agency Overall","2015","0","3","3","0"
"Nuclear Regulatory Commission","Agency Overall","2015","0","2","2","0"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2015","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","0","0","0","0"
"Department of Justice","Agency Overall","2015","206","826","834","198"
"Department of Commerce","Agency Overall","2015","33","79","63","49"
"Selective Service System","Agency Overall","2015","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","0","1","1","0"
"Consumer Product Safety Commission","Agency Overall","2015","0","0","0","0"
"Legal Services Corporation","Agency Overall","2015","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2015","205","1155","1021","339"
"Occupational Safety and Health Review Commission","Agency Overall","2015","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2015","0","1","0","1"
"United States Access Board","Agency Overall","2015","0","0","0","0"
"National Labor Relations Board","Agency Overall","2015","0","4","2","2"
"Office of Management and Budget","Agency Overall","2015","2","48","44","6"
"Administrative Conference of the United States","Agency Overall","2015","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0","0","0"
"National Mediation Board","Agency Overall","2015","0","0","0","0"
"Federal Election Commission","Agency Overall","2015","2","0","2","0"
"National Endowment for the Humanities","Agency Overall","2015","0","0","0","0"
