"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"National Railroad Passenger Corporation","Agency Overall","2015","25","257","182","100"
"Consumer Financial Protection Bureau","Agency Overall","2015","17","318","319","16"
"United States African Development Foundation","Agency Overall","2015","0","2","2","0"
"Inter-American Foundation","Agency Overall","2015","0","3","3","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","179","179","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","16","630","606","40"
"National Science Foundation","Agency Overall","2015","180","302","298","184"
"Office of National Drug Control Policy","Agency Overall","2015","7","43","47","3"
"U.S. Agency for Global Media","Agency Overall","2015","10","45","48","7"
"U.S. Department of State","Agency Overall","2015","10924","24837","14002","21759"
"Department of Veterans Affairs","Agency Overall","2015","2442","29716","30436","1722"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","2","37","36","3"
"Tennessee Valley Authority","Agency Overall","2015","16","198","195","19"
"Social Security Administration","Agency Overall","2015","2504","23208","22922","2790"
"Office of the Director of National Intelligence","Agency Overall","2015","229","395","321","303"
"Department of Energy","Agency Overall","2015","521","2356","2445","432"
"Federal Maritime Commission","Agency Overall","2015","16","35","39","12"
"Department of Homeland Security","Agency Overall","2015","117034","281138","348878","49294"
"United States Copyright Office","Agency Overall","2015","3","36","34","5"
"United States Postal Service","Agency Overall","2015","243","2651","2680","214"
"Federal Energy Regulatory Commission","Agency Overall","2015","23","131","133","21"
"Small Business Administration","Agency Overall","2015","24","955","926","53"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","11","11","0"
"Institute of Museum and Library Services","Agency Overall","2015","2","34","33","3"
"National Indian Gaming Commission","Agency Overall","2015","10","43","34","19"
"U.S. Railroad Retirement Board","Agency Overall","2015","9","123","122","10"
"Federal Trade Commission","Agency Overall","2015","26","1531","1531","26"
"Nuclear Regulatory Commission","Agency Overall","2015","120","505","586","39"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","23","23","0"
"Export-Import Bank of the U.S.","Agency Overall","2015","38","100","101","37"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","2","14","12","4"
"Department of Justice","Agency Overall","2015","13602","67783","67825","13560"
"Department of Commerce","Agency Overall","2015","490","2230","2163","557"
"Selective Service System","Agency Overall","2015","0","7","7","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","1160","17883","17481","1562"
"Consumer Product Safety Commission","Agency Overall","2015","254","715","770","199"
"Legal Services Corporation","Agency Overall","2015","1","54","49","6"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","6","15","15","6"
"Central Intelligence Agency","Agency Overall","2015","1034","3618","3181","1471"
"Occupational Safety and Health Review Commission","Agency Overall","2015","2","53","55","0"
"Federal Housing Finance Agency","Agency Overall","2015","14","169","161","22"
"United States Access Board","Agency Overall","2015","0","11","11","0"
"National Labor Relations Board","Agency Overall","2015","145","4011","3679","477"
"Office of Management and Budget","Agency Overall","2015","33","198","163","68"
"Administrative Conference of the United States","Agency Overall","2015","0","26","26","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","1","21","22","0"
"National Mediation Board","Agency Overall","2015","0","36","35","1"
"Federal Election Commission","Agency Overall","2015","33","91","81","43"
"National Endowment for the Humanities","Agency Overall","2015","3","62","61","4"
"Federal Mediation and Conciliation Service","Agency Overall","2015","6","55","57","4"
"Federal Reserve System","Agency Overall","2015","34","778","770","42"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","8","47","48","7"
"Department of Agriculture","Agency Overall","2015","3465","20132","19559","4038"
"Office of Special Counsel","Agency Overall","2015","206","148","115","239"
"U.S. Agency for International Development","Agency Overall","2015","295","330","305","320"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","86","2278","2217","147"
"Department of Labor","Agency Overall","2015","1615","16792","17104","1303"
"United States International Boundary and Water Commission","Agency Overall","2015","3","27","28","2"
"Department of the Treasury","Agency Overall","2015","1547","13922","13987","1482"
"Overseas Private Investment Corporation","Agency Overall","2015","5","40","36","9"
