"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"National Railroad Passenger Corporation","Agency Overall","2015","",""
"Consumer Financial Protection Bureau","Agency Overall","2015","",""
"United States African Development Foundation","Agency Overall","2015","",""
"Inter-American Foundation","Agency Overall","2015","",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","",""
"Federal Deposit Insurance Corporation","Agency Overall","2015","",""
"National Science Foundation","Agency Overall","2015","",""
"Office of National Drug Control Policy","Agency Overall","2015","",""
"U.S. Agency for Global Media","Agency Overall","2015","",""
"U.S. Department of State","Agency Overall","2015","",""
"Department of Veterans Affairs","Agency Overall","2015","",""
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","",""
"Tennessee Valley Authority","Agency Overall","2015","",""
"Social Security Administration","Agency Overall","2015","",""
"Office of the Director of National Intelligence","Agency Overall","2015","",""
"Department of Energy","Agency Overall","2015","",""
"Federal Maritime Commission","Agency Overall","2015","",""
"Department of Homeland Security","Agency Overall","2015","",""
"United States Copyright Office","Agency Overall","2015","",""
"United States Postal Service","Agency Overall","2015","",""
"Federal Energy Regulatory Commission","Agency Overall","2015","",""
"Small Business Administration","Agency Overall","2015","",""
"Farm Credit System Insurance Corporation","Agency Overall","2015","",""
"Institute of Museum and Library Services","Agency Overall","2015","",""
"National Indian Gaming Commission","Agency Overall","2015","",""
"U.S. Railroad Retirement Board","Agency Overall","2015","",""
"Federal Trade Commission","Agency Overall","2015","",""
"Nuclear Regulatory Commission","Agency Overall","2015","",""
"Federal Financial Institutions Examination Council","Agency Overall","2015","",""
"Export-Import Bank of the U.S.","Agency Overall","2015","",""
"Federal Retirement Thrift Investment Board","Agency Overall","2015","",""
"Department of Justice","Agency Overall","2015","",""
"Department of Commerce","Agency Overall","2015","",""
"Selective Service System","Agency Overall","2015","",""
"Equal Employment Opportunity Commission","Agency Overall","2015","",""
"Consumer Product Safety Commission","Agency Overall","2015","",""
"Legal Services Corporation","Agency Overall","2015","",""
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","",""
"Central Intelligence Agency","Agency Overall","2015","",""
"Occupational Safety and Health Review Commission","Agency Overall","2015","",""
"Federal Housing Finance Agency","Agency Overall","2015","",""
"United States Access Board","Agency Overall","2015","",""
"National Labor Relations Board","Agency Overall","2015","",""
"Office of Management and Budget","Agency Overall","2015","",""
"Administrative Conference of the United States","Agency Overall","2015","",""
"U.S. Commission on Civil Rights","Agency Overall","2015","",""
"National Mediation Board","Agency Overall","2015","",""
"Federal Election Commission","Agency Overall","2015","",""
"National Endowment for the Humanities","Agency Overall","2015","",""
"Federal Mediation and Conciliation Service","Agency Overall","2015","",""
"Federal Reserve System","Agency Overall","2015","",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","",""
"Department of Agriculture","Agency Overall","2015","",""
"Office of Special Counsel","Agency Overall","2015","",""
"U.S. Agency for International Development","Agency Overall","2015","",""
"Pension Benefit Guaranty Corporation","Agency Overall","2015","",""
"Department of Labor","Agency Overall","2015","",""
"United States International Boundary and Water Commission","Agency Overall","2015","",""
"Department of the Treasury","Agency Overall","2015","",""
"Overseas Private Investment Corporation","Agency Overall","2015","",""
"National Endowment for the Arts","Agency Overall","2015","",""
"Council on Environmental Quality","Agency Overall","2015","",""
"Millennium Challenge Corporation","Agency Overall","2015","",""
"Department of Health and Human Services","Agency Overall","2015","",""
"Securities and Exchange Commission","Agency Overall","2015","",""
"Department of Transportation","Agency Overall","2015","",""
"Armed Forces Retirement Home","Agency Overall","2015","",""
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","",""
"Court Services and Offender Supervision Agency","Agency Overall","2015","",""
"American Battle Monuments Commission","Agency Overall","2015","",""
"National Transportation Safety Board","Agency Overall","2015","",""
"United States International Trade Commission","Agency Overall","2015","",""
"Office of the United States Trade Representative","Agency Overall","2015","",""
"Surface Transportation Board","Agency Overall","2015","",""
"National Credit Union Administration","Agency Overall","2015","",""
"National Archives and Records Administration","Agency Overall","2015","",""
"Environmental Protection Agency","Agency Overall","2015","",""
"Postal Regulatory Commission","Agency Overall","2015","",""
"United States Trade and Development Agency","Agency Overall","2015","",""
"Peace Corps","Agency Overall","2015","",""
"General Services Administration","Agency Overall","2015","",""
"Department of Education","Agency Overall","2015","",""
"Federal Labor Relations Authority","Agency Overall","2015","",""
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","",""
"Farm Credit Administration","Agency Overall","2015","",""
"Office of Science and Technology Policy","Agency Overall","2015","",""
"Department of Housing and Urban Development","Agency Overall","2015","",""
"National Aeronautics and Space Administration","Agency Overall","2015","",""
"Federal Open Market Committee","Agency Overall","2015","",""
"Office of Personnel Management","Agency Overall","2015","",""
"Department of the Interior","Agency Overall","2015","",""
"Commodity Futures Trading Commission","Agency Overall","2015","",""
"Department of Defense","Agency Overall","2015","",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","",""
"Federal Communications Commission","Agency Overall","2015","",""
"Merit Systems Protection Board","Agency Overall","2015","",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","",""
"Office of Government Ethics","Agency Overall","2015","",""
"National Capital Planning Commission","Agency Overall","2015","",""
"All agencies","Agency Overall","2015","0","0"
