"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Railroad Passenger Corporation","Agency Overall","2015","62","19","14","8","4","2","1","0","1","0","2","2","3","118"
"Consumer Financial Protection Bureau","Agency Overall","2015","2","7","1","0","0","0","0","0","0","0","0","0","0","10"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","60","64","21","14","3","1","0","0","0","0","0","0","0","163"
"National Science Foundation","Agency Overall","2015","117","45","27","24","15","4","7","3","5","2","5","3","23","280"
"Office of National Drug Control Policy","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2015","3","4","4","6","8","4","3","3","2","1","4","0","2","44"
"U.S. Department of State","Agency Overall","2015","3","14","51","58","66","53","56","51","48","57","253","417","875","2002"
"Department of Veterans Affairs","Agency Overall","2015","2559","878","422","199","127","84","57","38","28","38","206","70","52","4758"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","2","3","2","0","1","0","0","0","1","0","0","0","0","9"
"Tennessee Valley Authority","Agency Overall","2015","0","35","16","9","1","2","2","1","2","0","0","0","1","69"
"Social Security Administration","Agency Overall","2015","107","94","81","34","51","34","26","43","9","0","47","4","0","530"
"Office of the Director of National Intelligence","Agency Overall","2015","43","30","7","3","3","5","7","5","2","3","13","4","24","149"
"Department of Energy","Agency Overall","2015","144","96","78","53","30","41","17","22","23","23","80","30","72","709"
"Federal Maritime Commission","Agency Overall","2015","16","0","0","0","0","1","0","0","0","0","0","1","8","26"
"Department of Homeland Security","Agency Overall","2015","38600","9969","55284","23221","4222","4189","3138","2426","2163","2056","11480","11473","10336","178557"
"United States Copyright Office","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2015","114","74","21","13","19","12","5","6","1","3","8","5","9","290"
"Federal Energy Regulatory Commission","Agency Overall","2015","24","20","0","1","1","1","1","0","0","0","1","0","1","50"
"Small Business Administration","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","1","5","0","1","0","0","0","0","0","0","0","0","0","7"
"National Indian Gaming Commission","Agency Overall","2015","1","0","0","0","1","0","0","0","1","0","2","0","0","5"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2015","356","123","29","14","16","6","6","4","2","1","3","1","0","561"
"Nuclear Regulatory Commission","Agency Overall","2015","70","103","15","16","13","5","4","3","4","3","3","1","4","244"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","3","0","0","0","0","0","0","0","0","0","0","0","3"
"Export-Import Bank of the U.S.","Agency Overall","2015","4","6","1","4","5","4","1","2","0","3","3","0","13","46"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2015","1829","1166","959","899","826","744","658","464","401","296","973","665","1304","11184"
"Department of Commerce","Agency Overall","2015","82","93","32","19","8","4","11","7","6","1","17","16","32","328"
"Selective Service System","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2015","168","141","91","68","60","31","16","16","4","8","12","10","23","648"
"Legal Services Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","7","3","0","1","0","0","1","0","0","1","1","1","0","15"
"Central Intelligence Agency","Agency Overall","2015","123","335","309","198","108","59","40","34","18","12","36","29","72","1373"
