"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"National Railroad Passenger Corporation","Agency Overall","2015","0","0","2","1","3"
"Consumer Financial Protection Bureau","Agency Overall","2015","18","7","4","0","29"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","15","2","2","2","21"
"National Science Foundation","Agency Overall","2015","0","2","1","1","4"
"Office of National Drug Control Policy","Agency Overall","2015","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2015","3","0","0","0","3"
"U.S. Department of State","Agency Overall","2015","92","6","13","7","118"
"Department of Veterans Affairs","Agency Overall","2015","106","16","10","245","377"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2015","7","0","0","0","7"
"Social Security Administration","Agency Overall","2015","120","33","119","0","272"
"Office of the Director of National Intelligence","Agency Overall","2015","3","3","0","15","21"
"Department of Energy","Agency Overall","2015","42","4","4","25","75"
"Federal Maritime Commission","Agency Overall","2015","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2015","1353","1027","1330","924","4634"
"United States Copyright Office","Agency Overall","2015","0","0","0","0","0"
"United States Postal Service","Agency Overall","2015","95","51","54","28","228"
"Federal Energy Regulatory Commission","Agency Overall","2015","5","3","1","3","12"
"Small Business Administration","Agency Overall","2015","9","2","5","2","18"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","1","0","0","0","1"
"National Indian Gaming Commission","Agency Overall","2015","2","0","0","0","2"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2015","23","9","5","0","37"
"Nuclear Regulatory Commission","Agency Overall","2015","23","13","5","29","70"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","0","0","1","1"
"Export-Import Bank of the U.S.","Agency Overall","2015","5","0","1","0","6"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","1","1","0","0","2"
"Department of Justice","Agency Overall","2015","2469","199","367","1074","4109"
"Department of Commerce","Agency Overall","2015","48","9","0","7","64"
"Selective Service System","Agency Overall","2015","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","161","51","56","7","275"
"Consumer Product Safety Commission","Agency Overall","2015","11","4","1","3","19"
"Legal Services Corporation","Agency Overall","2015","1","0","0","0","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2015","116","46","0","99","261"
"Occupational Safety and Health Review Commission","Agency Overall","2015","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2015","1","0","3","4","8"
"United States Access Board","Agency Overall","2015","1","0","0","0","1"
"National Labor Relations Board","Agency Overall","2015","11","5","3","5","24"
"Office of Management and Budget","Agency Overall","2015","3","0","0","0","3"
"Administrative Conference of the United States","Agency Overall","2015","3","0","0","0","3"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0","0","0","0"
