"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"National Railroad Passenger Corporation","Agency Overall","2015","0","1","8","11","7","29","8","0","20","0","3","3","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","4","4","55","61","90","19","0","1","26","42","1","37","0"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","0","1","0","65","30","76","4","2","4","2","3","0","34","0"
"National Science Foundation","Agency Overall","2015","0","2","2","181","10","213","1","0","11","1","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2015","0","0","0","0","3","20","1","0","1","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2015","0","3","0","4","9","23","2","0","0","0","0","2","0","0"
"U.S. Department of State","Agency Overall","2015","272","12","6430","55","164","1771","26","1","217","19","250","9","0","0"
"Department of Veterans Affairs","Agency Overall","2015","3","12","3231","317","440","11628","144","20","3793","7","16","10","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","0","0","0","1","3","14","6","0","2","0","1","0","0","0"
"Tennessee Valley Authority","Agency Overall","2015","0","2","3","8","18","64","0","0","6","0","2","9","0","0"
"Social Security Administration","Agency Overall","2015","0","3","12","14","80","805","4","3","38","13","37","9","0","0"
"Office of the Director of National Intelligence","Agency Overall","2015","92","0","158","3","51","34","1","0","1","1","3","0","0","0"
"Department of Energy","Agency Overall","2015","16","15","69","135","140","390","15","0","66","1","26","19","0","0"
"Federal Maritime Commission","Agency Overall","2015","0","0","4","0","4","4","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2015","45","822","12728","473","42931","178929","759","836","193239","465","193826","1725","0","0"
"United States Copyright Office","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2015","0","10","570","83","95","738","23","3","287","42","84","2","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2015","0","1","14","19","14","56","1","0","0","0","1","2","0","0"
"Small Business Administration","Agency Overall","2015","0","2","14","84","69","79","0","0","3","1","1","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","0","0","0","1","5","1","1","0","1","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2015","0","0","0","7","1","3","0","0","2","0","1","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","0","32","0","0","1","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2015","0","3","181","80","104","550","72","0","28","9","21","0","0","0"
