"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"National Railroad Passenger Corporation","Agency Overall","2015","0","1","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","0","0","0","0","1","1","0","0","0","0","0"
"National Science Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","1"
"Office of National Drug Control Policy","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2015","0","0","0","0","3","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2015","6","1","2","23","0","0","0","0","1","22","3"
"Department of Veterans Affairs","Agency Overall","2015","61","1","9","7","3","15","4","4","2","0","94"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2015","2","0","0","0","0","1","0","0","0","0","0"
"Social Security Administration","Agency Overall","2015","0","0","0","5","1","0","4","1","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2015","3","3","4","0","0","0","0","0","3","0","1"
"Department of Energy","Agency Overall","2015","11","0","10","1","0","14","1","1","0","6","6"
"Federal Maritime Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2015","144","22","24","53","5","507","9","87","123","3","90"
"United States Copyright Office","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2015","0","0","0","0","0","5","2","9","2","0","2"
"Federal Energy Regulatory Commission","Agency Overall","2015","1","0","1","0","0","0","0","0","0","0","1"
"Small Business Administration","Agency Overall","2015","4","0","0","0","0","0","0","0","0","0","2"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2015","5","0","1","2","0","0","1","0","0","0","7"
"Nuclear Regulatory Commission","Agency Overall","2015","7","1","3","3","0","5","1","5","0","0","4"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","0","0","0","0","0","1","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","1","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2015","1064","76","25","138","34","110","17","246","105","43","1109"
"Department of Commerce","Agency Overall","2015","8","0","4","6","0","0","0","1","12","1","5"
"Selective Service System","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","20","0","0","4","0","15","0","35","0","0","2"
"Consumer Product Safety Commission","Agency Overall","2015","1","0","0","0","1","0","1","0","0","0","1"
"Legal Services Corporation","Agency Overall","2015","0","0","0","0","0","0","1","0","0","0","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2015","3","0","1","0","0","6","3","2","68","0","16"
"Occupational Safety and Health Review Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2015","1","0","0","0","0","3","0","0","0","0","0"
"United States Access Board","Agency Overall","2015","0","0","0","0","0","1","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2015","2","1","0","2","0","0","0","0","0","0","2"
"Office of Management and Budget","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2015","3","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2015","1","0","0","1","0","2","0","0","0","0","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2015","8","2","33","2","4","2","2","8","2","0","7"
"Office of Special Counsel","Agency Overall","2015","0","0","2","0","0","5","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2015","0","0","1","0","0","0","0","0","0","3","8"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","0","0","0","0","0","6","0","0","0","0","0"
"Department of Labor","Agency Overall","2015","5","1","65","5","0","50","0","6","0","0","55"
"United States International Boundary and Water Commission","Agency Overall","2015","0","0","0","0","0","0","1","0","0","0","0"
"Department of the Treasury","Agency Overall","2015","22","0","2","23","0","0","0","9","2","1","4"
"Overseas Private Investment Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2015","2","9","157","0","0","4","1","5","5","3","0"
"Securities and Exchange Commission","Agency Overall","2015","9","0","16","3","4","0","0","5","0","0","5"
"Department of Transportation","Agency Overall","2015","26","1","8","2","0","22","1","2","0","3","1"
"Armed Forces Retirement Home","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2015","0","0","4","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2015","6","2","2","2","0","6","2","0","0","0","2"
"Environmental Protection Agency","Agency Overall","2015","3","2","23","19","10","5","0","15","13","2","18"
"Postal Regulatory Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2015","1","0","0","0","0","3","0","0","0","0","0"
"General Services Administration","Agency Overall","2015","3","9","4","1","2","2","0","0","0","0","0"
"Department of Education","Agency Overall","2015","0","0","6","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2015","3","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","2","1","0","0","1","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2015","3","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2015","2","0","1","0","0","0","0","1","0","0","4"
"National Aeronautics and Space Administration","Agency Overall","2015","0","0","1","0","0","3","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2015","2","2","0","0","0","6","0","0","0","0","0"
"Department of the Interior","Agency Overall","2015","10","0","2","6","1","2","0","2","0","16","45"
"Commodity Futures Trading Commission","Agency Overall","2015","1","0","0","2","0","1","0","0","0","0","0"
"Department of Defense","Agency Overall","2015","88","2","102","7","4","39","8","13","14","5","111"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2015","1","0","5","0","0","0","0","0","0","0","1"
"Merit Systems Protection Board","Agency Overall","2015","1","0","1","0","0","3","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2015","1546","137","519","317","74","844","60","457","352","108","1610"
