"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"National Railroad Passenger Corporation","Agency Overall","2015","22","2","7","5.17","23"
"Consumer Financial Protection Bureau","Agency Overall","2015","1","6","1","2.14","6"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","31","24","5","8.49","41"
"National Science Foundation","Agency Overall","2015","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2015","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2015","0","7","7","8","6"
"U.S. Department of State","Agency Overall","2015","153","480","7","10.49","418"
"Department of Veterans Affairs","Agency Overall","2015","47","59","1","20.37","81"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","1","1","10","10","1"
"Tennessee Valley Authority","Agency Overall","2015","1","0","5","5","1"
"Social Security Administration","Agency Overall","2015","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2015","4","5","8","16.38","3"
"Department of Energy","Agency Overall","2015","6","90","7","8.5","73"
"Federal Maritime Commission","Agency Overall","2015","1","4","3","2.8","5"
"Department of Homeland Security","Agency Overall","2015","236","3482","7","37.63","2081"
"United States Copyright Office","Agency Overall","2015","0","0","0","0","0"
"United States Postal Service","Agency Overall","2015","6","24","3","5.37","26"
"Federal Energy Regulatory Commission","Agency Overall","2015","0","19","8","7","18"
"Small Business Administration","Agency Overall","2015","1","21","1","1.8","21"
"Farm Credit System Insurance Corporation","Agency Overall","2015","4","0","8","7.75","4"
"Institute of Museum and Library Services","Agency Overall","2015","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2015","0","1","11","11","0"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2015","0","18","7","8","17"
"Nuclear Regulatory Commission","Agency Overall","2015","1","8","1","1","9"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","1","2","2","2"
"Export-Import Bank of the U.S.","Agency Overall","2015","1","3","1","1.25","4"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","0","0","0","0","0"
"Department of Justice","Agency Overall","2015","227","1098","1","7.34","1141"
"Department of Commerce","Agency Overall","2015","42","90","3","8","113"
"Selective Service System","Agency Overall","2015","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","1","25","6.5","2.64","26"
"Consumer Product Safety Commission","Agency Overall","2015","0","1","1","1","1"
"Legal Services Corporation","Agency Overall","2015","3","0","2","1.67","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2015","0","12","1","8.83","11"
"Occupational Safety and Health Review Commission","Agency Overall","2015","1","0","9","9","1"
"Federal Housing Finance Agency","Agency Overall","2015","0","6","2","2.5","6"
"United States Access Board","Agency Overall","2015","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2015","5","3","7","5","7"
"Office of Management and Budget","Agency Overall","2015","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2015","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0","0","0","0"
"National Mediation Board","Agency Overall","2015","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2015","3","1","7","5.6","4"
"National Endowment for the Humanities","Agency Overall","2015","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2015","4","3","7","6","7"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2015","9","32","6","25.85","35"
"Office of Special Counsel","Agency Overall","2015","24","7","6","17","21"
"U.S. Agency for International Development","Agency Overall","2015","19","25","4.5","8.34","37"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","0","33","7","10.61","21"
"Department of Labor","Agency Overall","2015","67","371","10","77.7","223"
"United States International Boundary and Water Commission","Agency Overall","2015","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2015","32","139","1","4","154"
"Overseas Private Investment Corporation","Agency Overall","2015","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2015","0","1","3","3","1"
"Council on Environmental Quality","Agency Overall","2015","1","2","2","17.33","2"
"Millennium Challenge Corporation","Agency Overall","2015","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2015","94","628","6","9.9","635"
"Securities and Exchange Commission","Agency Overall","2015","2","258","3","6.23","237"
"Department of Transportation","Agency Overall","2015","39","203","5","11.388","190"
"Armed Forces Retirement Home","Agency Overall","2015","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2015","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2015","4","0","50.5","122.75","1"
"United States International Trade Commission","Agency Overall","2015","0","1","1","1","1"
"Office of the United States Trade Representative","Agency Overall","2015","0","3","6","12","2"
"Surface Transportation Board","Agency Overall","2015","0","2","5","5","2"
"National Credit Union Administration","Agency Overall","2015","1","0","1","1","1"
"National Archives and Records Administration","Agency Overall","2015","25","41","10","10.34","58"
"Environmental Protection Agency","Agency Overall","2015","46","254","5","5.32","272"
"Postal Regulatory Commission","Agency Overall","2015","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2015","0","0","0","0","0"
"Peace Corps","Agency Overall","2015","0","0","0","0","0"
"General Services Administration","Agency Overall","2015","16","114","1","1.32","129"
"Department of Education","Agency Overall","2015","7","12","10","10.74","11"
"Federal Labor Relations Authority","Agency Overall","2015","0","7","5","9.29","6"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2015","6","0","10","11.3","3"
"Office of Science and Technology Policy","Agency Overall","2015","0","1","7","7","1"
"Department of Housing and Urban Development","Agency Overall","2015","9","78","1","8.26","69"
"National Aeronautics and Space Administration","Agency Overall","2015","0","21","1","2.9","20"
"Federal Open Market Committee","Agency Overall","2015","0","3","10","10","3"
"Office of Personnel Management","Agency Overall","2015","48","7","1","1","55"
"Department of the Interior","Agency Overall","2015","30","92","1","3","108"
"Commodity Futures Trading Commission","Agency Overall","2015","0","4","3.5","6.25","3"
"Department of Defense","Agency Overall","2015","210","470","4.22","6.35","539"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","0","4","1","2.25","4"
"Federal Communications Commission","Agency Overall","2015","15","34","9","11.27","36"
"Merit Systems Protection Board","Agency Overall","2015","5","4","1","15","5"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2015","0","1","9","9","1"
"National Capital Planning Commission","Agency Overall","2015","0","0","0","0","0"
"All agencies","Agency Overall","2015","1511","8346","N/A","N/A","7046"
