"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"National Railroad Passenger Corporation","Agency Overall","2015","10","16.5","45","74","94","133","16","96","92"
"Consumer Financial Protection Bureau","Agency Overall","2015","13","9","12","3","46","46","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2015","23","7","10","12","40.5","54","2","38.5","38"
"National Science Foundation","Agency Overall","2015","0","N/A","N/A","184","400","385","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2015","3","12","18","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2015","0","N/A","N/A","7","37","101","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2015","3054","135.34","265.03","11669","364.7","552.18","147","141.04","169.28"
"Department of Veterans Affairs","Agency Overall","2015","1309","29","57","408","129","209","6","110.5","142"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","1","1","1","2","43","43","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2015","8","2","6","11","22","31","0","N/A","N/A"
"Social Security Administration","Agency Overall","2015","2720","40","51","70","60","72","0","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2015","254","190.5","240.02","44","376.5","374.8","4","116","101.5"
"Department of Energy","Agency Overall","2015","181","546","599.58","247","228","432.3","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2015","0","N/A","N/A","12","250.5","340.25","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2015","11709","21","45.44","36516","45.21","87.85","48","100","127.26"
"United States Copyright Office","Agency Overall","2015","5","8","12.6","0","N/A","N/A","0","N/A","N/A"
"United States Postal Service","Agency Overall","2015","115","14","55.53","95","48","198.86","1","1","1"
"Federal Energy Regulatory Commission","Agency Overall","2015","9","24","45","12","137","219","0","N/A","N/A"
"Small Business Administration","Agency Overall","2015","53","19","34.47","0","N/A","N/A","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2015","3","3","5","0","N/A","N/A","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2015","8","32.5","58","11","179","250","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2015","10","467","399","0","N/A","N/A","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2015","2","1.5","1.5","24","15.5","36","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2015","23","N/A","4","16","24","30","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2015","11","86","94","25","156","169","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","4","40","23.5","0","N/A","N/A","0","N/A","N/A"
"Department of Justice","Agency Overall","2015","5173","25","93.81","7947","173","263.8","173","292","373.76"
"Department of Commerce","Agency Overall","2015","245","32","115.58","267","176","291.95","4","272.5","378.75"
"Selective Service System","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2015","1478","1","545.97","0","N/A","N/A","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2015","19","12","56","180","85","206","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2015","6","20","23.67","0","N/A","N/A","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","N/A","N/A","6","113","103.67","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2015","354","23","150.95","1048","198","328.72","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2015","5","6","5.5","17","60","116.53","0","N/A","N/A"
"United States Access Board","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2015","477","21","33","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2015","63","95","171","0","N/A","N/A","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Mediation Board","Agency Overall","2015","1","6","6","0","N/A","N/A","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2015","20","321","300","23","93","230","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2015","4","3","6.25","0","N/A","N/A","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2015","4","30","35","0","N/A","N/A","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2015","2","21","21","40","15","39","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","6","4","4","1","23","23","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2015","1242","79","90","271","87","230","1","197","197"
"Office of Special Counsel","Agency Overall","2015","22","143","177","173","356","435","27","162","274"
"U.S. Agency for International Development","Agency Overall","2015","7","159","112.86","299","254","318.55","14","171.5","211.36"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","82","4","7.77","65","5","7.15","0","N/A","N/A"
"Department of Labor","Agency Overall","2015","69","37.5","186.1","1220","54","71.3","1","280","280"
"United States International Boundary and Water Commission","Agency Overall","2015","0","N/A","N/A","1","1","1","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2015","143","9","13.9","1328","20","54.6","4","82","242"
"Overseas Private Investment Corporation","Agency Overall","2015","5","191","213.2","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2015","0","N/A","N/A","1","907","907","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2015","9","373","397.44","35","148","232.88","1","101","101"
"Millennium Challenge Corporation","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2015","3888","41","121.82","3668","145","229.55","61","253","257.79"
"Securities and Exchange Commission","Agency Overall","2015","1296","12","34","2","962.5","962","0","N/A","N/A"
"Department of Transportation","Agency Overall","2015","1825","63","102.45","1326","96","152.218","26","509","445"
"Armed Forces Retirement Home","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","1","1","1","0","N/A","N/A","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2015","65","15","36","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2015","16","203","139","663","228","264","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2015","2","4","4","0","N/A","N/A","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2015","0","N/A","N/A","15","104","227","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2015","0","N/A","N/A","5","21","19.8","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2015","1795","275","407.18","2598","637","1146.1","3","43","39.33"
"Environmental Protection Agency","Agency Overall","2015","542","9","10.37","1450","149","246.59","43","35","189.91"
"Postal Regulatory Commission","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2015","0","N/A","N/A","21","190","226","1","1943","1943"
"Peace Corps","Agency Overall","2015","127","113","131","22","154","274","0","N/A","N/A"
"General Services Administration","Agency Overall","2015","72","22","29.24","47","27","46.94","1","25","25"
"Department of Education","Agency Overall","2015","76","22","30","253","49","150","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2015","1","6","6","0","N/A","N/A","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2015","0","N/A","N/A","10","83","78.8","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2015","202","51","79","201","71","107","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2015","8","4.5","6","36","16","22","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2015","0","N/A","N/A","1","600","600","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2015","40","42","34","109","75","116","0","N/A","N/A"
"Department of the Interior","Agency Overall","2015","12","78","82","859","58","116","6","30","51"
"Commodity Futures Trading Commission","Agency Overall","2015","19","41","64","40","104.5","16.3","0","N/A","N/A"
"Department of Defense","Agency Overall","2015","2358","23.63","55.22","7956","158.56","236.75","67","19.69","50.03"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","1","7","7","1","46","46","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2015","105","7","40.98","0","N/A","N/A","2","1.5","1.5"
"Merit Systems Protection Board","Agency Overall","2015","45","85","98.21","3","55","146.67","2","100.5","100.5"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","0","N/A","N/A","21","121","136","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","N/A","N/A","1","87","87","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2015","1","98","98","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2015","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"All agencies","Agency Overall","2015","41461","N/A","N/A","81672","N/A","N/A","661","N/A","N/A"
