"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"National Railroad Passenger Corporation","Agency Overall","2015","26","89.33","25","217"
"Consumer Financial Protection Bureau","Agency Overall","2015","20","19.38","17","20"
"United States African Development Foundation","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2015","18","18.71","8","29"
"National Science Foundation","Agency Overall","2015","23","91","18","286"
"Office of National Drug Control Policy","Agency Overall","2015","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2015","30","30","30","30"
"U.S. Department of State","Agency Overall","2015","129.99","202.51","2.14","1490.13"
"Department of Veterans Affairs","Agency Overall","2015","142","177.12","<1","650"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2015","20","17","3","20"
"Social Security Administration","Agency Overall","2015","21","42","1","342"
"Office of the Director of National Intelligence","Agency Overall","2015","350","459.57","2","1207"
"Department of Energy","Agency Overall","2015","12","20.65","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2015","10.96","19.37","1","1603"
"United States Copyright Office","Agency Overall","2015","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2015","61","66.68","1","956"
"Federal Energy Regulatory Commission","Agency Overall","2015","19","24","12","66"
"Small Business Administration","Agency Overall","2015","1.5","12.33","<1","62"
"Farm Credit System Insurance Corporation","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2015","20","20","20","20"
"National Indian Gaming Commission","Agency Overall","2015","14","14","13","15"
"U.S. Railroad Retirement Board","Agency Overall","2015","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2015","29","30","22","43"
"Nuclear Regulatory Commission","Agency Overall","2015","20","26","<1","449"
"Federal Financial Institutions Examination Council","Agency Overall","2015","53","53","53","53"
"Export-Import Bank of the U.S.","Agency Overall","2015","25","89.17","16.5","226"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","19","18.5","9","28"
"Department of Justice","Agency Overall","2015","48","61.61","<1","391"
"Department of Commerce","Agency Overall","2015","20","88.24","<1","702"
"Selective Service System","Agency Overall","2015","N/A","N/A","N/A","N/A"
