"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"National Railroad Passenger Corporation","Agency Overall","2015","N/A","0","N/A","0","2015-09-25","3","2015-09-11","13","2015-07-20","51","2015-02-06","164","2013-11-12","473","2013-06-26","568","2013-06-20","572","2011-09-30","1003"
"Consumer Financial Protection Bureau","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-11","13","2015-09-10","14"
"United States African Development Foundation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2015","2011-05-12","1142","2011-03-10","1187","2011-02-23","1197","2011-02-11","1206","2010-11-15","1269","2010-10-18","1289","2010-09-24","1306","2010-09-01","1322","2010-07-14","1357","2009-09-14","1573"
"Department of Veterans Affairs","Agency Overall","2015","2009-08-13","1538","2009-07-30","1548","2009-07-12","1561","2009-05-27","1593","2009-05-18","1599","2009-05-05","1608","2009-05-04","1609","2009-04-20","1619","2009-04-17","1620","2008-08-18","1786"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Tennessee Valley Authority","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2015","2015-06-30","68","2015-06-26","70","2015-06-25","71","2015-06-16","78","2015-06-12","80","2015-06-05","85","2015-05-29","90","2015-05-28","91","2015-05-15","100","2015-05-15","100"
"Office of the Director of National Intelligence","Agency Overall","2015","2014-01-07","632","2013-11-26","674","2013-06-07","846","2013-05-09","875","2013-03-20","925","2012-11-13","1052","2012-11-06","1059","2012-09-20","1106","2011-12-19","1382","2011-04-25","1640"
"Department of Energy","Agency Overall","2015","2015-09-09","15","2015-08-25","25","2015-04-20","114","2015-04-15","117","2014-11-19","205","2014-10-07","246","2013-11-15","471","2013-10-16","492","2013-10-10","496","2012-07-03","816"
"Federal Maritime Commission","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2015","2011-11-07","1018","2011-10-28","1024","2011-10-05","1041","2011-05-13","1144","2010-08-27","1329","2010-05-06","1410","2009-08-31","1588","2009-03-10","1712","2009-02-26","1720","2008-11-20","1790"
"United States Copyright Office","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2015","2015-07-27","46","2015-07-27","46","2015-07-17","52","2015-07-17","52","2015-07-17","52","2015-06-30","64","2015-06-11","77","2015-06-02","84","2014-05-05","354","2014-03-18","388"
"Federal Energy Regulatory Commission","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-24","4"
"Small Business Administration","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2015-09-22","7","2015-09-15","11","2015-09-11","13","2015-09-03","18","2015-08-20","28"
"Farm Credit System Insurance Corporation","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2015","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
