"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"National Railroad Passenger Corporation","Agency Overall","2015","10","33"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","0"
"United States African Development Foundation","Agency Overall","2015","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","0","13"
"National Science Foundation","Agency Overall","2015","150","166"
"Office of National Drug Control Policy","Agency Overall","2015","7","1"
"U.S. Agency for Global Media","Agency Overall","2015","7","4"
"U.S. Department of State","Agency Overall","2015","10045","20626"
"Department of Veterans Affairs","Agency Overall","2015","2306","932"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","2","1"
"Tennessee Valley Authority","Agency Overall","2015","9","11"
"Social Security Administration","Agency Overall","2015","84","146"
"Office of the Director of National Intelligence","Agency Overall","2015","210","272"
"Department of Energy","Agency Overall","2015","341","281"
"Federal Maritime Commission","Agency Overall","2015","14","10"
"Department of Homeland Security","Agency Overall","2015","103778","35374"
"United States Copyright Office","Agency Overall","2015","3","1"
"United States Postal Service","Agency Overall","2015","146","82"
"Federal Energy Regulatory Commission","Agency Overall","2015","7","11"
"Small Business Administration","Agency Overall","2015","0","7"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","0","0"
"National Indian Gaming Commission","Agency Overall","2015","8","17"
"U.S. Railroad Retirement Board","Agency Overall","2015","9","10"
"Federal Trade Commission","Agency Overall","2015","7","8"
"Nuclear Regulatory Commission","Agency Overall","2015","21","8"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2015","31","33"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","1","2"
"Department of Justice","Agency Overall","2015","8938","9744"
"Department of Commerce","Agency Overall","2015","360","343"
"Selective Service System","Agency Overall","2015","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2015","195","451"
"Consumer Product Safety Commission","Agency Overall","2015","214","188"
"Legal Services Corporation","Agency Overall","2015","0","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","6","6"
"Central Intelligence Agency","Agency Overall","2015","672","1115"
"Occupational Safety and Health Review Commission","Agency Overall","2015","0","0"
"Federal Housing Finance Agency","Agency Overall","2015","7","12"
"United States Access Board","Agency Overall","2015","0","0"
"National Labor Relations Board","Agency Overall","2015","10","266"
"Office of Management and Budget","Agency Overall","2015","27","42"
"Administrative Conference of the United States","Agency Overall","2015","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0"
"National Mediation Board","Agency Overall","2015","0","0"
"Federal Election Commission","Agency Overall","2015","30","37"
"National Endowment for the Humanities","Agency Overall","2015","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2015","2","2"
"Federal Reserve System","Agency Overall","2015","10","14"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","7","0"
"Department of Agriculture","Agency Overall","2015","1314","1148"
"Office of Special Counsel","Agency Overall","2015","187","222"
"U.S. Agency for International Development","Agency Overall","2015","265","301"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","0","0"
"Department of Labor","Agency Overall","2015","561","593"
"United States International Boundary and Water Commission","Agency Overall","2015","3","0"
"Department of the Treasury","Agency Overall","2015","601","767"
"Overseas Private Investment Corporation","Agency Overall","2015","2","5"
"National Endowment for the Arts","Agency Overall","2015","3","1"
"Council on Environmental Quality","Agency Overall","2015","35","56"
"Millennium Challenge Corporation","Agency Overall","2015","23","0"
"Department of Health and Human Services","Agency Overall","2015","7195","5745"
"Securities and Exchange Commission","Agency Overall","2015","178","432"
"Department of Transportation","Agency Overall","2015","1624","1865"
"Armed Forces Retirement Home","Agency Overall","2015","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2015","58","21"
"American Battle Monuments Commission","Agency Overall","2015","0","0"
"National Transportation Safety Board","Agency Overall","2015","289","679"
"United States International Trade Commission","Agency Overall","2015","0","0"
"Office of the United States Trade Representative","Agency Overall","2015","23","15"
"Surface Transportation Board","Agency Overall","2015","0","0"
"National Credit Union Administration","Agency Overall","2015","0","0"
"National Archives and Records Administration","Agency Overall","2015","9361","8325"
"Environmental Protection Agency","Agency Overall","2015","1688","1355"
"Postal Regulatory Commission","Agency Overall","2015","0","0"
"United States Trade and Development Agency","Agency Overall","2015","6","21"
"Peace Corps","Agency Overall","2015","132","130"
"General Services Administration","Agency Overall","2015","84","49"
"Department of Education","Agency Overall","2015","283","265"
"Federal Labor Relations Authority","Agency Overall","2015","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","1","0"
"Farm Credit Administration","Agency Overall","2015","0","0"
"Office of Science and Technology Policy","Agency Overall","2015","2","7"
"Department of Housing and Urban Development","Agency Overall","2015","237","256"
"National Aeronautics and Space Administration","Agency Overall","2015","11","10"
"Federal Open Market Committee","Agency Overall","2015","8","1"
"Office of Personnel Management","Agency Overall","2015","66","77"
"Department of the Interior","Agency Overall","2015","578","571"
"Commodity Futures Trading Commission","Agency Overall","2015","29","53"
"Department of Defense","Agency Overall","2015","8510","9493"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","2","1"
"Federal Communications Commission","Agency Overall","2015","28","25"
"Merit Systems Protection Board","Agency Overall","2015","10","44"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","11","21"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","1"
"Office of Government Ethics","Agency Overall","2015","1","1"
"National Capital Planning Commission","Agency Overall","2015","0","0"
"All agencies","Agency Overall","2015","161083","102828"
