"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"National Railroad Passenger Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2015","0","0","0","5","4","9","3","0","0","1","2","0","4","0"
"United States African Development Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2015","0","0","0","10","4","1","0","0","0","0","0","0","3","0"
"National Science Foundation","Agency Overall","2015","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2015","10","2","77","1","8","27","1","0","2","0","7","0","0","0"
"Department of Veterans Affairs","Agency Overall","2015","0","0","17","3","32","90","7","0","27","0","3","1","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2015","0","0","0","1","4","1","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2015","0","0","0","0","7","127","1","0","3","1","3","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2015","4","0","6","0","2","1","0","0","0","0","1","0","0","0"
"Department of Energy","Agency Overall","2015","1","0","3","6","10","7","0","0","1","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2015","8","17","76","6","529","1704","23","1","1951","5","1904","8","0","0"
"United States Copyright Office","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2015","0","2","34","1","7","35","0","0","50","6","11","1","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2015","0","0","0","4","3","4","1","0","0","0","1","2","0","0"
"Small Business Administration","Agency Overall","2015","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2015","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2015","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
