"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Railroad Passenger Corporation","Agency Overall","2015","40","6","4","1","1","2","3","0","0","0","0","0","0","57"
"Consumer Financial Protection Bureau","Agency Overall","2015","274","29","2","0","0","0","0","0","0","0","0","0","0","305"
"United States African Development Foundation","Agency Overall","2015","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Inter-American Foundation","Agency Overall","2015","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","179","0","0","0","0","0","0","0","0","0","0","0","0","179"
"Federal Deposit Insurance Corporation","Agency Overall","2015","188","124","12","3","1","1","0","0","0","0","0","0","0","329"
"National Science Foundation","Agency Overall","2015","14","4","0","0","0","0","0","0","0","0","0","0","0","18"
"Office of National Drug Control Policy","Agency Overall","2015","34","4","0","0","0","2","2","1","1","1","1","1","0","47"
"U.S. Agency for Global Media","Agency Overall","2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2015","71","246","1620","1823","2011","545","187","353","426","275","546","75","193","8371"
"Department of Veterans Affairs","Agency Overall","2015","19824","2518","625","394","272","190","122","114","330","277","817","31","24","25538"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","15","9","2","0","0","0","0","0","0","0","0","0","0","26"
"Tennessee Valley Authority","Agency Overall","2015","125","0","0","0","0","0","0","0","0","0","0","0","0","125"
"Social Security Administration","Agency Overall","2015","17657","2586","1063","607","331","0","0","0","0","0","0","0","0","22244"
"Office of the Director of National Intelligence","Agency Overall","2015","122","7","7","2","4","1","2","2","2","0","4","2","5","160"
"Department of Energy","Agency Overall","2015","1186","253","108","53","36","21","21","16","14","2","10","1","8","1729"
"Federal Maritime Commission","Agency Overall","2015","12","0","0","0","0","0","0","0","0","0","0","0","0","12"
"Department of Homeland Security","Agency Overall","2015","105348","18846","9745","6447","4289","2952","3073","1771","307","373","217","81","104","153553"
"United States Copyright Office","Agency Overall","2015","24","5","0","0","2","0","0","0","0","0","0","0","0","31"
"United States Postal Service","Agency Overall","2015","1914","254","79","35","21","12","9","4","4","5","40","5","2","2384"
"Federal Energy Regulatory Commission","Agency Overall","2015","45","35","2","0","0","0","1","0","0","0","0","0","0","83"
"Small Business Administration","Agency Overall","2015","720","115","29","17","0","1","1","0","0","0","0","0","0","883"
"Farm Credit System Insurance Corporation","Agency Overall","2015","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Institute of Museum and Library Services","Agency Overall","2015","25","0","0","0","0","0","0","0","0","0","0","0","0","25"
"National Indian Gaming Commission","Agency Overall","2015","16","8","0","1","0","0","1","0","0","1","1","0","1","29"
