"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"National Railroad Passenger Corporation","Agency Overall","2015","42","38","16","22","0","25","13","0","11","5","10","0","182"
"Consumer Financial Protection Bureau","Agency Overall","2015","54","96","48","49","2","42","3","2","1","18","4","0","319"
"United States African Development Foundation","Agency Overall","2015","1","0","0","1","0","0","0","0","0","0","0","0","2"
"Inter-American Foundation","Agency Overall","2015","2","0","0","1","0","0","0","0","0","0","0","0","3"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","153","26","0","0","0","0","0","0","0","0","0","0","179"
"Federal Deposit Insurance Corporation","Agency Overall","2015","130","78","29","40","2","83","58","53","35","86","12","0","606"
"National Science Foundation","Agency Overall","2015","18","221","3","38","0","18","0","0","0","0","0","0","298"
"Office of National Drug Control Policy","Agency Overall","2015","8","20","0","18","0","1","0","0","0","0","0","0","47"
"U.S. Agency for Global Media","Agency Overall","2015","5","24","1","5","0","1","5","3","1","1","0","2","48"
"U.S. Department of State","Agency Overall","2015","1864","2288","5165","459","234","218","2","2431","556","648","132","5","14002"
"Department of Veterans Affairs","Agency Overall","2015","13571","9688","5096","1340","1","229","143","79","8","43","203","35","30436"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","3","16","3","11","0","1","0","1","0","0","0","1","36"
"Tennessee Valley Authority","Agency Overall","2015","69","86","4","28","0","2","6","0","0","0","0","0","195"
"Social Security Administration","Agency Overall","2015","16963","5501","229","54","21","5","57","72","2","7","11","0","22922"
"Office of the Director of National Intelligence","Agency Overall","2015","64","120","32","36","25","8","0","2","10","4","1","19","321"
"Department of Energy","Agency Overall","2015","675","524","25","344","311","322","46","43","28","43","84","0","2445"
"Federal Maritime Commission","Agency Overall","2015","9","8","1","12","0","9","0","0","0","0","0","0","39"
"Department of Homeland Security","Agency Overall","2015","15579","216903","6819","55737","1183","931","202","1115","15394","13430","17223","4362","348878"
"United States Copyright Office","Agency Overall","2015","9","2","0","6","11","2","0","3","0","1","0","0","34"
"United States Postal Service","Agency Overall","2015","571","511","560","434","179","101","25","82","158","34","25","0","2680"
"Federal Energy Regulatory Commission","Agency Overall","2015","15","65","19","19","0","15","0","0","0","0","0","0","133"
"Small Business Administration","Agency Overall","2015","422","141","19","143","6","84","11","36","6","16","42","0","926"
"Farm Credit System Insurance Corporation","Agency Overall","2015","6","1","0","4","0","0","0","0","0","0","0","0","11"
"Institute of Museum and Library Services","Agency Overall","2015","13","9","2","7","0","0","0","0","1","1","0","0","33"
"National Indian Gaming Commission","Agency Overall","2015","9","9","1","8","3","4","0","0","0","0","0","0","34"
"U.S. Railroad Retirement Board","Agency Overall","2015","107","2","4","4","1","0","2","0","0","2","0","0","122"
"Federal Trade Commission","Agency Overall","2015","360","623","88","273","1","42","42","18","39","7","16","22","1531"
"Nuclear Regulatory Commission","Agency Overall","2015","231","172","26","61","0","37","24","11","1","4","19","0","586"
"Federal Financial Institutions Examination Council","Agency Overall","2015","6","3","3","2","0","0","0","0","1","8","0","0","23"
"Export-Import Bank of the U.S.","Agency Overall","2015","27","41","5","13","0","7","7","1","0","0","0","0","101"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","2","2","1","5","1","0","0","1","0","0","0","0","12"
"Department of Justice","Agency Overall","2015","27904","9816","2681","12540","363","727","956","315","9136","275","1254","1858","67825"
"Department of Commerce","Agency Overall","2015","596","402","130","211","32","169","134","89","160","105","80","55","2163"
"Selective Service System","Agency Overall","2015","7","0","0","0","0","0","0","0","0","0","0","0","7"
"Equal Employment Opportunity Commission","Agency Overall","2015","407","12321","2009","1290","186","178","18","27","551","36","458","0","17481"
"Consumer Product Safety Commission","Agency Overall","2015","272","308","30","105","0","21","6","9","0","2","17","0","770"
"Legal Services Corporation","Agency Overall","2015","21","10","3","15","0","0","0","0","0","0","0","0","49"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","2","2","0","6","5","0","0","0","0","0","0","0","15"
"Central Intelligence Agency","Agency Overall","2015","442","925","980","70","129","6","18","117","194","97","48","155","3181"
"Occupational Safety and Health Review Commission","Agency Overall","2015","25","17","1","4","0","8","0","0","0","0","0","0","55"
"Federal Housing Finance Agency","Agency Overall","2015","18","63","20","29","2","26","1","0","0","0","2","0","161"
"United States Access Board","Agency Overall","2015","4","1","1","4","0","0","0","0","1","0","0","0","11"
"National Labor Relations Board","Agency Overall","2015","2332","788","131","24","90","291","19","","","","4","","3679"
"Office of Management and Budget","Agency Overall","2015","37","33","9","79","0","1","0","0","0","3","1","0","163"
"Administrative Conference of the United States","Agency Overall","2015","8","3","0","15","0","0","0","0","0","0","0","0","26"
"U.S. Commission on Civil Rights","Agency Overall","2015","9","4","0","2","0","1","0","1","0","5","0","0","22"
"National Mediation Board","Agency Overall","2015","26","1","2","5","1","0","0","0","0","0","0","0","35"
"Federal Election Commission","Agency Overall","2015","28","29","5","16","0","2","0","0","0","0","0","1","81"
"National Endowment for the Humanities","Agency Overall","2015","16","34","0","8","1","0","0","2","0","0","0","0","61"
"Federal Mediation and Conciliation Service","Agency Overall","2015","36","3","0","13","0","2","0","0","0","2","0","1","57"
"Federal Reserve System","Agency Overall","2015","470","66","41","106","1","24","7","16","15","4","6","14","770"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","17","19","1","6","0","4","0","1","0","0","0","0","48"
"Department of Agriculture","Agency Overall","2015","15246","2233","311","732","329","359","86","34","43","68","101","17","19559"
"Office of Special Counsel","Agency Overall","2015","19","35","8","11","0","32","0","0","5","5","0","0","115"
"U.S. Agency for International Development","Agency Overall","2015","72","96","11","36","1","55","0","6","18","5","4","1","305"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","1454","432","90","106","2","43","2","5","16","1","66","0","2217"
"Department of Labor","Agency Overall","2015","1594","7468","1890","3556","525","440","151","110","217","366","787","0","17104"
"United States International Boundary and Water Commission","Agency Overall","2015","16","9","0","1","0","2","0","0","0","0","0","0","28"
"Department of the Treasury","Agency Overall","2015","4892","3219","441","1329","166","313","163","629","2133","218","468","16","13987"
"Overseas Private Investment Corporation","Agency Overall","2015","9","15","1","5","0","2","1","1","0","0","0","2","36"
"National Endowment for the Arts","Agency Overall","2015","12","30","0","12","0","2","0","0","0","2","0","0","58"
"Council on Environmental Quality","Agency Overall","2015","11","7","0","30","0","2","0","12","7","4","2","0","75"
"Millennium Challenge Corporation","Agency Overall","2015","12","14","2","9","0","2","0","2","0","0","0","0","41"
"Department of Health and Human Services","Agency Overall","2015","18258","6148","6192","5503","979","3410","462","639","999","804","617","1175","45186"
"Securities and Exchange Commission","Agency Overall","2015","3714","547","1245","9737","28","194","112","58","69","69","261","173","16207"
"Department of Transportation","Agency Overall","2015","6883","2814","137","1784","32","717","52","35","29","41","67","90","12681"
