"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"National Railroad Passenger Corporation","Agency Overall","2015","16.5","33.93","1","130","39.5","67.02","1","489","52","52","42","62"
"Consumer Financial Protection Bureau","Agency Overall","2015","11","12.87","1","45","30.5","33.38","23","57","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2015","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2015","3","2.3","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","1","2.13","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2015","23","23.88","1","97","32","36.23","7","88","22","24.27","3","49"
"National Science Foundation","Agency Overall","2015","16","16","1","26","32","74","1","1100","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2015","19","67","1","344","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2015","N/A","N/A","N/A","N/A","92","132","8","473","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2015","154","165","1","1781","408","589","11","2374","40","40","40","40"
"Department of Veterans Affairs","Agency Overall","2015","4","26.21","<1","793","17","43.3","<1","858","6","29.52","<1","322"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","20.5","26.6","18","59","41","59.4","20","168","22","22","22","22"
"Tennessee Valley Authority","Agency Overall","2015","8","9","1","20","41","74","21","1145","12","12","12","12"
"Social Security Administration","Agency Overall","2015","9","19","1","66","57","80","3","323","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2015","9","45.2","N/A","567","83.5","234.06","2","1911","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2015","19","39.94","<1","1157","105.5","224.14","3","2043","17","102.6","9","343"
"Federal Maritime Commission","Agency Overall","2015","7","8.25","4","13","61.5","325.5","5","995","22","22","22","22"
"Department of Homeland Security","Agency Overall","2015","8","23.9","1","1282","52.75","101.67","1","2083","13.7","31.15","1","428"
"United States Copyright Office","Agency Overall","2015","19","21","3","43","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2015","15","28.36","1","501","27","72.93","2","1032","4","5.67","3","10"
"Federal Energy Regulatory Commission","Agency Overall","2015","19","21","1","58","18","93","17","453","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2015","7","12.24","<1","127","N/A","N/A","N/A","N/A","35","35","35","35"
"Farm Credit System Insurance Corporation","Agency Overall","2015","10.5","10.5","6","15","N/A","N/A","N/A","N/A","7","8.7","6","13"
"Institute of Museum and Library Services","Agency Overall","2015","4","4.88","1","13","26","34.4","21","67","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2015","18","32","1","191","167","143","24","222","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2015","22","30.44","1","141","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2015","4","6.02","1","50","18","30.92","1","328","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2015","8","11","<1","52","27","61","1","658","216","216","216","216"
"Federal Financial Institutions Examination Council","Agency Overall","2015","6","7.7","3","14","24","27.7","22","37","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2015","24","74.28","<1","702","181","316.45","19","895","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","23","23","21","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2015","20","36.12","<1","702","98","154.49","<1","1364","48.5","110.91","<1","1103"
"Department of Commerce","Agency Overall","2015","16","48.84","<1","588","51","139.45","3","2020","4","25.42","<1","403"
"Selective Service System","Agency Overall","2015","11","10","4","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2015","14","18.75","1","357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2015","12","44","1","640","48","82","1","1179","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2015","16.25","15.15","1","26","N/A","N/A","N/A","N/A","1","1","1","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","N/A","N/A","N/A","N/A","126.5","145.5","25","304","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2015","16","91.31","<1","2449","51","101.7","5","2454","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2015","9","9.06","<1","20","20","21.22","15","30","7","7","7","7"
"Federal Housing Finance Agency","Agency Overall","2015","15","15.17","1","112","48.5","104.5","25","481","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2015","2","9","1","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
