"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"National Railroad Passenger Corporation","Agency Overall","2015","9","23.63","1","130","19.5","48.34","1","489","41","33.86","1","62"
"Consumer Financial Protection Bureau","Agency Overall","2015","8.5","9.77","<1","48","29.5","29.9","14","57","27","27","27","27"
"United States African Development Foundation","Agency Overall","2015","8","8","1","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2015","3","2.3","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","1","2.13","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2015","18","19.78","<1","105","26","29.74","2","114","17.5","18.2","3","49"
"National Science Foundation","Agency Overall","2015","16","15","1","26","33","123","1","1301","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2015","12","44","1","344","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2015","N/A","N/A","N/A","N/A","92","117","8","473","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2015","84","111","1","1781","373","511","11","2374","61","102","41","203"
"Department of Veterans Affairs","Agency Overall","2015","5","24.88","<1","793","15","46.16","<1","858","6","37.83","<1","322"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","20","23.2","1","59","39","51.3","14","168","22","22","22","22"
"Tennessee Valley Authority","Agency Overall","2015","8","9","1","20","40","68","21","1145","12","12","12","12"
"Social Security Administration","Agency Overall","2015","10","24","1","92","71","87","3","323","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2015","9","46.21","<1","1162","39","191.06","<1","1911","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2015","12","26.81","<1","1157","74","176.94","<1","2043","47","90.71","9","343"
"Federal Maritime Commission","Agency Overall","2015","6.5","6.6","<1","13","14","266.1","1","995","22","22","22","22"
"Department of Homeland Security","Agency Overall","2015","9","25.44","1","1306","52.06","107.57","1","2083","14","35.31","1","428"
