"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"National Council on Disability","Agency Overall","2021","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2021","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0","0","0","2","2","0","0","0","0","0","0","2","0"
"National Credit Union Administration","Agency Overall","2021","0","6","0","42","24","66","1","0","12","0","1","0","43","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","0","6","26","15","294","1","0","7","0","2","0","0","0"
"Commission of Fine Arts","Agency Overall","2021","0","0","0","0","0","4","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","0","4","116","58","45","123","78","0","27","0","2","0","0","0"
"Council on Environmental Quality","Agency Overall","2021","0","0","0","0","19","22","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","0","15","3","6","26","47","2","0","29","0","2","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","0","1","2","5","15","5","0","11","2","0","1","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0","0","2","3","3","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2021","0","0","0","1","11","18","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2021","9","0","4","24","26","56","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","0","0","18","13","33","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2021","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2021","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2021","0","0","0","1","1","1","1","0","2","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","0","1","0","1","1","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2021","0","11","84","134","505","1139","128","3","550","29","90","31","0","4"
"Office of Special Counsel","Agency Overall","2021","0","0","6","4","41","103","10","1","100","12","2","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2021","1","3","10","6","14","19","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2021","0","0","5","6","16","13","1","0","0","0","0","1","0","0"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","0","1","1","3","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2021","0","3","27","73","16","114","3","0","21","3","4","0","0","0"
"Department of Education","Agency Overall","2021","3","2","18","244","345","1123","164","8","525","9","47","39","0","0"
"Department of Health and Human Services","Agency Overall","2021","1","17","295","1548","747","8407","408","13","1596","68","57","33","0","0"
"Department of Housing and Urban Development","Agency Overall","2021","0","4","26","30","49","254","45","2","80","0","22","3","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","1","0","1","0","3","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","0","2","2","0","5","12","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2021","0","0","0","1","1","6","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0","0","0","2","0","7","0","0","0","0","4","1","0","0"
