"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"National Council on Disability","Agency Overall","2021","0","0","0","0"
"United States Copyright Office","Agency Overall","2021","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","2","2","0"
"National Credit Union Administration","Agency Overall","2021","1","3","4","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","4","4","0"
"Commission of Fine Arts","Agency Overall","2021","0","0","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2021","1","17","9","9"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","0","12","12","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","3","3","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2021","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2021","0","22","22","0"
"Social Security Advisory Board","Agency Overall","2021","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","1","1","0"
"Marine Mammal Commission","Agency Overall","2021","0","2","2","0"
"Administrative Conference of the United States","Agency Overall","2021","0","0","0","0"
"Legal Services Corporation","Agency Overall","2021","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","0","0","0"
"Department of the Interior","Agency Overall","2021","19","54","61","12"
"Office of Special Counsel","Agency Overall","2021","1","8","9","0"
"Office of Science and Technology Policy","Agency Overall","2021","0","13","13","0"
"Federal Energy Regulatory Commission","Agency Overall","2021","0","3","3","0"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2021","7","50","44","13"
"Department of Education","Agency Overall","2021","6","25","30","1"
"Department of Health and Human Services","Agency Overall","2021","132","270","285","117"
"Department of Housing and Urban Development","Agency Overall","2021","2","13","15","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","1","1","0"
"United States International Boundary and Water Commission","Agency Overall","2021","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2021","0","2","2","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0","3","3","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","5","0","5","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2021","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0","1","1","0"
"Department of Justice","Agency Overall","2021","417","1350","1301","466"
"Office of the Director of National Intelligence","Agency Overall","2021","33","99","124","8"
"Selective Service System","Agency Overall","2021","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2021","0","0","0","0"
"General Services Administration","Agency Overall","2021","0","46","34","12"
"National Endowment for the Arts","Agency Overall","2021","0","1","1","0"
"Federal Labor Relations Authority","Agency Overall","2021","0","0","0","0"
"U.S. Department of State","Agency Overall","2021","147","184","170","161"
"National Aeronautics and Space Administration","Agency Overall","2021","2","24","26","0"
"Denali Commission","Agency Overall","2021","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","0","1","1","0"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","0","0","0"
"Social Security Administration","Agency Overall","2021","1","9","10","0"
"Central Intelligence Agency","Agency Overall","2021","494","275","583","186"
"United States Postal Service","Agency Overall","2021","1","61","61","1"
"National Labor Relations Board","Agency Overall","2021","0","3","3","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","0","13","13","0"
"Farm Credit Administration","Agency Overall","2021","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2021","6","24","28","2"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0","0","0"
"United States International Trade Commission","Agency Overall","2021","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2021","0","0","0","0"
"Office of Government Ethics","Agency Overall","2021","0","7","6","1"
"National Railroad Passenger Corporation","Agency Overall","2021","0","5","5","0"
"Appraisal Subcommittee","Agency Overall","2021","0","0","0","0"
"Department of Energy","Agency Overall","2021","202","120","99","223"
"Occupational Safety and Health Review Commission","Agency Overall","2021","0","1","1","0"
"Inter-American Foundation","Agency Overall","2021","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2021","0","7","7","0"
"Office of Personnel Management","Agency Overall","2021","0","18","16","2"
"Postal Regulatory Commission","Agency Overall","2021","0","1","1","0"
"Department of Transportation","Agency Overall","2021","34","22","17","39"
"Presidio Trust","Agency Overall","2021","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2021","30","46","63","13"
"National Mediation Board","Agency Overall","2021","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2021","0","0","0","0"
