"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Institute of Museum and Library Services","Agency Overall","2021","7","9.12","3","22","29","29","29","29","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","20","34","1","132","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2021","11.50","26.32","<1","421","28.25","37.50","<1","410","31","31","31","31"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","19","30","9","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2021","9","7","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","4","12","<1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","20","20","20","20","20","22","20","29","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2021","51","69.45","<1","1426","101","264.81","<1","2283","26","112.2","<1","1514"
"Office of the Director of National Intelligence","Agency Overall","2021","1","6","<1","533","345","505","<1","1872","2","2","2","3"
"Selective Service System","Agency Overall","2021","2","5","1","17","N/A","N/A","N/A","N/A","7","7","7","7"
"Federal Open Market Committee","Agency Overall","2021","6.00","10.18","<1","44","65.00","82.50","39","155","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2021","10.0","9.85","1","20","42.0","130.01","1","976","41.0","111.38","1","869"
"National Endowment for the Arts","Agency Overall","2021","17","15","1","26","17","15","1","26","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2021","7","8.09","<1","32","N/A","N/A","N/A","N/A","9","9.88","<1","31"
"U.S. Department of State","Agency Overall","2021","56","80","<1","1216","190","267","<1","3693","181","463.81","3","1713"
"National Aeronautics and Space Administration","Agency Overall","2021","8","15.55","<1","158","27","44.46","<1","459","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2021","2"," 2","1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2021","14","72","1","579","320","317","15","488","107","102","9","178"
"U.S. Railroad Retirement Board","Agency Overall","2021","10","19.9","2","198","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2021","6","18","<1","346","44","64","1","554","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2021","5","6.52","<1","67","134","281.05","6","2506","292","360.29","111","970"
"United States Postal Service","Agency Overall","2021","3","11.79","<1","525","49.5","93.06","<1","635","2","8.06","2","122"
"National Labor Relations Board","Agency Overall","2021","6","10.09","<1","280","N/A","N/A","N/A","N/A","5","8.61","<1","66"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","8.5","14","1","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2021","13","43.32","1","321","5","5","5","5","300","300","300","300"
"Farm Credit Administration","Agency Overall","2021","2","5","0","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2021","11","51.6","<1","2111","97","140.16","<1","2115","24","98.94","<1","722"
"Farm Credit System Insurance Corporation","Agency Overall","2021","7","8","<1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2021","19","17","1","20","30","46","26","82","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2021","8.5","9","2","19","N/A","N/A","N/A","N/A","2","2","2","2"
"Office of Government Ethics","Agency Overall","2021","33","72.3","1","496","N/A","N/A","N/A","N/A","41.5","78.5","3","303"
"National Railroad Passenger Corporation","Agency Overall","2021","4","6","1","47","12.5","12.5","9","16","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2021","13","12.6","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2021","21","75.35","<1","1046","90.50","187.48","<1","1958","401.50","354.50","153","500"
"Occupational Safety and Health Review Commission","Agency Overall","2021","4","4.7","1","18","49","137.6","28","509","11","11","11","11"
"Inter-American Foundation","Agency Overall","2021","18","20","5","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2021","9","7","1","19","19","17","7","20","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2021","10","17.06","<1","159","168","348.96","10","1293","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2021","3","180","1","1227","45","190","1","1213","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2021","3","8.48","1","37","16","16","3","29","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2021","18","67.65","<1","2103","124.00","209.43","<1","2132","20.00","34.00","2","136"
"Presidio Trust","Agency Overall","2021","2","4","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2021","14.0","52.55","<1","1347","58.0","184.47","<1","1831","868.5","686.28","4","1870"
"National Mediation Board","Agency Overall","2021","2","6","1","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2021","2","4.2","1","14","2.5","11.7","1","16","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2021","17","23.74","<1","147","138.5","173.07","1","460","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2021","7","14.35","<1","340","21","40.92","4","725","6","6","3","9"
"Federal Communications Commission","Agency Overall","2021","12","12.19","<1","47","65","103.19","6","649","5","18.97","<1","150"
"Small Business Administration","Agency Overall","2021","5","28.29","5","315","N/A","N/A","N/A","N/A","2","12.03","7","66"
"Department of Commerce","Agency Overall","2021","13.0","60.3","<1","931","47.0","205.37","<1","1046","14.5","86.8","<1","1041"
"Office of National Drug Control Policy","Agency Overall","2021","6","9","1","23","316","354","28","795","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2021","7","9.04","1","53","140","259.51","1","775","10","10","10","10"
"Peace Corps","Agency Overall","2021","23","107","1","1023","164","284.2","54","744","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","1","13","1","70","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2021","39","92","<1","731","56","155","1","1216","29","29","29","29"
"Department of Agriculture","Agency Overall","2021","<1","20.47","<1","1551","54","183.1","<1","2114","2","81.32","<1","895"
"Department of Labor","Agency Overall","2021","12.00","39.41","<1","1963","17.00","57.61","<1","1693","11.50","55.97","<1","381"
"Commodity Futures Trading Commission","Agency Overall","2021","10","24.35","<1","250","70","88.52","7","301","N/A","N/A","N/A","N/A"
"United States Institute of Peace","Agency Overall","2021","173","142","3","196","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2021","2.00","19.81","<1","1008","76.50","464.02","<1","3262","15.00","186.78","<1","787"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2021","19.0","32.61","<1","245","N/A","N/A","N/A","N/A","52.0","52.0","52","52"
"Nuclear Regulatory Commission","Agency Overall","2021","10","22.66","<1","470","61.5","159.95","<1","1105","16","17.4","6","33"
"Federal Maritime Commission","Agency Overall","2021","20","15.9","2","24","19.5","21.7","6","74","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2021","13","14.3","13","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2021","2","4.49","<1","34","115","482.76","4","1432","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2021","179","136","1","891","107","414","1","3442","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2021","7","16.23","<1","524","670","697","1","1285","93","123","35","273"
"Federal Reserve System","Agency Overall","2021","6","8","1","38","28","58","1","1451","77","77","29","124"
"Federal Election Commission","Agency Overall","2021","6","10","3","89","15","87.6","3","719","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2021","170","144","1","462","598","612","179","1222","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2021","18.5","15.9","6","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","20","24","3","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2021","6","12","1","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2021","2.00","3.80","<1","125","8.00","19.86","<1","180","2.50","15.38","<1","258"
"National Indian Gaming Commission","Agency Overall","2021","3","5","1","22","108","599","22","1667","N/A","N/A","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2021","10","32.03","1","1710","59","351.61","1","4016","22","70.50","1","1433"
"Tennessee Valley Authority","Agency Overall","2021","14.5","15.29","1","85","62","84.14","19","242","40.5","40.5","8","73"
"Export-Import Bank of the U.S.","Agency Overall","2021","18","44.24","<1","564","64","220.27","8","1504","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2021","18","29","<1","1164","20","63","<1","1905","87","132","0","1628"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","11","24","2","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
