"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Council on Disability","Agency Overall","2021","7","0","1","0","0","0","0","0","0","0","0","0","0","8"
"United States Copyright Office","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2021","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","9","0","0","0","1","0","0","0","0","0","0","0","0","10"
"Council on Environmental Quality","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2021","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"Social Security Advisory Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2021","44","10","2","3","3","1","1","3","0","1","2","1","8","79"
"Office of Special Counsel","Agency Overall","2021","11","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Office of Science and Technology Policy","Agency Overall","2021","5","1","0","2","0","0","0","0","0","0","0","0","0","8"
"Federal Energy Regulatory Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2021","2","0","0","0","0","0","1","0","0","0","0","2","1","6"
"Department of Education","Agency Overall","2021","3","0","0","0","1","0","0","0","0","0","0","0","1","5"
"Department of Health and Human Services","Agency Overall","2021","68","53","38","31","30","32","42","22","23","11","74","30","8","462"
"Department of Housing and Urban Development","Agency Overall","2021","11","3","1","0","1","0","0","0","0","0","0","0","0","16"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","1","1","0","0","0","0","0","0","0","0","0","0","0","2"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2021","361","136","54","36","44","26","36","17","11","7","33","13","61","835"
"Office of the Director of National Intelligence","Agency Overall","2021","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Selective Service System","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Open Market Committee","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2021","18","20","16","5","1","3","0","2","3","3","1","0","6","78"
"National Endowment for the Arts","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2021","25","1","0","0","0","0","0","0","0","0","0","0","0","26"
"U.S. Department of State","Agency Overall","2021","29","6","5","1","1","1","0","1","0","3","7","5","31","90"
"National Aeronautics and Space Administration","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","1","1","2","0","0","0","0","0","4","0","0","0","0","8"
"U.S. Railroad Retirement Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2021","0","0","0","0","0","1","0","0","0","1","3","1","1","7"
"United States Postal Service","Agency Overall","2021","163","7","8","0","1","0","2","0","0","0","0","0","0","181"
"National Labor Relations Board","Agency Overall","2021","142","20","0","1","0","0","0","0","0","0","0","0","0","163"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"Farm Credit Administration","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2021","14","4","1","2","1","0","0","2","1","0","3","2","1","31"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of Government Ethics","Agency Overall","2021","1","2","2","0","0","0","0","0","0","0","1","0","0","6"
"National Railroad Passenger Corporation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2021","0","0","0","0","0","0","0","1","1","0","0","1","3","6"
"Occupational Safety and Health Review Commission","Agency Overall","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Inter-American Foundation","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2021","8","2","0","0","0","0","2","0","0","0","0","0","0","12"
"Presidio Trust","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2021","3","1","0","0","1","0","0","1","0","0","0","0","12","18"
"National Mediation Board","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
