"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"National Council on Disability","Agency Overall","2021","0","0","0","0"
"United States Copyright Office","Agency Overall","2021","0","1","1","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0","0","0"
"National Credit Union Administration","Agency Overall","2021","0","4","2","2"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","1","9","10","0"
"Commission of Fine Arts","Agency Overall","2021","0","0","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","0","16","16","0"
"Council on Environmental Quality","Agency Overall","2021","1","1","2","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","1","2","2","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","1","1","0"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2021","1","2","0","3"
"Office of the United States Trade Representative","Agency Overall","2021","0","2","2","0"
"Social Security Advisory Board","Agency Overall","2021","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2021","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2021","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2021","0","1","1","0"
"Legal Services Corporation","Agency Overall","2021","0","0","0","0"
"Surface Transportation Board","Agency Overall","2021","0","0","0","0"
"Department of the Interior","Agency Overall","2021","412","270","318","364"
"Office of Special Counsel","Agency Overall","2021","0","12","11","1"
"Office of Science and Technology Policy","Agency Overall","2021","0","2","2","0"
"Federal Energy Regulatory Commission","Agency Overall","2021","0","4","4","0"
"Armed Forces Retirement Home","Agency Overall","2021","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2021","2","6","3","5"
"Department of Education","Agency Overall","2021","62","56","68","50"
"Department of Health and Human Services","Agency Overall","2021","814","352","498","668"
"Department of Housing and Urban Development","Agency Overall","2021","9","39","44","4"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","1","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2021","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","17","337","175","179"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2021","0","1","1","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0","2","2","0"
"Department of Justice","Agency Overall","2021","687","2614","2771","530"
