"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Council on Disability","Agency Overall","2021","15","13","16","13"
"United States Copyright Office","Agency Overall","2021","50","49","55","47"
"Federal Financial Institutions Examination Council","Agency Overall","2021","11","13","11","12"
"National Credit Union Administration","Agency Overall","2021","132","136","134","144"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","3495","3517","3525","3481"
"Commission of Fine Arts","Agency Overall","2021","10","17","10","17"
"United States African Development Foundation","Agency Overall","2021","4","1","4","1"
"Consumer Product Safety Commission","Agency Overall","2021","460","596","506","548"
"Council on Environmental Quality","Agency Overall","2021","166","105","140","130"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","75","78","80","109"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","4","1","4","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","43","47","46","46"
"Advisory Council on Historic Preservation","Agency Overall","2021","12","21","19","16"
"Federal Mediation and Conciliation Service","Agency Overall","2021","58","20","56","19"
"U.S. Agency for Global Media","Agency Overall","2021","60","113","28","77"
"Office of the United States Trade Representative","Agency Overall","2021","155","93","155","97"
"Social Security Advisory Board","Agency Overall","2021","5","7","4","8"
"National Endowment for the Humanities","Agency Overall","2021","137","59","131","61"
"Marine Mammal Commission","Agency Overall","2021","5","11","4","8"
"Administrative Conference of the United States","Agency Overall","2021","38","41","38","41"
"Legal Services Corporation","Agency Overall","2021","14","25","13","22"
"Surface Transportation Board","Agency Overall","2021","29","48","29","42"
"Department of the Interior","Agency Overall","2021","5977","6302","5906","5774"
"Office of Special Counsel","Agency Overall","2021","144","135","193","169"
"Office of Science and Technology Policy","Agency Overall","2021","84","129","68","100"
"Federal Energy Regulatory Commission","Agency Overall","2021","73","37","71","35"
"Armed Forces Retirement Home","Agency Overall","2021","2","9","2","9"
"U.S. Agency for International Development","Agency Overall","2021","427","329","299","297"
"Department of Education","Agency Overall","2021","2384","2151","2537","2292"
"Department of Health and Human Services","Agency Overall","2021","36825","33158","35669","32952"
"Department of Housing and Urban Development","Agency Overall","2021","2038","1734","1834","2093"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","39","42","39","40"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","15","0","15","0"
"United States International Boundary and Water Commission","Agency Overall","2021","53","30","40","18"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","4","4","4","4"
"U.S. Commission on Civil Rights","Agency Overall","2021","42","45","42","45"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","16","11","3","8"
"Institute of Museum and Library Services","Agency Overall","2021","39","40","42","41"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","29","43","29","42"
"Equal Employment Opportunity Commission","Agency Overall","2021","16287","15320","15098","16048"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","4","4","3","3"
"Millennium Challenge Corporation","Agency Overall","2021","19","24","19","23"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","1","8","1","8"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","27","16","26","13"
"Department of Justice","Agency Overall","2021","86729","97490","84442","75511"
"Office of the Director of National Intelligence","Agency Overall","2021","527","441","406","651"
"Selective Service System","Agency Overall","2021","48","39","48","39"
"Federal Open Market Committee","Agency Overall","2021","19","36","19","36"
"General Services Administration","Agency Overall","2021","1352","1349","1429","1294"
"National Endowment for the Arts","Agency Overall","2021","39","41","39","41"
"Federal Labor Relations Authority","Agency Overall","2021","99","101","107","97"
"U.S. Department of State","Agency Overall","2021","9019","10683","7041","9505"
"National Aeronautics and Space Administration","Agency Overall","2021","841","759","833","775"
"Denali Commission","Agency Overall","2021","11","9","11","9"
"U.S. Election Assistance Commission","Agency Overall","2021","49","92","21","45"
"U.S. Railroad Retirement Board","Agency Overall","2021","73","70","73","70"
"Social Security Administration","Agency Overall","2021","9688","13440","8143","14662"
"Central Intelligence Agency","Agency Overall","2021","2896","2837","2622","2870"
"United States Postal Service","Agency Overall","2021","3575","4864","3372","4905"
"National Labor Relations Board","Agency Overall","2021","1327","1436","1393","1411"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","29","29","27","28"
"U.S. International Development Finance Corporation","Agency Overall","2021","94","81","48","61"
"Farm Credit Administration","Agency Overall","2021","28","55","30","55"
"Department of Veterans Affairs","Agency Overall","2021","19053","27762","19322","30227"
"Farm Credit System Insurance Corporation","Agency Overall","2021","11","5","11","5"
"United States International Trade Commission","Agency Overall","2021","30","37","33","25"
"National Capital Planning Commission","Agency Overall","2021","9","8","9","8"
"Office of Government Ethics","Agency Overall","2021","84","88","83","109"
"National Railroad Passenger Corporation","Agency Overall","2021","234","164","233","27"
"Appraisal Subcommittee","Agency Overall","2021","7","13","7","13"
"Department of Energy","Agency Overall","2021","1453","1492","1416","1408"
"Occupational Safety and Health Review Commission","Agency Overall","2021","94","143","108","148"
"Inter-American Foundation","Agency Overall","2021","8","8","10","7"
